id,Country,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08
0,"Washington",4956,4973,4989,5005,5021,5036,5051,5065,5080,5095,5109,5124,5139,5154,5170,5185,5201,5217,5232,5248,5263,5278,5294,5309,5324,5339,5354,5369,5384,5399,5414,5428,5443,5458,5472,5487,5501,5516,5530,5544,5558,5572,5587,5601,5615,5628,5642,5656,5670,5683,5697,5711,5724,5738,5751,5764,5777,5791,5804,5817,5830,5843,5856,5868,5881,5894,5906,5919,5931,5944,5956,5969,5981,5993,6005,6017,6029,6041,6053,6065,6077,6088,6100,6112,6123,6135,6146,6157,6169,6180,6191,6202,6213,6224,6235,6246,6257,6267,6278,6289,6299,6310
1,"Illinois",22710,22750,22788,22825,22861,22895,22928,22961,22992,23023,23053,23082,23111,23140,23169,23199,23228,23257,23286,23314,23343,23370,23398,23425,23452,23478,23504,23531,23556,23582,23608,23633,23658,23683,23707,23731,23755,23779,23802,23826,23849,23871,23894,23916,23939,23960,23982,24004,24025,24046,24067,24087,24108,24128,24148,24168,24187,24207,24226,24245,24264,24282,24301,24319,24337,24355,24372,24390,24407,24424,24441,24458,24474,24491,24507,24523,24539,24554,24570,24585,24601,24616,24630,24645,24660,24674,24688,24702,24716,24730,24744,24757,24771,24784,24797,24810,24822,24835,24847,24860,24872,24884
2,"California",51953,52258,52547,52822,53083,53332,53568,53793,54007,54212,54406,54592,54772,54947,55116,55282,55444,55603,55758,55909,56056,56199,56337,56472,56604,56732,56857,56978,57096,57211,57322,57431,57537,57639,57739,57836,57931,58023,58112,58199,58284,58366,58446,58524,58600,58673,58745,58814,58882,58948,59012,59074,59134,59193,59250,59305,59359,59412,59463,59512,59560,59607,59653,59697,59740,59782,59822,59862,59900,59938,59974,60009,60043,60077,60109,60140,60171,60200,60229,60257,60285,60311,60337,60362,60386,60410,60433,60455,60476,60498,60518,60538,60557,60576,60594,60612,60629,60646,60662,60678,60693,60708
3,"Arizona",15967,16041,16111,16176,16238,16297,16353,16405,16456,16504,16550,16594,16637,16678,16719,16760,16800,16840,16881,16921,16961,17001,17041,17080,17120,17159,17198,17237,17275,17314,17352,17390,17428,17466,17503,17540,17577,17614,17651,17688,17724,17760,17796,17832,17867,17903,17938,17973,18008,18042,18077,18111,18145,18178,18212,18245,18279,18311,18344,18377,18409,18441,18473,18505,18536,18568,18599,18630,18660,18691,18721,18751,18781,18811,18840,18869,18898,18927,18956,18984,19013,19041,19069,19096,19124,19151,19178,19205,19231,19258,19284,19310,19336,19362,19387,19412,19437,19462,19487,19511,19536,19560
4,"Massachusetts",16067,16109,16149,16188,16225,16261,16296,16330,16362,16394,16425,16456,16487,16518,16548,16579,16609,16640,16670,16700,16730,16759,16788,16816,16844,16872,16900,16926,16953,16979,17005,17031,17056,17080,17105,17129,17153,17176,17199,17222,17244,17266,17288,17309,17330,17351,17371,17391,17411,17430,17450,17469,17487,17505,17523,17541,17559,17576,17593,17609,17626,17642,17658,17673,17688,17704,17718,17733,17747,17761,17775,17789,17802,17816,17829,17841,17854,17866,17878,17890,17902,17913,17925,17936,17947,17958,17968,17979,17989,17999,18009,18018,18028,18037,18046,18055,18064,18073,18082,18090,18098,18106
5,"Wisconsin",7014,7026,7038,7050,7061,7071,7082,7091,7101,7111,7120,7129,7138,7147,7156,7165,7174,7183,7192,7201,7209,7218,7226,7234,7242,7250,7258,7266,7274,7282,7290,7297,7305,7312,7319,7327,7334,7341,7348,7355,7361,7368,7375,7381,7388,7394,7401,7407,7413,7419,7426,7432,7437,7443,7449,7455,7461,7466,7472,7477,7483,7488,7493,7498,7504,7509,7514,7519,7523,7528,7533,7538,7543,7547,7552,7556,7561,7565,7569,7574,7578,7582,7586,7590,7594,7598,7602,7606,7610,7614,7618,7621,7625,7629,7632,7636,7639,7643,7646,7649,7653,7656
6,"Texas",43519,43674,43818,43952,44076,44192,44302,44407,44508,44605,44700,44791,44881,44971,45061,45153,45248,45344,45440,45536,45631,45724,45815,45903,45990,46077,46163,46249,46335,46420,46505,46589,46673,46755,46837,46917,46997,47076,47154,47232,47309,47386,47461,47536,47611,47685,47758,47830,47901,47972,48042,48112,48181,48249,48317,48384,48450,48516,48581,48645,48709,48772,48834,48896,48957,49018,49078,49137,49196,49254,49312,49369,49425,49481,49536,49591,49645,49699,49752,49804,49856,49908,49958,50009,50058,50108,50156,50205,50252,50299,50346,50392,50438,50483,50528,50572,50615,50659,50701,50744,50786,50827
7,"Nebraska",2082,2085,2089,2092,2095,2097,2100,2103,2106,2108,2111,2114,2116,2119,2121,2124,2127,2129,2132,2135,2137,2140,2143,2146,2148,2151,2154,2157,2160,2163,2166,2168,2171,2174,2177,2180,2183,2186,2189,2192,2195,2198,2202,2205,2208,2211,2214,2217,2220,2224,2227,2230,2233,2237,2240,2243,2246,2250,2253,2256,2260,2263,2267,2270,2273,2277,2280,2284,2287,2291,2294,2298,2301,2305,2308,2312,2315,2319,2323,2326,2330,2333,2337,2341,2344,2348,2352,2355,2359,2363,2367,2370,2374,2378,2382,2385,2389,2393,2397,2401,2404,2408
8,"Utah",1929,1941,1953,1964,1975,1986,1996,2006,2016,2026,2035,2044,2053,2062,2071,2079,2088,2097,2105,2113,2121,2129,2137,2145,2153,2160,2168,2175,2182,2190,2197,2204,2210,2217,2224,2230,2237,2243,2249,2255,2261,2267,2273,2279,2284,2290,2296,2301,2306,2311,2317,2322,2327,2331,2336,2341,2346,2350,2355,2359,2363,2368,2372,2376,2380,2384,2388,2392,2396,2399,2403,2407,2410,2414,2417,2420,2424,2427,2430,2433,2436,2439,2442,2445,2448,2451,2454,2456,2459,2462,2464,2467,2469,2472,2474,2476,2479,2481,2483,2485,2487,2489
9,"Oregon",2208,2213,2218,2222,2226,2231,2235,2239,2243,2247,2251,2254,2258,2262,2266,2270,2274,2278,2282,2286,2290,2294,2299,2303,2307,2311,2315,2320,2324,2328,2333,2337,2342,2346,2351,2355,2360,2365,2369,2374,2379,2383,2388,2393,2398,2402,2407,2412,2417,2422,2427,2432,2437,2442,2448,2453,2458,2463,2468,2474,2479,2484,2490,2495,2501,2506,2512,2517,2523,2528,2534,2540,2545,2551,2557,2562,2568,2574,2580,2586,2592,2598,2604,2610,2616,2622,2628,2634,2640,2647,2653,2659,2665,2672,2678,2684,2691,2697,2704,2710,2717,2723
