id,Country,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03
0,Afghanistan,2572,2577,2581,2586,2591,2597,2602,2608,2614,2620,2627,2634,2641,2649,2657,2665,2674,2683,2692,2702,2712,2723,2734,2746,2759,2772,2785,2799,2814,2829,2845,2862,2880,2898,2917,2937,2958,2980,3003,3027,3052,3078,3105,3133,3163,3194,3227,3261,3296,3333,3372,3412,3454,3498,3544,3593,3643,3696,3751,3808,3868,3931,3996,4065,4136,4211,4289,4371,4456,4545,4638,4736,4837,4943,5054,5170,5291,5418,5550,5688,5832,5983,6140,6305,6477,6656,6843,7039,7244,7458,7681,7914,8158,8412,8678,8956,9246,9549,9865,10195,10540,10901
1,Albania,2372,2376,2380,2384,2387,2391,2394,2397,2400,2403,2405,2408,2410,2412,2415,2417,2419,2421,2423,2425,2426,2428,2430,2432,2433,2435,2436,2438,2439,2440,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2457,2458,2459,2459,2460,2461,2461,2462,2462,2463,2464,2464,2465,2465,2466,2466,2466,2467,2467,2468,2468,2468,2469,2469,2469,2470,2470,2470,2471,2471,2471,2472,2472,2472,2472,2473,2473,2473,2473,2473,2474,2474,2474,2474,2474,2474,2475,2475,2475,2475,2475,2475,2475,2476,2476,2476
2,Algeria,3198,3204,3210,3217,3223,3230,3237,3244,3252,3259,3267,3275,3283,3292,3300,3309,3318,3327,3336,3345,3354,3364,3373,3383,3394,3404,3415,3426,3437,3448,3459,3471,3483,3495,3508,3520,3533,3546,3560,3573,3587,3602,3616,3631,3646,3661,3677,3693,3709,3726,3743,3760,3778,3796,3814,3833,3852,3872,3892,3912,3932,3954,3975,3997,4019,4042,4065,4089,4113,4138,4163,4188,4215,4241,4268,4296,4324,4353,4382,4412,4443,4474,4506,4538,4571,4605,4639,4674,4710,4746,4783,4821,4860,4899,4939,4980,5022,5064,5107,5152,5197,5243
3,Andorra,124,124,124,125,125,125,125,126,126,126,126,126,127,127,127,127,127,128,128,128,128,128,129,129,129,129,129,130,130,130,130,131,131,131,131,131,132,132,132,132,133,133,133,133,134,134,134,134,135,135,135,135,136,136,136,136,136,137,137,137,137,138,138,138,138,139,139,139,139,140,140,140,140,141,141,141,141,142,142,142,142,143,143,143,143,144,144,144,144,144,145,145,145,145,146,146,146,146,146,147,147,147
4,Angola,577,579,581,584,586,589,591,594,597,600,603,606,609,612,615,619,622,626,630,633,637,641,645,649,654,658,663,667,672,677,682,687,693,698,704,710,716,722,728,734,741,748,755,762,769,777,785,792,801,809,818,826,836,845,854,864,874,885,895,906,918,929,941,953,965,978,991,1005,1019,1033,1048,1063,1078,1094,1110,1127,1144,1161,1179,1198,1217,1236,1256,1277,1298,1320,1342,1365,1388,1412,1437,1462,1488,1515,1542,1570,1599,1629,1659,1690,1722,1755
5,Antigua and Barbuda,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
6,Argentina,61474,61830,62202,62592,62998,63421,63859,64311,64775,65248,65729,66217,66713,67215,67720,68229,68738,69247,69755,70261,70766,71271,71776,72284,72794,73305,73818,74331,74845,75359,75873,76387,76901,77414,77928,78442,78956,79471,79985,80499,81013,81527,82040,82553,83065,83576,84087,84597,85107,85616,86124,86631,87137,87642,88147,88650,89151,89652,90151,90649,91146,91641,92134,92626,93117,93606,94093,94578,95062,95544,96023,96501,96977,97451,97923,98393,98861,99326,99789,100250,100709,101165,101619,102071,102520,102966,103411,103852,104291,104728,105161,105593,106021,106447,106870,107290,107708,108123,108534,108944,109350,109753
7,Armenia,4001,4022,4042,4062,4082,4102,4122,4142,4161,4180,4199,4217,4235,4253,4271,4289,4307,4324,4342,4359,4376,4392,4408,4425,4440,4456,4471,4487,4502,4516,4531,4545,4559,4573,4587,4600,4614,4627,4640,4652,4665,4677,4689,4701,4713,4725,4736,4747,4758,4769,4780,4790,4800,4811,4821,4831,4840,4850,4859,4868,4877,4886,4895,4904,4912,4920,4929,4937,4945,4952,4960,4968,4975,4982,4989,4996,5003,5010,5017,5023,5030,5036,5042,5048,5054,5060,5066,5072,5077,5083,5088,5093,5099,5104,5109,5114,5118,5123,5128,5132,5137,5141
8,Australia,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910
9,Austria,10070,10098,10126,10153,10179,10205,10231,10256,10281,10306,10330,10354,10377,10401,10424,10447,10470,10493,10515,10537,10559,10581,10602,10624,10645,10665,10686,10706,10726,10746,10766,10785,10804,10823,10842,10860,10879,10897,10914,10932,10949,10966,10983,11000,11017,11033,11049,11065,11081,11096,11111,11126,11141,11156,11170,11185,11199,11213,11226,11240,11253,11266,11279,11292,11304,11317,11329,11341,11353,11365,11376,11388,11399,11410,11421,11432,11442,11453,11463,11473,11483,11493,11502,11512,11521,11530,11540,11549,11557,11566,11575,11583,11591,11599,11607,11615,11623,11631,11638,11646,11653,11660
