id,Country,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13
0,"Washington",5741,5751,5761,5771,5780,5790,5798,5807,5815,5823,5831,5839,5847,5855,5862,5870,5877,5885,5893,5900,5908,5915,5923,5930,5938,5945,5952,5960,5967,5973,5980,5987,5993,6000,6006,6012,6018,6024,6029,6035,6040,6045,6050,6055,6059,6064,6068,6072,6075,6079,6083,6086,6089,6092,6095,6097,6100,6102,6104,6106,6108,6110,6112,6113,6115,6116,6117,6118,6119,6120,6121,6122,6123,6123,6124,6125,6125,6126,6126,6126,6127,6127,6127,6128,6128,6128,6128,6128,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129,6129
1,"Illinois",25057,25084,25109,25134,25158,25181,25203,25224,25245,25265,25284,25303,25321,25338,25355,25372,25388,25404,25419,25434,25449,25464,25478,25491,25505,25518,25530,25542,25554,25565,25576,25586,25596,25605,25614,25623,25631,25639,25647,25654,25661,25667,25673,25679,25684,25689,25694,25698,25703,25707,25710,25714,25717,25720,25723,25725,25727,25730,25732,25733,25735,25737,25738,25739,25741,25742,25743,25744,25744,25745,25746,25746,25747,25747,25748,25748,25749,25749,25749,25749,25750,25750,25750,25750,25750,25750,25750,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751,25751
2,"California",63017,63051,63085,63117,63150,63181,63211,63240,63269,63296,63323,63349,63375,63400,63424,63449,63473,63497,63521,63544,63568,63591,63614,63636,63658,63680,63701,63721,63742,63761,63781,63799,63817,63835,63852,63869,63885,63900,63915,63929,63943,63956,63969,63981,63992,64003,64013,64023,64033,64041,64050,64058,64065,64072,64079,64085,64091,64096,64101,64106,64110,64114,64118,64121,64125,64128,64130,64133,64135,64137,64139,64141,64142,64144,64145,64146,64147,64148,64149,64150,64151,64151,64152,64152,64153,64153,64153,64154,64154,64154,64154,64154,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64155,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156,64156
3,"Arizona",17576,17586,17596,17605,17615,17624,17633,17642,17651,17660,17668,17677,17685,17693,17701,17709,17717,17725,17733,17741,17749,17756,17764,17772,17779,17786,17794,17801,17808,17815,17821,17828,17834,17841,17847,17853,17858,17864,17869,17875,17880,17885,17889,17894,17898,17903,17907,17910,17914,17918,17921,17924,17927,17930,17933,17935,17938,17940,17942,17944,17946,17948,17950,17951,17953,17954,17955,17956,17957,17958,17959,17960,17961,17962,17962,17963,17963,17964,17964,17965,17965,17965,17966,17966,17966,17967,17967,17967,17967,17967,17967,17967,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968,17968
4,"Massachusetts",17841,17849,17856,17863,17870,17877,17883,17889,17895,17900,17905,17910,17915,17919,17924,17928,17932,17935,17939,17943,17946,17949,17952,17955,17958,17961,17963,17965,17968,17970,17972,17974,17976,17978,17979,17981,17982,17984,17985,17986,17988,17989,17990,17991,17992,17993,17994,17994,17995,17996,17997,17997,17998,17998,17999,17999,18000,18000,18001,18001,18001,18002,18002,18002,18003,18003,18003,18003,18003,18004,18004,18004,18004,18004,18004,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18005,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006,18006
5,"Wisconsin",7765,7770,7775,7780,7785,7790,7794,7798,7802,7807,7810,7814,7818,7821,7825,7828,7832,7835,7838,7841,7844,7847,7850,7853,7856,7859,7861,7864,7866,7869,7871,7873,7875,7877,7879,7881,7883,7885,7886,7888,7889,7891,7892,7893,7894,7896,7897,7898,7898,7899,7900,7901,7902,7902,7903,7903,7904,7904,7905,7905,7906,7906,7906,7907,7907,7907,7907,7908,7908,7908,7908,7908,7908,7908,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909
6,"Texas",51350,51384,51418,51450,51482,51513,51543,51572,51601,51629,51657,51684,51711,51738,51765,51792,51819,51846,51872,51899,51925,51951,51976,52002,52026,52051,52075,52099,52122,52145,52167,52189,52210,52231,52251,52270,52289,52308,52325,52342,52359,52375,52390,52405,52419,52433,52446,52458,52470,52482,52492,52502,52512,52521,52530,52538,52546,52553,52560,52566,52572,52578,52583,52588,52592,52597,52601,52604,52608,52611,52614,52616,52619,52621,52623,52625,52626,52628,52629,52631,52632,52633,52634,52635,52635,52636,52637,52637,52638,52638,52639,52639,52639,52640,52640,52640,52640,52640,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52641,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642,52642
7,"Nebraska",2236,2237,2238,2238,2239,2240,2240,2241,2242,2242,2243,2243,2244,2244,2244,2245,2245,2245,2246,2246,2246,2247,2247,2247,2247,2248,2248,2248,2248,2248,2248,2249,2249,2249,2249,2249,2249,2249,2249,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251
8,"Utah",2292,2295,2298,2301,2303,2306,2309,2312,2314,2317,2319,2322,2324,2327,2329,2331,2333,2336,2338,2340,2342,2344,2346,2348,2350,2352,2354,2356,2358,2359,2361,2363,2364,2366,2368,2369,2371,2372,2373,2375,2376,2377,2379,2380,2381,2382,2383,2384,2385,2386,2387,2388,2389,2390,2391,2391,2392,2393,2394,2394,2395,2396,2396,2397,2397,2398,2398,2399,2399,2400,2400,2400,2401,2401,2402,2402,2402,2402,2403,2403,2403,2404,2404,2404,2404,2404,2404,2405,2405,2405,2405,2405,2405,2405,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407
9,"Oregon",2639,2644,2649,2655,2659,2664,2669,2673,2678,2682,2686,2690,2694,2697,2701,2704,2707,2711,2714,2717,2720,2723,2726,2728,2731,2733,2736,2738,2740,2743,2745,2747,2749,2750,2752,2754,2756,2757,2759,2760,2761,2763,2764,2765,2766,2767,2768,2769,2770,2771,2772,2773,2774,2774,2775,2776,2776,2777,2778,2778,2779,2779,2779,2780,2780,2781,2781,2781,2782,2782,2782,2782,2783,2783,2783,2783,2783,2784,2784,2784,2784,2784,2784,2784,2784,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786
