id,Country,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31
0,Afghanistan,69130,70073,71088,72186,73371,74645,76016,77485,79062,80752,82560,84494,86559,88769,91129,93655,96355,99237,102311,105592,109089,112817,116790,121023,125533,130336,135450,140893,146688,152853,159410,166382,173797,181680,190057,198957,208417,218464,229135,240468,252501,265271,278826,293210,308469,324655,341823,360024,379320,399773,421447,444412,468737,494499,521775,550649,581203,613533,647729,683890,722120,762522,805208,850295,897896,948140,1001151,1057060,1116003,1178117,1243547,1312432,1384925,1461177,1541335,1625556,1713993,1806803,1904138,2006151,2112992,2224808,2341742,2463932,2591507,2724592,2863295,3007720,3157957,3314082,3476150,3644211,3818283,3998374,4184461,4376504
1,Albania,132285,132316,132347,132377,132407,132436,132464,132491,132518,132543,132567,132593,132615,132638,132660,132682,132703,132723,132742,132761,132780,132797,132815,132832,132848,132865,132880,132894,132909,132923,132937,132950,132962,132976,132987,132998,133009,133020,133031,133041,133051,133060,133070,133079,133088,133097,133105,133113,133121,133128,133135,133142,133149,133156,133162,133169,133175,133181,133187,133192,133198,133203,133208,133213,133217,133222,133226,133230,133234,133237,133241,133245,133248,133252,133254,133258,133261,133264,133267,133270,133272,133275,133278,133280,133283,133286,133288,133290,133293,133295,133298,133302,133307,133313,133321,133329
2,Algeria,128198,128539,128896,129266,129650,130048,130460,130887,131330,131789,132265,132757,133267,133792,134337,134898,135480,136082,136700,137341,138001,138683,139386,140111,140859,141631,142425,143243,144088,144957,145853,146775,147724,148703,149709,150744,151809,152905,154033,155193,156386,157613,158875,160172,161504,162875,164283,165731,167218,168746,170315,171929,173585,175286,177033,178828,180670,182561,184504,186497,188544,190644,192800,195012,197282,199612,202002,204455,206971,209551,212199,214914,217700,220558,223487,226491,229572,232730,235970,239290,242694,246184,249760,253429,257186,261038,264985,269031,273177,277424,281777,286235,290805,295485,300280,305191
3,Andorra,13693,13705,13717,13729,13741,13752,13764,13777,13790,13802,13813,13825,13838,13850,13862,13875,13887,13900,13912,13925,13937,13949,13962,13975,13987,14000,14013,14025,14038,14050,14063,14075,14088,14101,14113,14126,14138,14150,14162,14175,14188,14199,14211,14223,14235,14248,14260,14272,14285,14296,14308,14319,14330,14342,14353,14365,14377,14388,14400,14411,14422,14433,14444,14455,14466,14477,14488,14499,14510,14521,14531,14542,14552,14563,14573,14583,14593,14603,14612,14622,14632,14641,14650,14660,14669,14678,14686,14695,14704,14713,14721,14729,14738,14746,14754,14762
4,Angola,33944,34326,34718,35117,35525,35940,36366,36799,37241,37693,38153,38624,39104,39594,40094,40605,41125,41658,42202,42757,43323,43902,44492,45097,45713,46341,46984,47640,48309,48994,49693,50406,51135,51879,52639,53413,54206,55014,55840,56683,57545,58424,59322,60239,61176,62132,63110,64107,65125,66165,67227,68311,69419,70550,71705,72884,74089,75319,76574,77857,79165,80503,81867,83262,84686,86139,87623,89138,90686,92266,93879,95527,97208,98926,100679,102469,104297,106163,108068,110014,111999,114027,116097,118209,120366,122569,124817,127112,129453,131840,134273,136752,139277,141847,144464,147127
5,Antigua and Barbuda,1259,1263,1267,1272,1278,1284,1290,1298,1305,1314,1323,1334,1346,1359,1373,1389,1407,1425,1446,1469,1494,1521,1552,1585,1622,1662,1707,1755,1808,1867,1930,2000,2077,2160,2252,2352,2461,2581,2711,2853,3009,3178,3362,3562,3780,4015,4270,4547,4845,5168,5515,5889,6290,6720,7180,7670,8191,8745,9331,9949,10598,11279,11989,12729,13494,14285,15099,15931,16779,17640,18509,19382,20255,21124,21986,22835,23670,24484,25276,26042,26781,27491,28169,28815,29428,30007,30553,31066,31547,31996,32413,32798,33151,33472,33761,34018
6,Argentina,3702422,3738410,3774978,3812090,3849664,3887668,3926095,3964938,4004166,4043592,4083190,4122969,4162908,4203035,4243371,4283893,4324568,4365378,4406308,4447343,4488466,4529659,4570902,4612177,4653467,4694754,4736111,4777538,4819017,4860537,4902082,4943636,4985185,5026715,5068213,5109663,5151049,5192361,5233582,5275060,5316833,5358913,5401315,5444051,5487139,5530583,5574398,5618587,5663160,5708119,5753466,5799200,5845323,5891834,5938729,5986004,6033657,6081687,6130087,6178855,6227987,6277475,6327317,6377507,6428032,6478890,6530066,6581550,6633331,6685395,6737729,6790315,6843139,6896184,6949431,7002865,7056467,7110218,7164101,7218095,7272183,7326347,7380565,7434818,7489091,7543360,7597607,7651812,7705957,7759947,7813696,7867187,7920408,7973343,8025979,8078317
7,Armenia,222513,222658,222800,222937,223072,223203,223328,223449,223567,223681,223793,223899,224003,224102,224200,224296,224388,224477,224564,224648,224729,224808,224886,224960,225033,225103,225172,225237,225302,225363,225425,225484,225541,225597,225650,225703,225752,225801,225849,225896,225940,225984,226026,226066,226106,226144,226181,226218,226253,226287,226321,226352,226383,226413,226442,226470,226498,226525,226550,226574,226599,226623,226646,226668,226689,226710,226731,226750,226769,226788,226806,226824,226840,226856,226871,226888,226902,226917,226930,226945,226957,226970,226982,226995,227006,227018,227028,227039,227050,227060,227070,227079,227088,227098,227107,227117
8,Australia,30083,30099,30117,30137,30155,30176,30198,30219,30244,30267,30292,30319,30347,30374,30404,30434,30465,30499,30533,30567,30603,30639,30677,30718,30759,30799,30842,30887,30932,30979,31028,31077,31125,31176,31229,31284,31339,31394,31453,31512,31571,31632,31695,31761,31826,31891,31960,32027,32099,32170,32244,32317,32393,32470,32548,32627,32708,32790,32872,32958,33042,33129,33217,33305,33395,33487,33579,33671,33765,33860,33956,34052,34150,34248,34348,34448,34548,34650,34752,34856,34958,35064,35168,35274,35378,35484,35592,35698,35806,35914,36020,36128,36238,36346,36454,36562
9,Austria,643709,644268,644813,645343,645858,646358,646841,647311,647764,648204,648631,649044,649444,649831,650207,650569,650920,651257,651584,651899,652201,652493,652774,653045,653306,653557,653797,654026,654246,654457,654658,654851,655035,655211,655379,655540,655694,655842,655983,656119,656248,656373,656491,656605,656715,656821,656922,657019,657113,657202,657288,657372,657453,657530,657605,657677,657747,657815,657880,657944,658005,658064,658121,658176,658231,658283,658333,658383,658431,658476,658522,658565,658608,658649,658688,658729,658766,658802,658839,658874,658907,658940,658972,659003,659033,659063,659091,659120,659146,659172,659196,659220,659243,659266,659288,659310
