id,Country,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18
0,"Washington",436984,437935,438885,439834,440781,441734,442682,443609,444530,445440,446340,447227,448101,448958,449798,450621,451426,452211,452977,453722,454445,455146,455825,456482,457115,457725,458312,458875,459414,459931,460424,460894,461342,461767,462170,462552,462913,463253,463573,463875,464157,464422,464670,464900,465115,465315,465501,465673,465831,465978,466113,466237,466350,466454,466549,466636,466715,466786,466851,466910,466963,467010,467053,467091,467126,467156,467184,467208,467230,467249,467265,467280,467293,467305,467315,467323,467331,467338,467343,467348,467353,467356,467359,467362,467364,467366,467368,467369,467371,467372,467373,467373,467374,467374,467375,467375,467375,467376,467376,467376,467376,467376,467376,467376,467376,467376,467376,467376,467376,467376,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377,467377
1,"Illinois",1382505,1383220,1383898,1384543,1385154,1385734,1386285,1386806,1387298,1387764,1388204,1388621,1389016,1389390,1389742,1390073,1390386,1390679,1390955,1391215,1391458,1391687,1391901,1392102,1392290,1392466,1392631,1392784,1392928,1393061,1393186,1393302,1393409,1393510,1393603,1393689,1393769,1393843,1393912,1393975,1394034,1394088,1394138,1394184,1394226,1394265,1394301,1394333,1394363,1394391,1394416,1394439,1394460,1394480,1394497,1394513,1394528,1394541,1394553,1394564,1394573,1394582,1394591,1394598,1394604,1394610,1394616,1394620,1394625,1394629,1394632,1394635,1394638,1394641,1394643,1394645,1394647,1394648,1394650,1394651,1394652,1394653,1394654,1394654,1394655,1394656,1394656,1394657,1394657,1394657,1394658,1394658,1394658,1394658,1394659,1394659,1394659,1394659,1394659,1394659,1394659,1394659,1394659,1394659,1394659,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660,1394660
2,"California",3790976,3791988,3792979,3793953,3794912,3795858,3796783,3797681,3798554,3799405,3800232,3801035,3801814,3802568,3803295,3803996,3804672,3805322,3805946,3806544,3807117,3807664,3808186,3808683,3809156,3809605,3810031,3810434,3810815,3811174,3811512,3811830,3812128,3812408,3812669,3812913,3813140,3813352,3813549,3813731,3813899,3814055,3814199,3814331,3814452,3814563,3814665,3814758,3814843,3814920,3814990,3815054,3815112,3815163,3815210,3815252,3815290,3815324,3815354,3815381,3815405,3815427,3815445,3815462,3815477,3815490,3815501,3815511,3815520,3815528,3815535,3815540,3815545,3815550,3815554,3815557,3815560,3815562,3815564,3815566,3815567,3815568,3815569,3815570,3815571,3815572,3815572,3815573,3815573,3815573,3815574,3815574,3815574,3815574,3815574,3815574,3815574,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575,3815575
3,"Arizona",881454,881971,882484,882996,883499,883995,884480,884962,885437,885909,886377,886842,887303,887760,888211,888653,889087,889515,889934,890347,890754,891155,891550,891939,892322,892697,893065,893426,893778,894122,894459,894789,895112,895428,895736,896038,896332,896619,896898,897170,897434,897691,897940,898182,898418,898646,898868,899083,899290,899492,899686,899874,900055,900229,900398,900560,900717,900867,901012,901151,901285,901413,901535,901653,901765,901873,901976,902074,902168,902257,902343,902424,902501,902574,902644,902710,902773,902832,902888,902941,902991,903039,903083,903125,903165,903202,903237,903270,903301,903330,903357,903382,903406,903428,903449,903468,903486,903502,903518,903532,903545,903557,903569,903579,903589,903598,903606,903613,903620,903626,903632,903638,903642,903647,903651,903654,903658,903661,903664,903666,903668,903670,903672,903674,903675,903677,903678,903679,903680,903681,903681,903682,903683,903683,903684,903684,903684,903685,903685,903685,903685,903686,903686,903686,903686,903686,903686,903686,903686,903686,903686,903686,903686,903686,903686,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687,903687
4,"Massachusetts",707131,707329,707512,707683,707841,707987,708123,708249,708366,708474,708574,708666,708752,708831,708904,708971,709032,709089,709141,709188,709232,709272,709308,709341,709372,709399,709425,709447,709468,709487,709504,709520,709534,709547,709558,709568,709578,709586,709593,709600,709606,709612,709616,709621,709625,709628,709631,709634,709636,709638,709640,709642,709643,709645,709646,709647,709648,709648,709649,709650,709650,709651,709651,709651,709652,709652,709652,709652,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709653,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654,709654
5,"Wisconsin",674480,674685,674879,675063,675237,675400,675555,675702,675840,675969,676091,676206,676315,676418,676514,676605,676689,676768,676842,676912,676977,677037,677094,677146,677196,677241,677284,677324,677361,677395,677426,677456,677483,677508,677531,677553,677572,677591,677607,677623,677637,677650,677662,677673,677683,677692,677700,677708,677715,677722,677727,677733,677737,677742,677746,677749,677753,677755,677758,677761,677763,677765,677766,677768,677769,677771,677772,677773,677774,677774,677775,677776,677776,677777,677777,677778,677778,677778,677779,677779,677779,677779,677780,677780,677780,677780,677780,677780,677780,677780,677780,677780,677780,677780,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781,677781
6,"Texas",2954084,2955304,2956472,2957599,2958673,2959698,2960678,2961619,2962523,2963402,2964258,2965089,2965893,2966663,2967391,2968089,2968755,2969391,2969999,2970581,2971138,2971673,2972186,2972677,2973146,2973593,2974018,2974422,2974805,2975169,2975516,2975845,2976158,2976455,2976738,2977006,2977259,2977500,2977727,2977941,2978144,2978335,2978515,2978685,2978845,2978996,2979138,2979272,2979397,2979515,2979626,2979730,2979827,2979918,2980003,2980082,2980157,2980226,2980291,2980351,2980407,2980460,2980509,2980554,2980596,2980635,2980671,2980704,2980735,2980764,2980791,2980815,2980838,2980858,2980878,2980895,2980912,2980926,2980940,2980953,2980964,2980975,2980984,2980993,2981001,2981009,2981015,2981021,2981027,2981032,2981036,2981041,2981044,2981048,2981051,2981054,2981056,2981058,2981060,2981062,2981064,2981065,2981067,2981068,2981069,2981070,2981071,2981071,2981072,2981073,2981073,2981074,2981074,2981074,2981075,2981075,2981075,2981075,2981076,2981076,2981076,2981076,2981076,2981076,2981076,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077,2981077
7,"Nebraska",223404,223447,223489,223529,223568,223605,223641,223673,223705,223734,223762,223789,223814,223837,223859,223880,223899,223917,223934,223950,223965,223978,223991,224003,224014,224024,224034,224042,224050,224058,224064,224070,224076,224081,224086,224090,224094,224098,224101,224104,224107,224109,224111,224113,224115,224116,224118,224119,224120,224121,224122,224123,224124,224124,224125,224125,224126,224126,224126,224127,224127,224127,224127,224127,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128,224128
8,"Utah",406282,406476,406664,406845,407021,407190,407354,407512,407665,407812,407955,408094,408227,408357,408482,408601,408716,408827,408933,409034,409132,409225,409315,409401,409484,409562,409638,409710,409778,409844,409906,409965,410022,410075,410126,410175,410221,410264,410306,410345,410382,410416,410449,410481,410510,410538,410564,410588,410611,410633,410653,410672,410690,410707,410722,410737,410751,410763,410775,410786,410796,410806,410815,410823,410831,410838,410844,410850,410856,410861,410866,410870,410874,410878,410881,410884,410887,410890,410892,410895,410897,410898,410900,410902,410903,410904,410905,410906,410907,410908,410909,410910,410910,410911,410911,410912,410912,410912,410913,410913,410913,410913,410914,410914,410914,410914,410914,410914,410914,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915,410915
9,"Oregon",201650,201959,202258,202545,202822,203089,203347,203595,203831,204057,204273,204479,204676,204864,205042,205212,205372,205524,205668,205804,205932,206053,206166,206273,206373,206466,206554,206636,206712,206783,206850,206911,206968,207021,207070,207115,207156,207194,207229,207262,207291,207318,207343,207366,207386,207405,207422,207437,207451,207464,207475,207485,207494,207503,207510,207517,207522,207528,207532,207537,207540,207544,207546,207549,207551,207553,207555,207557,207558,207559,207560,207561,207562,207562,207563,207563,207564,207564,207565,207565,207565,207565,207565,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566,207566
