forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,point,NA,116
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.01,36
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.025,63
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.05,71
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.1,81
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.15,86
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.2,95
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.25,100
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.3,103
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.35,106
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.4,109
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.45,113
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.5,116
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.55,120
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.6,122
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.65,125
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.7,127
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.75,130
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.8,137
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.85,142
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.9,147
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.95,161
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.975,173
2021-06-16,1 wk ahead inc case,2021-06-19,PL72,PL72,quantile,0.99,177
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,point,NA,213057
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.01,212977
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.025,213004
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.05,213012
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.1,213022
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.15,213027
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.2,213036
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.25,213041
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.3,213044
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.35,213047
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.4,213050
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.45,213054
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.5,213057
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.55,213061
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.6,213063
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.65,213066
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.7,213068
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.75,213071
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.8,213078
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.85,213083
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.9,213088
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.95,213102
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.975,213114
2021-06-16,1 wk ahead cum case,2021-06-19,PL72,PL72,quantile,0.99,213118
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,point,NA,82
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.01,15
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.025,32
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.05,41
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.1,52
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.15,60
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.2,64
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.25,67
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.3,70
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.35,74
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.4,77
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.45,79
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.5,82
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.55,85
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.6,87
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.65,90
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.7,93
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.75,99
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.8,104
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.85,107
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.9,114
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.95,128
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.975,136
2021-06-16,2 wk ahead inc case,2021-06-26,PL72,PL72,quantile,0.99,138
2021-06-16,2 wk ahead cum case,2021-06-26,PL72,PL72,point,NA,213139
2021-06-16,2 wk ahead cum case,2021-06-26,PL72,PL72,quantile,0.01,213072
2021-06-16,2 wk ahead cum case,2021-06-26,PL72,PL72,quantile,0.025,213089
