id,Country,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19
0,Afghanistan,7174,7175,7176,7177,7178,7179,7180,7181,7182,7183,7184,7185,7186,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187,7187
1,Albania,2557,2562,2567,2572,2578,2583,2590,2596,2603,2609,2616,2622,2629,2636,2642,2649,2656,2662,2669,2676,2682,2689,2696,2702,2709,2715,2722,2728,2734,2740,2746,2752,2758,2764,2770,2776,2782,2788,2794,2800,2805,2810,2816,2821,2826,2831,2836,2841,2846,2851,2855,2860,2864,2868,2872,2876,2880,2884,2888,2892,2896,2899,2903,2906,2909,2912,2915,2918,2921,2924,2926,2928,2931,2933,2935,2937,2939,2941,2943,2945,2947,2948,2949,2951,2952,2953,2954,2955,2956,2957,2958,2959,2960,2961,2962,2963
2,Algeria,5630,5643,5656,5669,5681,5693,5705,5716,5727,5738,5748,5758,5768,5777,5786,5795,5804,5812,5820,5828,5835,5843,5850,5857,5863,5869,5875,5880,5885,5890,5895,5900,5904,5908,5912,5916,5919,5922,5925,5928,5931,5933,5936,5938,5940,5942,5944,5946,5947,5948,5949,5950,5951,5952,5953,5954,5955,5956,5956,5956,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957,5957
3,Andorra,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
4,Angola,1360,1368,1377,1386,1396,1406,1416,1426,1437,1448,1458,1469,1479,1489,1500,1510,1521,1531,1541,1552,1562,1572,1583,1593,1604,1614,1624,1635,1645,1655,1666,1676,1686,1697,1707,1717,1728,1738,1748,1758,1769,1779,1789,1799,1810,1820,1830,1840,1851,1861,1871,1881,1891,1902,1912,1922,1932,1942,1952,1962,1972,1982,1992,2002,2012,2022,2032,2042,2052,2062,2071,2081,2091,2101,2111,2120,2130,2140,2149,2159,2168,2178,2187,2197,2206,2216,2225,2234,2243,2252,2261,2270,2279,2287,2294,2300
5,Antigua and Barbuda,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
6,Argentina,113969,114061,114150,114237,114321,114402,114479,114552,114621,114687,114749,114809,114865,114919,114971,115021,115069,115115,115161,115204,115246,115286,115325,115362,115397,115431,115464,115496,115526,115555,115583,115609,115635,115659,115681,115703,115724,115743,115761,115779,115795,115811,115825,115839,115852,115865,115876,115887,115897,115907,115916,115924,115932,115940,115947,115953,115959,115965,115970,115975,115980,115984,115988,115992,115995,115998,116001,116004,116007,116009,116011,116013,116015,116017,116019,116020,116021,116022,116023,116024,116025,116026,116027,116027,116028,116029,116029,116030,116030,116030,116030,116030,116030,116030,116030,116030
7,Armenia,5056,5071,5086,5101,5117,5133,5150,5166,5183,5200,5216,5233,5250,5267,5284,5301,5318,5335,5352,5369,5386,5404,5421,5439,5457,5475,5492,5510,5528,5546,5564,5581,5599,5617,5635,5653,5671,5689,5706,5724,5742,5760,5778,5795,5813,5831,5848,5866,5883,5901,5918,5936,5953,5970,5988,6005,6022,6039,6056,6073,6089,6106,6122,6139,6155,6171,6187,6203,6219,6235,6251,6266,6282,6297,6312,6327,6342,6357,6371,6386,6400,6414,6428,6442,6455,6469,6482,6495,6508,6521,6534,6546,6558,6570,6582,6593
8,Australia,1128,1137,1147,1158,1169,1181,1193,1206,1219,1233,1247,1262,1277,1292,1307,1323,1338,1354,1370,1386,1401,1417,1433,1448,1463,1478,1493,1507,1521,1535,1549,1562,1575,1587,1599,1611,1622,1632,1642,1652,1661,1670,1678,1686,1693,1700,1707,1713,1718,1723,1728,1732,1736,1739,1743,1746,1749,1751,1753,1755,1757,1759,1761,1762,1763,1764,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765
9,Austria,10856,10859,10863,10866,10870,10873,10877,10881,10885,10889,10893,10897,10901,10905,10909,10913,10917,10922,10926,10931,10935,10940,10944,10949,10954,10959,10963,10968,10973,10978,10983,10988,10994,10999,11004,11009,11015,11020,11026,11031,11037,11042,11048,11054,11059,11064,11070,11076,11081,11087,11092,11098,11104,11110,11115,11121,11127,11133,11138,11144,11150,11155,11161,11166,11172,11177,11183,11188,11194,11199,11204,11210,11215,11220,11225,11230,11235,11240,11245,11250,11255,11259,11264,11269,11274,11278,11283,11287,11291,11295,11299,11302,11304,11305,11305,11305
