id,Country,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01
0,Afghanistan,155944,155968,155992,156014,156036,156058,156078,156098,156118,156137,156155,156172,156189,156206,156222,156237,156252,156267,156281,156295,156308,156321,156333,156345,156357,156368,156379,156389,156400,156409,156419,156428,156437,156446,156454,156463,156470,156478,156486,156493,156500,156506,156513,156519,156525,156531,156537,156543,156548,156553,156558,156563,156568,156572,156577,156581,156585,156589,156593,156597,156601,156604,156608,156611,156614,156617,156620,156623,156626,156629,156632,156634,156637,156639,156641,156644,156646,156648,156650,156652,156654,156656,156658,156659,156661,156663,156664,156666,156667,156669,156670,156672,156673,156674,156675,156677,156678,156679,156680,156681,156682
1,Albania,181696,181864,182375,182886,183407,183927,184458,184988,185528,186067,186617,187166,187725,188282,188851,189418,189995,190571,191158,191742,192338,192931,193536,194137,194750,195361,195982,196600,197230,197856,198494,199128,199773,200415,201067,201716,202376,203032,203699,204361,205034,205703,206383,207058,207744,208424,209116,209802,210499,211190,211891,212587,213293,213994,214704,215408,216122,216830,217548,218259,218979,219693,220416,221132,221857,222575,223302,224022,224750,225471,226200,226921,227650,228372,229101,229822,230552,231272,232000,232720,233446,234164,234889,235605,236328,237042,237762,238473,239190,239898,240612,241316,242026,242726,243432,244127,244828,245519,246216,246901,247592
2,Algeria,205822,205894,205964,206033,206100,206165,206229,206291,206351,206409,206466,206522,206576,206629,206680,206730,206778,206826,206872,206917,206960,207003,207044,207085,207124,207162,207199,207236,207271,207305,207339,207371,207403,207434,207464,207493,207522,207550,207577,207603,207628,207653,207678,207701,207724,207747,207769,207790,207811,207831,207850,207870,207888,207906,207924,207941,207958,207974,207990,208005,208020,208035,208049,208063,208077,208090,208103,208115,208127,208139,208151,208162,208173,208183,208194,208204,208213,208223,208232,208241,208250,208259,208267,208275,208283,208291,208298,208306,208313,208320,208327,208333,208339,208346,208352,208358,208363,208369,208374,208380,208385
3,Andorra,15404,15406,15415,15425,15434,15443,15453,15463,15473,15483,15493,15503,15514,15525,15535,15546,15558,15569,15580,15592,15604,15616,15628,15640,15652,15665,15678,15691,15704,15717,15731,15744,15758,15772,15786,15801,15815,15830,15845,15860,15876,15891,15907,15923,15939,15956,15972,15989,16006,16023,16041,16058,16076,16094,16113,16131,16150,16169,16188,16207,16227,16247,16267,16287,16308,16328,16349,16370,16392,16414,16436,16458,16480,16503,16525,16548,16572,16595,16619,16643,16667,16692,16717,16741,16767,16792,16818,16843,16870,16896,16923,16949,16976,17004,17031,17059,17087,17115,17143,17172,17201
4,Angola,63861,63986,64104,64218,64319,64413,64503,64587,64667,64742,64814,64882,64946,65006,65064,65118,65169,65217,65263,65307,65348,65386,65423,65458,65491,65522,65551,65579,65605,65630,65653,65676,65697,65716,65735,65753,65770,65786,65801,65815,65829,65841,65853,65865,65876,65886,65895,65904,65913,65921,65929,65936,65943,65950,65956,65962,65967,65973,65977,65982,65987,65991,65995,65998,66002,66005,66009,66011,66014,66017,66020,66022,66024,66026,66028,66030,66032,66034,66035,66037,66038,66040,66041,66042,66044,66045,66046,66047,66048,66048,66049,66050,66051,66052,66052,66053,66053,66054,66054,66055,66055
5,Antigua and Barbuda,4019,4013,4026,4038,4049,4060,4071,4081,4090,4099,4108,4116,4124,4132,4139,4146,4153,4159,4165,4171,4176,4182,4187,4191,4196,4200,4204,4208,4212,4216,4219,4222,4225,4228,4231,4234,4237,4239,4241,4244,4246,4248,4250,4252,4253,4255,4257,4258,4260,4261,4263,4264,4265,4266,4267,4268,4269,4270,4271,4272,4273,4274,4274,4275,4276,4277,4277,4278,4278,4279,4279,4280,4280,4281,4281,4282,4282,4282,4283,4283,4283,4284,4284,4284,4285,4285,4285,4285,4286,4286,4286,4286,4286,4287,4287,4287,4287,4287,4287,4287,4288
6,Argentina,5280358,5280114,5281052,5281964,5282897,5283801,5284726,5285622,5286538,5287427,5288337,5289221,5290125,5291002,5291900,5292771,5293664,5294531,5295418,5296281,5297164,5298022,5298901,5299755,5300630,5301480,5302352,5303199,5304068,5304912,5305778,5306619,5307482,5308322,5309183,5310020,5310879,5311714,5312571,5313405,5314261,5315094,5315948,5316780,5317633,5318464,5319317,5320147,5320999,5321829,5322681,5323511,5324363,5325192,5326044,5326874,5327726,5328556,5329409,5330240,5331093,5331925,5332779,5333612,5334467,5335301,5336157,5336992,5337850,5338686,5339546,5340384,5341245,5342085,5342948,5343790,5344655,5345498,5346366,5347211,5348081,5348929,5349801,5350652,5351527,5352380,5353257,5354113,5354994,5355852,5356736,5357598,5358484,5359349,5360239,5361107,5362000,5362871,5363768,5364643,5365543
7,Armenia,295368,295997,297968,299979,302055,304170,306350,308570,310857,313186,315585,318026,320539,323095,325725,328398,331148,333941,336813,339728,342723,345761,348881,352045,355291,358580,361953,365369,368869,372410,376037,379704,383456,387247,391123,395036,399034,403067,407183,411333,415564,419826,424169,428538,432987,437459,442008,446576,451219,455877,460606,465347,470155,474969,479848,484729,489669,494606,499598,504583,509617,514639,519706,524754,529843,534907,540007,545077,550177,555242,560331,565381,570449,575472,580508,585495,590489,595428,600371,605254,610135,614952,619763,624506,629237,633898,638542,643113,647663,652136,656586,660956,665299,669561,673792,677940,682055,686086,690081,693991,697862
8,Australia,160302,161893,163906,165888,167868,169815,171759,173670,175577,177453,179327,181171,183013,184824,186632,188411,190186,191933,193676,195391,197103,198786,200467,202119,203769,205391,207010,208603,210192,211754,213314,214848,216378,217883,219385,220862,222336,223784,225230,226652,228070,229464,230856,232224,233589,234930,236269,237585,238898,240189,241476,242742,244005,245246,246484,247701,248915,250108,251299,252469,253636,254783,255927,257051,258173,259275,260375,261455,262533,263592,264648,265686,266721,267738,268753,269750,270744,271721,272695,273653,274607,275545,276481,277400,278317,279217,280115,280997,281877,282741,283603,284450,285294,286124,286951,287764,288574,289370,290163,290943,291720
9,Austria,798606,798628,801932,805313,808838,812440,816190,820020,824006,828079,832318,836647,841149,845745,850524,855400,860468,865637,871006,876481,882163,887955,893962,900082,906426,912885,919575,926383,933428,940595,948004,955536,963316,971220,979377,987658,996195,1004855,1013774,1022816,1032117,1041539,1051219,1061017,1071073,1081242,1091665,1102197,1112978,1123861,1134987,1146208,1157664,1169207,1180974,1192819,1204878,1217004,1229331,1241713,1254282,1266894,1279677,1292491,1305459,1318444,1331564,1344687,1357928,1371157,1384483,1397783,1411161,1424496,1437891,1451228,1464603,1477907,1491230,1504465,1517701,1530836,1543952,1556953,1569919,1582757,1595542,1608187,1620765,1633191,1645535,1657716,1669803,1681719,1693528,1705157,1716670,1727995,1739195,1750139,1760475
