id,Country,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07
0,"Washington",8628,8654,8680,8705,8731,8756,8781,8805,8829,8853,8877,8901,8924,8948,8971,8994,9017,9040,9062,9084,9105,9125,9145,9164,9183,9201,9219,9237,9255,9272,9289,9305,9321,9337,9353,9368,9383,9398,9413,9427,9441,9455,9468,9481,9494,9507,9519,9531,9543,9555,9566,9578,9589,9600,9611,9622,9633,9643,9654,9664,9675,9685,9695,9705,9715,9726,9736,9746,9756,9766,9776,9786,9796,9806,9816,9826,9837,9847,9858,9868,9879,9889,9900,9911,9921,9932,9942,9952,9963,9974,9984,9995,10006,10016,10027,10038,10049,10060,10071,10082,10093
1,"Illinois",28204,28229,28253,28275,28297,28318,28339,28358,28377,28396,28414,28432,28451,28469,28486,28504,28522,28540,28557,28574,28591,28608,28625,28641,28658,28674,28689,28705,28720,28735,28749,28764,28778,28793,28807,28821,28835,28849,28863,28877,28890,28904,28918,28932,28946,28960,28974,28989,29003,29017,29032,29046,29061,29076,29091,29106,29121,29137,29152,29168,29185,29201,29218,29235,29253,29271,29289,29307,29327,29346,29366,29387,29408,29429,29452,29475,29498,29522,29547,29573,29599,29627,29655,29684,29714,29745,29776,29809,29843,29877,29913,29950,29987,30026,30066,30107,30149,30192,30236,30281,30327
2,"California",71941,72022,72100,72174,72244,72312,72377,72439,72500,72562,72622,72683,72745,72806,72868,72931,72994,73058,73123,73189,73255,73322,73389,73457,73524,73590,73654,73716,73777,73835,73890,73944,73996,74047,74096,74144,74190,74234,74278,74320,74360,74400,74438,74475,74511,74545,74579,74612,74643,74674,74704,74733,74761,74788,74815,74841,74866,74890,74914,74938,74961,74983,75006,75027,75049,75070,75091,75112,75132,75152,75172,75192,75212,75232,75251,75271,75290,75310,75329,75349,75368,75388,75408,75427,75447,75468,75488,75508,75529,75550,75571,75592,75613,75634,75656,75677,75699,75721,75743,75765,75788
3,"Arizona",21153,21195,21234,21270,21304,21335,21363,21389,21415,21441,21467,21493,21519,21545,21572,21598,21625,21653,21680,21708,21736,21764,21793,21821,21850,21878,21906,21933,21960,21987,22013,22039,22065,22091,22117,22143,22169,22194,22220,22246,22272,22298,22324,22351,22377,22404,22430,22457,22485,22512,22539,22567,22595,22623,22651,22680,22709,22738,22767,22797,22827,22857,22887,22918,22949,22981,23013,23045,23077,23110,23144,23177,23212,23246,23281,23317,23352,23389,23426,23463,23500,23539,23577,23616,23656,23696,23737,23778,23819,23861,23904,23946,23990,24030,24065,24100,24134,24168,24202,24235,24268
4,"Massachusetts",18996,19008,19019,19031,19042,19052,19063,19073,19083,19093,19103,19113,19123,19133,19143,19153,19163,19173,19182,19192,19201,19210,19218,19227,19235,19243,19250,19258,19265,19273,19280,19286,19293,19300,19306,19313,19319,19325,19331,19337,19343,19348,19354,19359,19365,19370,19375,19381,19386,19391,19396,19401,19406,19411,19416,19421,19426,19431,19437,19442,19447,19452,19458,19463,19469,19475,19481,19487,19493,19500,19506,19513,19520,19528,19535,19543,19551,19560,19569,19578,19588,19598,19609,19620,19631,19643,19656,19669,19682,19696,19711,19726,19742,19759,19776,19794,19813,19833,19853,19874,19896
5,"Wisconsin",9416,9436,9455,9474,9491,9508,9523,9537,9551,9565,9578,9590,9602,9614,9624,9635,9645,9655,9664,9674,9684,9694,9704,9715,9725,9735,9745,9755,9765,9775,9785,9795,9805,9816,9826,9837,9848,9860,9871,9883,9895,9908,9921,9934,9948,9961,9976,9991,10006,10021,10038,10054,10071,10088,10106,10125,10143,10163,10183,10203,10224,10245,10267,10290,10313,10336,10360,10385,10410,10436,10462,10488,10515,10543,10571,10599,10628,10657,10687,10717,10747,10778,10809,10840,10871,10903,10934,10966,10998,11030,11062,11094,11126,11158,11189,11221,11252,11283,11313,11344,11374
6,"Texas",71139,71268,71391,71509,71623,71734,71840,71943,72044,72142,72238,72329,72418,72502,72583,72661,72736,72808,72878,72946,73012,73077,73141,73203,73263,73322,73378,73432,73484,73533,73580,73626,73671,73716,73759,73801,73843,73884,73925,73965,74004,74044,74083,74121,74160,74198,74236,74275,74313,74351,74389,74427,74466,74504,74543,74582,74621,74660,74700,74740,74780,74820,74861,74903,74944,74986,75029,75072,75115,75159,75203,75248,75294,75339,75386,75433,75480,75528,75576,75625,75675,75725,75776,75827,75879,75932,75985,76038,76092,76147,76202,76258,76315,76372,76429,76487,76546,76605,76664,76724,76785
7,"Nebraska",2975,2977,2979,2981,2983,2984,2986,2987,2989,2991,2992,2994,2996,2998,3000,3002,3005,3007,3010,3012,3014,3017,3019,3021,3024,3026,3029,3031,3034,3036,3039,3041,3044,3046,3049,3052,3055,3057,3060,3063,3066,3069,3072,3076,3079,3082,3086,3089,3093,3097,3101,3105,3109,3113,3118,3122,3127,3132,3137,3142,3147,3153,3158,3164,3170,3176,3182,3188,3194,3201,3208,3214,3221,3228,3235,3242,3250,3257,3264,3271,3279,3286,3293,3301,3308,3315,3322,3329,3336,3343,3350,3356,3363,3369,3376,3382,3388,3394,3399,3405,3410
8,"Utah",3208,3219,3229,3239,3249,3258,3267,3276,3284,3293,3301,3310,3318,3327,3336,3345,3354,3363,3372,3381,3391,3401,3410,3420,3430,3440,3449,3458,3467,3476,3484,3492,3500,3508,3516,3523,3531,3538,3544,3551,3558,3564,3570,3576,3582,3587,3593,3598,3603,3608,3613,3618,3622,3627,3631,3635,3639,3643,3647,3650,3654,3657,3660,3663,3666,3669,3672,3675,3678,3680,3683,3685,3687,3690,3692,3694,3696,3698,3700,3701,3703,3705,3706,3708,3709,3711,3712,3713,3715,3716,3717,3718,3719,3721,3722,3723,3723,3724,3725,3726,3727
9,"Oregon",4372,4385,4398,4412,4425,4438,4452,4465,4479,4492,4506,4519,4532,4546,4558,4571,4584,4596,4608,4620,4632,4643,4654,4665,4675,4686,4696,4706,4716,4726,4736,4745,4754,4763,4772,4781,4790,4799,4807,4815,4823,4831,4839,4847,4855,4862,4870,4877,4884,4891,4898,4905,4911,4918,4925,4931,4937,4944,4950,4956,4962,4969,4975,4981,4987,4993,4999,5005,5011,5017,5023,5028,5034,5040,5046,5052,5058,5064,5070,5076,5082,5088,5094,5100,5106,5112,5118,5124,5130,5136,5142,5148,5154,5160,5166,5172,5178,5185,5191,5197,5203
