place,week_ahead,quantile,value
Washington,1,point,11799.2381239813
Washington,1,0.025,10233.3430832775
Washington,1,0.1,10311.1918960668
Washington,1,0.25,10986.0254249119
Washington,1,0.5,11744.772004758
Washington,1,0.75,12144.232915568
Washington,1,0.9,13350.3567827607
Washington,1,0.975,15356.6895346961
Washington,2,point,11127.1028699187
Washington,2,0.025,8273.70655123843
Washington,2,0.1,8375.50653209899
Washington,2,0.25,9536.1917648536
Washington,2,0.5,10943.8541567583
Washington,2,0.75,11718.5040791374
Washington,2,0.9,14125.390059326
Washington,2,0.975,18357.0627235537
Washington,3,point,10678.8496381794
Washington,3,0.025,6712.267465126
Washington,3,0.1,6825.43626247188
Washington,3,0.25,8323.58508721954
Washington,3,0.5,10306.9212835881
Washington,3,0.75,11410.9276070898
Washington,3,0.9,15070.1799706236
Washington,3,0.975,21894.6350490463
Washington,4,point,10417.6312355746
Washington,4,0.025,5459.97430287406
Washington,4,0.1,5561.90202591543
Washington,4,0.25,7296.03970013716
Washington,4,0.5,9798.49257224197
Washington,4,0.75,11229.8199370347
Washington,4,0.9,16189.0660551432
Washington,4,0.975,25860.432596991
Washington,5,point,10610.0845602273
Washington,5,0.025,4585.61383236118
Washington,5,0.1,4681.43305180916
Washington,5,0.25,6615.68630632089
Washington,5,0.5,9678.45329047841
Washington,5,0.75,11446.3155189686
Washington,5,0.9,17939.8369204515
Washington,5,0.975,31136.3632964882
Washington,6,point,11566.8346289569
Washington,6,0.025,4082.69295948744
Washington,6,0.1,4167.56300423592
Washington,6,0.25,6374.53964446601
Washington,6,0.5,10195.6540439004
Washington,6,0.75,12445.9807065882
Washington,6,0.9,21042.0250848489
Washington,6,0.975,39047.2781925733
Washington,7,point,13382.826998633
Washington,7,0.025,3849.02536268602
Washington,7,0.1,3931.71013665209
Washington,7,0.25,6514.54028042499
Washington,7,0.5,11398.3107513612
Washington,7,0.75,14309.9976292421
Washington,7,0.9,25860.22605263
Washington,7,0.975,50642.6211157885
Illinois,1,point,22580.2340451737
Illinois,1,0.025,16401.8742161025
Illinois,1,0.1,17473.6630088968
Illinois,1,0.25,19828.0268535262
Illinois,1,0.5,22139.5420293309
Illinois,1,0.75,24086.5175930454
Illinois,1,0.9,28354.7330377101
Illinois,1,0.975,34564.445225202
Illinois,2,point,25762.2940662285
Illinois,2,0.025,13281.3489302034
Illinois,2,0.1,14966.2554997024
Illinois,2,0.25,19328.5900401628
Illinois,2,0.5,24367.5843181592
Illinois,2,0.75,28850.44489314
Illinois,2,0.9,38780.7598418759
Illinois,2,0.975,54216.8364410391
Illinois,3,point,30420.5705303376
Illinois,3,0.025,10864.192711123
Illinois,3,0.1,12961.8354796482
Illinois,3,0.25,19098.92085566
Illinois,3,0.5,27414.9616065203
Illinois,3,0.75,35081.7915114357
Illinois,3,0.9,52782.504861156
Illinois,3,0.975,82165.9793959155
Illinois,4,point,36523.4506989077
Illinois,4,0.025,9070.55189801846
Illinois,4,0.1,11360.6833594431
Illinois,4,0.25,19161.0038214698
Illinois,4,0.5,31337.3780194458
Illinois,4,0.75,43186.5230681502
Illinois,4,0.9,70288.0503815515
Illinois,4,0.975,116350.843817484
Illinois,5,point,43519.1881735128
Illinois,5,0.025,7817.85438789218
Illinois,5,0.1,10281.2493469317
Illinois,5,0.25,19771.5124004468
Illinois,5,0.5,36017.9848211366
Illinois,5,0.75,53058.9580938869
Illinois,5,0.9,89506.258405722
Illinois,5,0.975,149759.681492228
Illinois,6,point,50164.6648352629
Illinois,6,0.025,7016.39658301766
Illinois,6,0.1,9603.5147737127
Illinois,6,0.25,21029.708302548
Illinois,6,0.5,40987.5891644963
Illinois,6,0.75,64776.8910494807
Illinois,6,0.9,106994.387253205
Illinois,6,0.975,167929.163512967
Illinois,7,point,55104.7813732046
Illinois,7,0.025,6555.09500741912
Illinois,7,0.1,9337.67565460212
Illinois,7,0.25,23020.1532700676
Illinois,7,0.5,45639.2752979579
Illinois,7,0.75,77208.5990660013
Illinois,7,0.9,118921.284948005
Illinois,7,0.975,160002.73709655
California,1,point,43904.6473700178
California,1,0.025,32980.9543070029
California,1,0.1,36013.6003080856
California,1,0.25,40100.0432970086
California,1,0.5,43404.5517426686
California,1,0.75,46070.9912690519
California,1,0.9,52518.5476107948
California,1,0.975,62402.9048917219
California,2,point,44818.3757044555
California,2,0.025,26041.7422858439
California,2,0.1,31021.0138141585
California,2,0.25,37813.8389412425
California,2,0.5,43671.0853703247
California,2,0.75,48655.2618035387
California,2,0.9,60366.5753917327
California,2,0.975,78560.8605867084
California,3,point,46963.6024278837
California,3,0.025,20666.488921253
California,3,0.1,26904.707370533
California,3,0.25,35910.0906291381
California,3,0.5,44658.3414323887
California,3,0.75,52178.7434996262
California,3,0.9,70624.9988600004
California,3,0.975,101184.936938974
California,4,point,50418.6813065618
California,4,0.025,16646.4055026025
California,4,0.1,23560.2833237438
California,4,0.25,34471.1207744619
California,4,0.5,46505.6201230801
California,4,0.75,57025.2976518
California,4,0.9,83453.993777546
California,4,0.975,129278.271152034
California,5,point,57009.8209054428
California,5,0.025,14059.8946080059
California,5,0.1,21680.2510613401
California,5,0.25,34663.8427788285
California,5,0.5,50833.6304942614
California,5,0.75,65103.4047112206
California,5,0.9,102164.392504421
California,5,0.975,169119.565710823
California,6,point,68079.2868100118
California,6,0.025,12663.6897014314
California,6,0.1,20981.1794031922
California,6,0.25,36726.4213685319
California,6,0.5,58690.9221039597
California,6,0.75,78599.2688585688
California,6,0.9,130227.431652353
California,6,0.975,225265.866716891
California,7,point,84679.2222065522
California,7,0.025,12116.7286882196
California,7,0.1,21489.1145551669
California,7,0.25,40995.6142208055
California,7,0.5,70882.5177326112
California,7,0.75,98884.8724202549
California,7,0.9,170215.607592483
California,7,0.975,302180.338997666
Arizona,1,point,25118.1989752357
Arizona,1,0.025,17870.7856485161
Arizona,1,0.1,17876.0575713465
Arizona,1,0.25,20740.7106734883
Arizona,1,0.5,24338.3771707736
Arizona,1,0.75,27089.8410775389
Arizona,1,0.9,33454.48404756
Arizona,1,0.975,43549.3168534704
Arizona,2,point,28662.8451798409
Arizona,2,0.025,13646.0566715205
Arizona,2,0.1,13794.3385980021
Arizona,2,0.25,18706.0405492255
Arizona,2,0.5,26200.7058613121
Arizona,2,0.75,32376.7181179641
Arizona,2,0.9,47352.4244226844
Arizona,2,0.975,73283.7024500147
Arizona,3,point,32994.8030195856
Arizona,3,0.025,10277.0844968641
Arizona,3,0.1,10457.2875965702
Arizona,3,0.25,16831.0818515294
Arizona,3,0.5,28170.6666600883
Arizona,3,0.75,38212.8395546051
Arizona,3,0.9,63209.8788856238
Arizona,3,0.975,108707.585800934
Arizona,4,point,36149.7695223904
Arizona,4,0.025,7558.7361054013
Arizona,4,0.1,7727.53695218584
Arizona,4,0.25,15065.5580566049
Arizona,4,0.5,29288.7768750717
Arizona,4,0.75,43516.2265726872
Arizona,4,0.9,75772.6031307551
Arizona,4,0.975,132908.577606652
Arizona,5,point,36736.6753322534
Arizona,5,0.025,5658.77532443893
Arizona,5,0.1,5822.68059570438
Arizona,5,0.25,13645.8200296443
Arizona,5,0.5,29126.150040566
Arizona,5,0.75,47562.0185667121
Arizona,5,0.9,80718.0826836759
Arizona,5,0.975,131503.492827578
Arizona,6,point,35084.9040631554
Arizona,6,0.025,4311.45373870735
Arizona,6,0.1,4457.09544327597
Arizona,6,0.25,12695.7533004439
Arizona,6,0.5,28009.5071708237
Arizona,6,0.75,50985.1944345896
Arizona,6,0.9,78895.8391796866
Arizona,6,0.975,105304.463931265
Arizona,7,point,32839.6417552831
Arizona,7,0.025,3412.91055609705
Arizona,7,0.1,3551.6249416058
Arizona,7,0.25,12101.3153900799
Arizona,7,0.5,26766.4971430092
Arizona,7,0.75,52257.4292407318
Arizona,7,0.9,75520.0513973086
Arizona,7,0.975,76101.6868856589
Massachusetts,1,point,11291.5527893341
Massachusetts,1,0.025,9273.06549893436
Massachusetts,1,0.1,9876.89124922217
Massachusetts,1,0.25,10621.8734407643
Massachusetts,1,0.5,11210.005422054
Massachusetts,1,0.75,11567.6581442111
Massachusetts,1,0.9,12825.3883713963
Massachusetts,1,0.975,15019.0383511499
Massachusetts,2,point,12397.3912485082
Massachusetts,2,0.025,8250.44822732743
Massachusetts,2,0.1,9344.93949962662
Massachusetts,2,0.25,10802.0792863183
Massachusetts,2,0.5,12118.5153406518
Massachusetts,2,0.75,12919.3299841068
Massachusetts,2,0.9,15866.5970287809
Massachusetts,2,0.975,21324.8726336989
Massachusetts,3,point,14277.7535140561
Massachusetts,3,0.025,7568.84404489363
Massachusetts,3,0.1,9130.29987258142
Massachusetts,3,0.25,11342.9656112403
Massachusetts,3,0.5,13633.401782636
Massachusetts,3,0.75,14980.9165002598
Massachusetts,3,0.9,20407.6829836066
Massachusetts,3,0.975,31051.5488381174
Massachusetts,4,point,17244.8289555459
Massachusetts,4,0.025,7176.67005951621
Massachusetts,4,0.1,9201.05328126496
Massachusetts,4,0.25,12296.043351189
Massachusetts,4,0.5,15969.0140870142
Massachusetts,4,0.75,18104.6855694866
Massachusetts,4,0.9,27240.2085841444
Massachusetts,4,0.975,45964.5795029318
Massachusetts,5,point,22894.0810043784
Massachusetts,5,0.025,7408.76415532536
Massachusetts,5,0.1,10102.118038641
Massachusetts,5,0.25,14512.7990105756
Massachusetts,5,0.5,20480.7516982907
Massachusetts,5,0.75,23869.9396617663
Massachusetts,5,0.9,39399.0903181542
Massachusetts,5,0.975,72365.6971482927
Massachusetts,6,point,34056.3222051608
Massachusetts,6,0.025,8596.00267297472
Massachusetts,6,0.1,12429.575189585
Massachusetts,6,0.25,19215.4986396352
Massachusetts,6,0.5,29467.3968705124
Massachusetts,6,0.75,35339.3604603593
Massachusetts,6,0.9,62772.6535007161
Massachusetts,6,0.975,122095.007213988
Massachusetts,7,point,54774.8550371768
Massachusetts,7,0.025,11141.6193438675
Massachusetts,7,0.1,17054.141446418
Massachusetts,7,0.25,28290.7142871866
Massachusetts,7,0.5,46383.22990165
Massachusetts,7,0.75,57159.416966765
Massachusetts,7,0.9,105636.738597418
Massachusetts,7,0.975,209949.052024567
Wisconsin,1,point,20860.7960630032
Wisconsin,1,0.025,15626.6031167811
Wisconsin,1,0.1,15662.3869882175
Wisconsin,1,0.25,17817.0810375657
Wisconsin,1,0.5,20429.6500132564
Wisconsin,1,0.75,22401.6431583223
Wisconsin,1,0.9,26703.2328986694
Wisconsin,1,0.975,32836.6329658321
Wisconsin,2,point,22553.0416064027
Wisconsin,2,0.025,12092.4422160235
Wisconsin,2,0.1,12270.2626633999
Wisconsin,2,0.25,15912.5318077625
Wisconsin,2,0.5,21172.0299615022
Wisconsin,2,0.75,25464.5141119651
Wisconsin,2,0.9,35111.8735061815
Wisconsin,2,0.975,50172.3129156568
Wisconsin,3,point,24179.1718679101
Wisconsin,3,0.025,9093.91726676968
Wisconsin,3,0.1,9327.73520240999
Wisconsin,3,0.25,13944.5382061525
Wisconsin,3,0.5,21541.6233578443
Wisconsin,3,0.75,28197.3928408008
Wisconsin,3,0.9,43474.2045479856
Wisconsin,3,0.975,68571.0014862857
Wisconsin,4,point,24927.8596542323
Wisconsin,4,0.025,6644.42454283813
Wisconsin,4,0.1,6859.54067822923
Wisconsin,4,0.25,12033.2760383013
Wisconsin,4,0.5,21203.2027906975
Wisconsin,4,0.75,30147.2932689567
Wisconsin,4,0.9,49366.9013698244
Wisconsin,4,0.975,80443.6070108274
Wisconsin,5,point,24555.2543488947
Wisconsin,5,0.025,4897.06356549019
Wisconsin,5,0.1,5100.19337520844
Wisconsin,5,0.25,10437.2250311062
Wisconsin,5,0.5,20316.8432729372
Wisconsin,5,0.75,31271.1366780492
Wisconsin,5,0.9,51568.855774838
Wisconsin,5,0.975,81150.1734358328
Wisconsin,6,point,23241.323863099
Wisconsin,6,0.025,3672.380454586
Wisconsin,6,0.1,3847.11886256398
Wisconsin,6,0.25,9266.88794665464
Wisconsin,6,0.5,19098.3849701383
Wisconsin,6,0.75,32057.3190163801
Wisconsin,6,0.9,50495.7465264379
Wisconsin,6,0.975,70480.8034765553
Wisconsin,7,point,21376.609236413
Wisconsin,7,0.025,2832.35055844055
Wisconsin,7,0.1,2991.62234935459
Wisconsin,7,0.25,8382.63908014912
Wisconsin,7,0.5,17729.1970022041
Wisconsin,7,0.75,32387.3033468387
Wisconsin,7,0.9,47351.9604826037
Wisconsin,7,0.975,53703.6377730221
Texas,1,point,21891.6309088364
Texas,1,0.025,14362.0063993204
Texas,1,0.1,14568.3224452388
Texas,1,0.25,17331.6835316555
Texas,1,0.5,21041.2742673805
Texas,1,0.75,23934.170745782
Texas,1,0.9,30565.304659281
Texas,1,0.975,40974.7339836797
Texas,2,point,22337.5136988568
Texas,2,0.025,8797.07929144334
Texas,2,0.1,9028.22787852865
Texas,2,0.25,13173.5623251968
Texas,2,0.5,19879.8847835406
Texas,2,0.75,25577.2427696099
Texas,2,0.9,39605.4898207183
Texas,2,0.975,64178.5860552676
Texas,3,point,24501.6627834615
Texas,3,0.025,5340.41108837537
Texas,3,0.1,5571.16466014246
Texas,3,0.25,10051.8318111696
Texas,3,0.5,19665.2316173664
Texas,3,0.75,27899.9372163638
Texas,3,0.9,51293.0257294728
Texas,3,0.975,96900.4098959165
Texas,4,point,28075.7084477674
Texas,4,0.025,3194.80684586521
Texas,4,0.1,3373.10582797518
Texas,4,0.25,7762.62979938556
Texas,4,0.5,20287.6429161215
Texas,4,0.75,30953.5034815595
Texas,4,0.9,65349.4314105728
Texas,4,0.975,137448.681980188
Texas,5,point,32427.8916805851
Texas,5,0.025,1932.5325623583
Texas,5,0.1,2074.38900016071
Texas,5,0.25,6086.00758227194
Texas,5,0.5,21492.5501724653
Texas,5,0.75,34323.4389224732
Texas,5,0.9,80381.9140258008
Texas,5,0.975,181444.204568669
Texas,6,point,36506.7967560549
Texas,6,0.025,1180.08383176289
Texas,6,0.1,1282.16086200485
Texas,6,0.25,4922.61288701463
Texas,6,0.5,22778.2880062487
Texas,6,0.75,37986.3772661587
Texas,6,0.9,93877.5984649572
Texas,6,0.975,218343.690539133
Texas,7,point,38584.2907943506
Texas,7,0.025,738.158727559261
Texas,7,0.1,815.551274350658
Texas,7,0.25,4073.38792625908
Texas,7,0.5,23230.6142392272
Texas,7,0.75,40815.875140432
Texas,7,0.9,101456.786685688
Texas,7,0.975,234547.10230575
Nebraska,1,point,6177.26960983362
Nebraska,1,0.025,4739.225791167
Nebraska,1,0.1,4754.4896509613
Nebraska,1,0.25,5368.07321803682
Nebraska,1,0.5,6073.84643264328
Nebraska,1,0.75,6697.55103705009
Nebraska,1,0.9,7752.57749769819
Nebraska,1,0.975,8979.91266647796
Nebraska,2,point,6467.44287346111
Nebraska,2,0.025,3668.04333638237
Nebraska,2,0.1,3689.25875301366
Nebraska,2,0.25,4791.68575461901
Nebraska,2,0.5,6146.04439553062
Nebraska,2,0.75,7485.69648064035
Nebraska,2,0.9,9743.3864346256
Nebraska,2,0.975,12592.2979537853
Nebraska,3,point,6704.2373311057
Nebraska,3,0.025,2761.31986592896
Nebraska,3,0.1,2786.81378918653
Nebraska,3,0.25,4181.41443641644
Nebraska,3,0.5,6094.20667676136
Nebraska,3,0.75,8158.62717501409
Nebraska,3,0.9,11613.5893849718
Nebraska,3,0.975,16205.0239650458
Nebraska,4,point,6735.9018836562
Nebraska,4,0.025,2003.05660779012
Nebraska,4,0.1,2026.31834774223
Nebraska,4,0.25,3561.17434097239
Nebraska,4,0.5,5854.39008630479
Nebraska,4,0.75,8589.55958784551
Nebraska,4,0.9,12922.0725272793
Nebraska,4,0.975,18603.1880198105
Nebraska,5,point,6553.60579224225
Nebraska,5,0.025,1447.40573532047
Nebraska,5,0.1,1468.88261554808
Nebraska,5,0.25,3009.46541119748
Nebraska,5,0.5,5491.91728517374
Nebraska,5,0.75,8770.47462614965
Nebraska,5,0.9,13481.0503109857
Nebraska,5,0.975,19165.642996244
Nebraska,6,point,6199.18042005701
Nebraska,6,0.025,1045.50921761215
Nebraska,6,0.1,1063.29166380577
Nebraska,6,0.25,2560.35128511666
Nebraska,6,0.5,5067.51660516685
Nebraska,6,0.75,8811.51290610321
Nebraska,6,0.9,13379.7859657123
Nebraska,6,0.975,17790.7777889768
Nebraska,7,point,5692.07830898397
Nebraska,7,0.025,765.822514708852
Nebraska,7,0.1,781.182389689062
Nebraska,7,0.25,2190.82924455678
Nebraska,7,0.5,4593.03228806473
Nebraska,7,0.75,8658.14132418351
Nebraska,7,0.9,12689.9006146334
Nebraska,7,0.975,15003.6101082058
Utah,1,point,10691.0627588554
