id,Country,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06
0,Afghanistan,157171,157235,157291,157349,157409,157470,157534,157600,157668,157738,157811,157887,157966,158047,158131,158217,158307,158399,158493,158591,158692,158796,158904,159014,159128,159246,159368,159493,159622,159756,159894,160037,160184,160335,160492,160654,160821,160994,161171,161355,161544,161740,161942,162150,162365,162587,162815,163052,163295,163547,163807,164075,164351,164637,164931,165235,165549,165873,166207,166552,166908,167275,167654,168044,168448,168863,169292,169734,170189,170656,171136,171629,172134,172652,173181,173721,174270,174827,175392,175963,176539,177118,177700,178283,178865,179446,180022,180594,181160,181720,182274,182821,183359,183890,184412,184926,185435,185938,186439,186937,187432
1,Albania,198732,199132,199571,200004,200431,200852,201267,201675,202077,202471,202858,203239,203612,203978,204336,204688,205032,205369,205698,206020,206335,206643,206943,207236,207521,207799,208070,208334,208591,208840,209082,209318,209546,209767,209982,210190,210391,210586,210775,210957,211133,211303,211467,211626,211778,211926,212067,212204,212335,212461,212583,212699,212812,212919,213022,213122,213217,213308,213395,213479,213559,213636,213709,213779,213846,213910,213972,214030,214086,214140,214191,214240,214286,214330,214373,214413,214452,214488,214523,214556,214588,214618,214647,214674,214701,214725,214749,214771,214793,214813,214832,214851,214868,214885,214901,214916,214930,214945,214958,214972,214985
2,Algeria,209817,210013,210184,210359,210538,210720,210906,211096,211290,211488,211689,211896,212106,212321,212540,212764,212993,213226,213464,213706,213954,214207,214465,214728,214997,215271,215550,215835,216126,216423,216726,217035,217350,217672,218000,218334,218676,219024,219379,219741,220111,220487,220872,221264,221663,222071,222487,222911,223343,223784,224233,224692,225159,225635,226121,226616,227121,227636,228160,228695,229240,229796,230362,230939,231528,232127,232738,233361,233995,234642,235301,235972,236656,237353,238062,238786,239522,240273,241037,241816,242609,243417,244239,245077,245930,246799,247684,248584,249502,250435,251386,252354,253339,254341,255362,256398,257447,258506,259571,260642,261716
3,Andorra,16712,16772,16823,16876,16929,16984,17040,17096,17154,17213,17272,17333,17394,17456,17519,17583,17647,17712,17777,17843,17910,17977,18044,18111,18179,18246,18314,18381,18449,18516,18583,18650,18717,18783,18848,18913,18978,19042,19105,19167,19228,19289,19349,19408,19465,19522,19578,19632,19686,19738,19790,19840,19889,19937,19983,20029,20073,20116,20158,20199,20239,20277,20314,20350,20385,20419,20452,20484,20515,20545,20573,20601,20628,20654,20678,20703,20726,20748,20769,20790,20810,20829,20848,20865,20882,20899,20914,20930,20944,20958,20971,20984,20996,21008,21020,21030,21041,21051,21061,21071,21081
4,Angola,65130,65141,65157,65172,65187,65202,65216,65229,65242,65254,65266,65277,65288,65298,65308,65318,65327,65336,65344,65353,65360,65368,65375,65382,65389,65395,65401,65407,65412,65418,65423,65428,65433,65437,65441,65446,65450,65453,65457,65461,65464,65467,65470,65473,65476,65479,65481,65484,65486,65488,65491,65493,65495,65497,65499,65500,65502,65504,65505,65507,65508,65510,65511,65512,65513,65514,65516,65517,65518,65519,65520,65520,65521,65522,65523,65524,65524,65525,65526,65526,65527,65528,65528,65529,65529,65529,65530,65530,65530,65531,65531,65531,65531,65531,65531,65531,65531,65532,65532,65532,65532
5,Antigua and Barbuda,4141,4136,4137,4138,4139,4140,4141,4142,4143,4144,4145,4145,4146,4146,4147,4147,4148,4148,4149,4149,4149,4149,4150,4150,4150,4150,4150,4150,4150,4150,4150,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151,4151
6,Argentina,5324039,5325417,5326854,5328279,5329691,5331087,5332466,5333827,5335167,5336484,5337778,5339047,5340290,5341507,5342697,5343859,5344993,5346097,5347172,5348218,5349235,5350225,5351212,5352216,5353352,5354446,5355358,5356233,5357125,5357996,5358878,5359767,5360635,5361465,5362272,5363060,5363852,5364632,5365396,5366144,5366876,5367593,5368295,5368918,5369514,5370094,5370658,5371206,5371739,5372256,5372759,5373248,5373723,5374185,5374633,5375069,5375485,5375875,5376254,5376621,5376977,5377322,5377657,5377981,5378295,5378600,5378895,5379181,5379458,5379726,5379987,5380239,5380483,5380720,5380950,5381172,5381388,5381597,5381799,5381995,5382185,5382370,5382548,5382721,5382889,5383051,5383209,5383361,5383509,5383653,5383791,5383926,5384057,5384183,5384306,5384425,5384541,5384656,5384769,5384880,5384991
7,Armenia,337005,337311,337833,338328,338799,339245,339667,340067,340446,340804,341142,341462,341764,342049,342317,342571,342811,343037,343250,343451,343641,343820,343989,344148,344298,344439,344572,344697,344815,344926,345030,345129,345221,345308,345390,345467,345539,345607,345671,345732,345788,345841,345891,345938,345982,346024,346063,346100,346134,346166,346197,346225,346252,346277,346300,346323,346343,346363,346381,346398,346415,346430,346444,346457,346470,346482,346493,346503,346513,346522,346531,346539,346546,346553,346560,346566,346572,346577,346583,346587,346592,346596,346600,346604,346607,346611,346614,346617,346619,346622,346624,346627,346629,346631,346633,346634,346636,346638,346639,346641,346642
8,Australia,206749,208015,209353,210680,211995,213297,214584,215856,217112,218349,219567,220766,221944,223102,224240,225356,226450,227522,228571,229598,230604,231587,232548,233486,234403,235298,236171,237023,237854,238665,239455,240225,240975,241706,242418,243111,243786,244443,245083,245705,246311,246900,247474,248032,248575,249103,249617,250116,250602,251075,251534,251981,252415,252838,253249,253649,254037,254415,254782,255139,255487,255824,256153,256472,256783,257084,257378,257664,257941,258211,258474,258729,258978,259219,259454,259683,259905,260121,260332,260536,260735,260929,261117,261301,261479,261653,261821,261986,262146,262301,262453,262600,262744,262884,263020,263152,263283,263411,263537,263663,263788
9,Austria,1121134,1132343,1144740,1156846,1168626,1180044,1191067,1201657,1211780,1221401,1230484,1239036,1247065,1254577,1261581,1268082,1274089,1279608,1284666,1289289,1293504,1297338,1300817,1304063,1307049,1309756,1312205,1314416,1316410,1318205,1319824,1321285,1322601,1323783,1324842,1325791,1326640,1327402,1328089,1328705,1329257,1329750,1330190,1330584,1330936,1331253,1331538,1331792,1332019,1332222,1332403,1332565,1332710,1332841,1332958,1333062,1333155,1333238,1333312,1333379,1333439,1333493,1333541,1333583,1333621,1333656,1333686,1333714,1333738,1333760,1333780,1333797,1333813,1333827,1333840,1333851,1333861,1333870,1333878,1333885,1333892,1333897,1333903,1333907,1333911,1333915,1333918,1333921,1333924,1333926,1333928,1333930,1333932,1333934,1333935,1333936,1333937,1333938,1333939,1333940,1333941
