id,Country,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24
0,Afghanistan,7329,7331,7332,7334,7335,7336,7338,7339,7341,7342,7343,7344,7345,7347,7348,7349,7350,7351,7352,7353,7353,7354,7355,7356,7357,7358,7358,7359,7360,7361,7361,7362,7363,7363,7364,7365,7365,7366,7367,7367,7368,7368,7369,7370,7370,7371,7371,7372,7372,7373,7373,7374,7374,7375,7375,7376,7376,7377,7377,7377,7378,7378,7379,7379,7380,7380,7380,7381,7381,7381,7382,7382,7382,7383,7383,7383,7384,7384,7384,7385,7385,7385,7386,7386,7386,7386,7387,7387,7387,7388,7388,7388,7388,7388,7389,7389,7389,7389,7390,7390,7390
1,Albania,3144,3147,3151,3154,3158,3161,3164,3168,3171,3174,3177,3181,3184,3187,3190,3193,3197,3199,3201,3204,3206,3208,3210,3212,3215,3217,3219,3222,3224,3226,3229,3231,3233,3235,3237,3238,3240,3242,3244,3245,3247,3249,3250,3252,3253,3254,3256,3257,3258,3259,3260,3261,3262,3263,3264,3265,3266,3267,3268,3269,3270,3270,3271,3272,3272,3273,3274,3274,3275,3275,3276,3276,3277,3277,3278,3278,3279,3279,3280,3280,3280,3281,3281,3281,3281,3282,3282,3282,3283,3283,3283,3283,3283,3284,3284,3284,3284,3284,3285,3285,3285
2,Algeria,6155,6161,6168,6175,6183,6191,6199,6207,6216,6225,6235,6245,6255,6265,6276,6287,6298,6309,6320,6331,6342,6353,6365,6376,6388,6401,6413,6426,6439,6452,6466,6479,6493,6507,6521,6536,6551,6566,6582,6598,6614,6631,6648,6665,6682,6700,6718,6737,6756,6775,6794,6814,6834,6855,6876,6897,6918,6940,6962,6984,7006,7029,7052,7075,7098,7121,7145,7168,7192,7216,7240,7264,7287,7311,7335,7358,7382,7405,7428,7451,7473,7495,7517,7538,7559,7579,7599,7619,7638,7656,7674,7691,7708,7724,7739,7754,7768,7782,7795,7807,7818
3,Andorra,134,134,135,135,135,136,136,137,137,138,139,140,141,142,143,144,146,147,149,150,151,153,154,155,157,158,160,162,163,165,167,169,171,173,175,177,179,181,183,185,187,190,191,193,195,197,199,201,202,204,205,206,208,209,210,211,212,212,213,214,215,215,216,216,217,217,217,218,218,218,218,218,219,219,219,219,219,219,219,219,219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
4,Angola,1737,1737,1738,1738,1738,1738,1739,1739,1739,1739,1740,1740,1740,1741,1741,1741,1742,1742,1742,1742,1743,1743,1743,1744,1744,1744,1744,1745,1745,1745,1746,1746,1746,1746,1747,1747,1747,1748,1748,1748,1748,1749,1749,1749,1750,1750,1750,1750,1751,1751,1751,1751,1752,1752,1752,1752,1753,1753,1753,1753,1754,1754,1754,1754,1755,1755,1755,1755,1756,1756,1756,1756,1756,1757,1757,1757,1757,1758,1758,1758,1758,1758,1759,1759,1759,1759,1759,1760,1760,1760,1760,1760,1761,1761,1761,1761,1761,1762,1762,1762,1762
5,Antigua and Barbuda,117,117,117,117,117,117,117,117,117,117,117,117,118,118,118,118,118,118,118,118,119,119,119,119,119,119,119,120,120,120,120,120,120,120,121,121,121,121,121,122,122,122,122,122,123,123,123,123,124,124,124,124,125,125,125,125,126,126,126,127,127,127,127,128,128,128,129,129,130,130,130,131,131,131,132,132,133,133,134,134,134,135,135,136,136,137,137,138,139,139,140,140,141,141,142,143,143,144,145,145,146
6,Argentina,116826,116844,116862,116880,116900,116921,116943,116966,116991,117016,117043,117071,117099,117129,117160,117192,117225,117260,117295,117331,117369,117408,117447,117488,117610,117770,117979,118254,118622,119116,119775,120564,121583,122880,124486,126411,128645,131160,133904,136809,139786,142756,145656,148435,151055,153490,155727,157766,159609,161259,162722,164003,165112,166058,166853,167510,168041,168460,168780,169016,169184,169299,169375,169423,169452,169469,169481,169488,169493,169497,169499,169500,169500,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501,169501
7,Armenia,7845,7861,7876,7890,7904,7916,7929,7940,7952,7962,7972,7982,7991,8000,8008,8016,8024,8031,8038,8044,8050,8056,8061,8067,8072,8077,8082,8087,8091,8096,8099,8103,8106,8109,8112,8115,8118,8120,8123,8125,8127,8129,8131,8132,8134,8135,8137,8138,8139,8140,8141,8143,8143,8144,8145,8146,8147,8147,8148,8149,8149,8150,8150,8151,8151,8151,8152,8152,8152,8153,8153,8153,8154,8154,8154,8154,8154,8155,8155,8155,8155,8155,8155,8155,8156,8156,8156,8156,8156,8156,8156,8156,8156,8156,8156,8156,8156,8156,8156,8157,8157
8,Australia,2117,2124,2132,2139,2147,2155,2163,2171,2179,2187,2196,2205,2214,2223,2232,2242,2252,2265,2280,2296,2315,2337,2362,2391,2424,2462,2506,2557,2618,2688,2770,2865,2974,3101,3247,3414,3604,3820,4064,4338,4644,4984,5358,5767,6211,6688,7195,7731,8292,8874,9473,10084,10702,11319,11929,12527,13107,13665,14197,14699,15169,15607,16010,16378,16712,17013,17280,17517,17726,17909,18068,18207,18326,18428,18514,18588,18651,18703,18747,18785,18816,18842,18863,18881,18896,18909,18919,18928,18935,18940,18945,18949,18952,18955,18957,18959,18961,18962,18963,18964,18964
9,Austria,13282,13335,13387,13437,13485,13531,13576,13617,13657,13695,13730,13763,13795,13824,13852,13878,13903,13928,13951,13972,13991,14009,14025,14039,14051,14061,14070,14078,14085,14092,14097,14101,14105,14109,14112,14114,14116,14118,14120,14121,14122,14123,14124,14125,14125,14126,14126,14127,14127,14127,14127,14128,14128,14128,14128,14128,14128,14128,14128,14128,14128,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129,14129
10,Azerbaijan,8123,8142,8160,8179,8197,8216,8234,8253,8271,8289,8307,8324,8342,8359,8376,8393,8409,8424,8440,8454,8468,8482,8495,8508,8520,8533,8545,8557,8569,8580,8591,8601,8611,8621,8630,8639,8647,8656,8664,8672,8679,8687,8694,8700,8707,8713,8719,8725,8731,8736,8741,8746,8751,8756,8760,8764,8768,8772,8776,8779,8783,8786,8789,8792,8795,8798,8800,8803,8805,8808,8810,8812,8814,8816,8818,8820,8821,8823,8825,8826,8827,8829,8830,8831,8832,8834,8835,8836,8837,8838,8838,8839,8840,8841,8842,8842,8843,8844,8844,8845,8845
11,The Bahamas,708,708,709,709,709,709,710,710,710,711,711,711,712,712,712,713,713,713,713,714,714,714,714,715,715,715,716,716,716,717,717,717,718,718,718,719,719,719,720,720,721,721,721,722,722,722,723,723,723,724,724,724,725,725,726,726,726,727,727,727,728,728,728,729,729,729,730,730,730,731,731,731,732,732,732,732,733,733,733,734,734,734,735,735,735,735,736,736,736,736,737,737,737,737,738,738,738,738,739,739,739
12,Bahrain,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394
13,Bangladesh,28034,28038,28042,28046,28049,28053,28057,28061,28065,28069,28073,28077,28081,28085,28089,28093,28098,28102,28106,28111,28115,28120,28124,28129,28129,28129,28129,28144,28184,28264,28401,28638,28972,29428,30067,30988,32323,34240,36942,40668,45690,52394,61271,72926,88072,107531,132237,163231,201115,246051,297755,355508,418144,484061,551212,617810,682326,743488,800284,851959,898016,938217,972485,1000907,1023732,1041371,1054398,1063549,1069724,1073698,1076125,1077536,1078339,1078819,1079139,1079339,1079454,1079511,1079534,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539,1079539
