id,Country,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06
0,Afghanistan,7401,7402,7404,7406,7407,7409,7411,7414,7417,7420,7424,7428,7433,7438,7445,7452,7461,7470,7480,7492,7506,7521,7538,7558,7580,7605,7634,7666,7703,7745,7793,7846,7907,7977,8055,8144,8245,8359,8489,8635,8802,8990,9203,9444,9717,10026,10374,10768,11213,11715,12280,12917,13634,14439,15344,16358,17493,18763,20178,21755,23509,25455,27609,29989,32609,35488,38641,42089,45848,49932,54355,59130,64264,69765,75645,81904,88535,95527,102861,110511,118444,126636,135039,143598,152255,160947,169608,178175,186596,194811,202767,210419,217727,224666,231217,237358,243088,248407,253325,255806,257585
1,Albania,3317,3321,3326,3331,3337,3345,3354,3364,3376,3389,3404,3419,3435,3451,3468,3484,3501,3517,3532,3548,3563,3577,3592,3605,3619,3631,3642,3652,3661,3668,3673,3677,3680,3682,3683,3684,3685,3685,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686
2,Algeria,6526,6542,6558,6575,6593,6611,6630,6649,6669,6689,6710,6731,6753,6776,6800,6827,6857,6890,6929,6973,7024,7084,7152,7229,7314,7411,7519,7641,7778,7932,8105,8303,8526,8777,9060,9380,9740,10147,10605,11122,11705,12361,13100,13931,14867,15918,17098,18423,19909,21573,23434,25514,27835,30423,33304,36507,40061,43996,48342,53131,58399,64176,70487,77356,84801,92833,101456,110686,120513,130916,141862,153306,165193,177457,190053,202896,215894,228951,241971,254859,267526,279891,291874,303408,314436,324914,334815,344120,352800,360858,368307,375167,381465,387231,392499,397282,401615,405533,409071,412262,415136
3,Andorra,145,145,146,146,147,147,147,147,148,148,148,148,148,149,149,149,150,150,151,151,152,152,152,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
4,Angola,1892,1894,1896,1898,1900,1902,1903,1905,1907,1909,1910,1912,1914,1915,1917,1919,1920,1921,1923,1924,1925,1926,1927,1929,1930,1930,1931,1932,1933,1934,1935,1935,1936,1937,1937,1938,1938,1939,1939,1940,1940,1941,1941,1942,1942,1942,1943,1943,1943,1944,1944,1944,1945,1945,1945,1945,1946,1946,1946,1946,1946,1946,1947,1947,1947,1947,1947,1947,1947,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949
5,Antigua and Barbuda,126,126,126,126,127,127,127,127,127,127,128,128,128,128,128,128,129,129,129,129,129,130,130,130,130,130,130,131,131,131,131,131,131,132,132,132,132,132,133,133,133,133,133,133,133,134,134,134,134,134,134,135,135,135,135,135,135,135,136,136,136,136,136,136,136,136,136,137,137,137,137,137,137,137,137,137,137,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
6,Argentina,120019,120105,120190,120273,120354,120432,120506,120578,120646,120710,120770,120827,120881,120932,120980,121025,121068,121109,121147,121183,121217,121248,121278,121306,121332,121356,121379,121400,121420,121439,121457,121473,121488,121502,121516,121528,121540,121551,121561,121571,121579,121588,121596,121603,121610,121616,121622,121628,121633,121638,121642,121647,121651,121655,121658,121661,121665,121668,121670,121673,121675,121678,121680,121682,121684,121686,121687,121689,121690,121692,121693,121694,121696,121697,121698,121699,121700,121701,121702,121702,121703,121704,121705,121705,121706,121707,121707,121708,121708,121709,121709,121709,121710,121710,121711,121711,121711,121712,121712,121712,121713
7,Armenia,8033,8034,8035,8036,8037,8038,8040,8041,8042,8043,8044,8046,8048,8050,8052,8053,8055,8057,8059,8061,8064,8067,8070,8073,8077,8082,8087,8093,8099,8107,8116,8126,8138,8152,8167,8185,8206,8229,8256,8287,8321,8359,8402,8448,8500,8555,8614,8676,8741,8808,8875,8942,9007,9070,9130,9184,9231,9272,9307,9335,9359,9380,9398,9413,9425,9436,9445,9452,9459,9464,9468,9472,9475,9477,9479,9481,9482,9483,9484,9485,9486,9486,9487,9487,9488,9488,9488,9488,9489,9489,9489,9489,9489,9489,9489,9489,9489,9489,9489,9489,9489
8,Australia,3390,3415,3437,3458,3478,3495,3512,3526,3540,3552,3563,3573,3582,3590,3598,3605,3611,3616,3621,3626,3630,3633,3636,3639,3642,3644,3646,3648,3650,3651,3653,3654,3655,3656,3657,3658,3658,3659,3660,3660,3661,3661,3662,3662,3662,3663,3663,3663,3663,3663,3664,3664,3664,3664,3664,3664,3664,3664,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665,3665
9,Austria,14030,14038,14046,14054,14063,14072,14081,14090,14100,14109,14119,14129,14139,14149,14159,14169,14179,14189,14199,14209,14219,14228,14238,14247,14256,14264,14273,14281,14289,14296,14303,14310,14317,14323,14329,14334,14339,14344,14349,14353,14357,14360,14364,14367,14370,14372,14375,14377,14379,14381,14382,14384,14385,14386,14387,14388,14389,14390,14390,14391,14391,14392,14392,14392,14393,14393,14393,14393,14394,14394,14394,14394,14394,14394,14394,14394,14394,14394,14394,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395
