id,Country,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19
0,"Washington",1437914,1438910,1439782,1440634,1441465,1442284,1443071,1443829,1444559,1445263,1445943,1446601,1447240,1447859,1448461,1449046,1449616,1450172,1450715,1451246,1451767,1452278,1452781,1453277,1453768,1454255,1454737,1455216,1455691,1456164,1456636,1457106,1457576,1458046,1458517,1458989,1459463,1459939,1460418,1460900,1461387,1461879,1462377,1462881,1463393,1463913,1464443,1464983,1465534,1466095,1466668,1467254,1467852,1468463,1469090,1469733,1470394,1471074,1471774,1472494,1473238,1474006,1474800,1475622,1476474,1477356,1478272,1479222,1480211,1481240,1482312,1483428,1484593,1485807,1487074,1488399,1489786,1491238,1492760,1494355,1496028,1497784,1499631,1501572,1503615,1505764,1508025,1510404,1512907,1515547,1518333,1521272,1524372,1527642,1531091,1534727,1538570,1542629,1546789,1551056,1555441
1,"Illinois",3045718,3047109,3048639,3050197,3051779,3053406,3055106,3056882,3058742,3060694,3062750,3064928,3067256,3069755,3072441,3075329,3078433,3081768,3085348,3089207,3093367,3097854,3102694,3107914,3113543,3119606,3126174,3133275,3140932,3149168,3157999,3167440,3177500,3188282,3199795,3212040,3225010,3238683,3253028,3268003,3283710,3300086,3317057,3334535,3352426,3370630,3389044,3407716,3426526,3445356,3464093,3482635,3500893,3518794,3536299,3553336,3569853,3585818,3601219,3616060,3630360,3644033,3657107,3669622,3681627,3693177,3704333,3715156,3725571,3735645,3745447,3755043,3764495,3773864,3783204,3792476,3801741,3811053,3820464,3830019,3839760,3849724,3859909,3870358,3881105,3892182,3903616,3915430,3927641,3940271,3953338,3966854,3980826,3995259,4010149,4025491,4041301,4057567,4074034,4090722,4107665
2,"California",9035948,9040568,9044952,9049294,9053593,9057875,9062097,9066263,9070377,9074440,9078455,9082427,9086368,9090283,9094176,9098052,9101915,9105771,9109625,9113481,9117342,9121213,9125098,9129001,9132927,9136880,9140864,9144884,9148942,9153045,9157196,9161399,9165658,9169980,9174369,9178831,9183369,9187989,9192696,9197494,9202393,9207398,9212516,9217752,9223112,9228603,9234231,9240008,9245944,9252045,9258320,9264775,9271421,9278266,9285329,9292621,9300154,9307940,9315990,9324319,9332938,9341874,9351140,9360752,9370725,9381077,9391824,9402982,9414588,9426664,9439230,9452305,9465912,9480072,9494807,9510169,9526182,9542873,9560266,9578389,9597265,9616923,9637428,9658812,9681102,9704328,9728519,9753705,9779913,9807218,9835648,9865231,9895990,9927948,9961125,9995536,10031256,10068296,10105951,10144253,10183264
3,"Arizona",1987318,1987851,1988360,1988862,1989356,1989844,1990320,1990783,1991235,1991675,1992105,1992525,1992938,1993344,1993744,1994138,1994527,1994912,1995293,1995672,1996049,1996424,1996798,1997172,1997545,1997920,1998295,1998672,1999052,1999434,1999819,2000208,2000601,2000998,2001402,2001811,2002226,2002648,2003078,2003515,2003962,2004418,2004884,2005360,2005848,2006348,2006861,2007388,2007929,2008486,2009060,2009651,2010261,2010891,2011541,2012215,2012911,2013633,2014381,2015157,2015961,2016797,2017667,2018571,2019512,2020492,2021512,2022575,2023685,2024843,2026053,2027317,2028637,2030018,2031460,2032971,2034553,2036210,2037945,2039762,2041666,2043660,2045751,2047945,2050245,2052657,2055185,2057833,2060607,2063517,2066568,2069765,2073113,2076618,2080283,2084113,2088121,2092311,2096587,2100953,2105416
4,"Massachusetts",1680673,1681121,1681544,1681962,1682376,1682787,1683193,1683593,1683988,1684377,1684760,1685139,1685515,1685888,1686259,1686628,1686996,1687364,1687732,1688101,1688472,1688844,1689218,1689596,1689978,1690364,1690755,1691152,1691555,1691964,1692381,1692806,1693240,1693684,1694137,1694603,1695080,1695570,1696074,1696593,1697127,1697679,1698250,1698840,1699450,1700083,1700738,1701420,1702128,1702866,1703634,1704435,1705271,1706143,1707056,1708012,1709014,1710065,1711168,1712326,1713543,1714824,1716175,1717599,1719100,1720686,1722359,1724126,1725997,1727979,1730077,1732301,1734657,1737154,1739801,1742612,1745598,1748770,1752138,1755713,1759507,1763532,1767811,1772356,1777182,1782301,1787727,1793472,1799550,1805990,1812805,1820008,1827610,1835620,1844047,1852897,1862204,1871971,1881955,1892166,1902621
5,"Wisconsin",1577659,1578088,1578493,1578894,1579291,1579687,1580077,1580463,1580844,1581220,1581592,1581960,1582327,1582691,1583054,1583417,1583780,1584143,1584507,1584873,1585242,1585613,1585988,1586367,1586750,1587139,1587534,1587936,1588345,1588763,1589189,1589625,1590071,1590530,1591000,1591485,1591984,1592499,1593031,1593582,1594152,1594744,1595360,1596000,1596667,1597363,1598088,1598847,1599643,1600477,1601352,1602272,1603238,1604254,1605327,1606459,1607655,1608920,1610257,1611673,1613170,1614761,1616450,1618244,1620150,1622174,1624325,1626607,1629039,1631626,1634380,1637307,1640416,1643716,1647215,1650934,1654881,1659065,1663492,1668170,1673104,1678299,1683778,1689543,1695597,1701942,1708575,1715496,1722700,1730205,1738006,1746093,1754459,1763093,1771983,1781116,1790498,1800112,1809830,1819656,1829608
6,"Texas",6667445,6672061,6676717,6681368,6686012,6690697,6695427,6700205,6705036,6709927,6714887,6719926,6725071,6730334,6735724,6741252,6746930,6752772,6758791,6765016,6771463,6778146,6785083,6792289,6799782,6807578,6815724,6824239,6833146,6842466,6852222,6862435,6873127,6884366,6896178,6908589,6921625,6935310,6949667,6964717,6980550,6997190,7014658,7032970,7052140,7072177,7093086,7114963,7137810,7161617,7186372,7212054,7238638,7266092,7294484,7323767,7353890,7384796,7416422,7448706,7481582,7515057,7549050,7583484,7618281,7653369,7688679,7724146,7759719,7795330,7830915,7866420,7901798,7937008,7972015,8006744,8041162,8075243,8108969,8142325,8175301,8207891,8240022,8271691,8302900,8333652,8363955,8393815,8423240,8452171,8480619,8508596,8536115,8563187,8589824,8616036,8641773,8667046,8692045,8716814,8741418
7,"Nebraska",476844,477083,477174,477258,477336,477411,477470,477520,477565,477606,477641,477672,477697,477719,477738,477754,477769,477782,477792,477802,477810,477817,477824,477829,477834,477838,477842,477845,477848,477850,477852,477854,477856,477857,477859,477860,477861,477862,477862,477863,477864,477864,477864,477865,477865,477865,477865,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866,477866
8,"Utah",925519,925670,925799,925925,926047,926167,926280,926387,926489,926585,926677,926764,926848,926928,927005,927080,927152,927222,927289,927356,927421,927484,927547,927608,927669,927729,927789,927848,927908,927967,928026,928086,928146,928206,928268,928329,928392,928456,928521,928587,928654,928723,928793,928866,928940,929016,929094,929175,929259,929345,929434,929526,929621,929720,929823,929930,930041,930156,930277,930403,930534,930671,930814,930964,931121,931286,931459,931640,931831,932031,932242,932463,932697,932943,933203,933477,933767,934073,934397,934740,935102,935486,935893,936324,936782,937267,937782,938329,938909,939526,940181,940877,941617,942403,943238,944125,945067,946068,947097,948156,949247
9,"Oregon",699362,699717,700036,700349,700657,700960,701253,701537,701812,702078,702336,702585,702828,703063,703291,703513,703730,703941,704147,704348,704544,704736,704924,705107,705287,705464,705638,705808,705975,706140,706301,706461,706618,706773,706927,707078,707227,707375,707522,707667,707812,707955,708097,708238,708378,708518,708657,708795,708933,709071,709209,709346,709484,709621,709759,709897,710035,710174,710313,710453,710594,710735,710877,711021,711165,711311,711458,711606,711756,711908,712061,712216,712374,712533,712695,712859,713025,713194,713366,713541,713720,713901,714086,714275,714468,714664,714865,715071,715281,715496,715717,715942,716174,716412,716656,716906,717164,717429,717698,717970,718246
10,"Florida",5868330,5869786,5870878,5871932,5872948,5873933,5874841,5875683,5876469,5877199,5877876,5878505,5879089,5879633,5880141,5880617,5881063,5881481,5881875,5882244,5882591,5882918,5883226,5883518,5883794,5884057,5884305,5884540,5884764,5884977,5885181,5885375,5885561,5885738,5885908,5886071,5886227,5886378,5886523,5886662,5886797,5886927,5887053,5887174,5887292,5887406,5887518,5887626,5887731,5887834,5887934,5888032,5888128,5888221,5888313,5888404,5888493,5888580,5888666,5888751,5888834,5888917,5888999,5889080,5889160,5889240,5889319,5889398,5889476,5889554,5889631,5889709,5889786,5889864,5889941,5890019,5890096,5890175,5890253,5890332,5890412,5890492,5890573,5890654,5890737,5890820,5890905,5890991,5891077,5891166,5891255,5891347,5891440,5891534,5891631,5891730,5891830,5891933,5892038,5892143,5892249
11,"New York",4944777,4946808,4948882,4950959,4953038,4955158,4957329,4959553,4961834,4964178,4966592,4969081,4971665,4974351,4977146,4980062,4983108,4986295,4989635,4993152,4996859,5000773,5004909,5009284,5013917,5018826,5024056,5029632,5035581,5041931,5048712,5055955,5063694,5072007,5080939,5090535,5100842,5111910,5123787,5136526,5150264,5165064,5180993,5198115,5216493,5236187,5257253,5279896,5304180,5330158,5357876,5387367,5418650,5451732,5486839,5523958,5563052,5604067,5646921,5691519,5737742,5785707,5835247,5886176,5938296,5991400,6045275,6099709,6154621,6209761,6264894,6319798,6374271,6428136,6481238,6533361,6584357,6634110,6682536,6729580,6775213,6819432,6862022,6903003,6942415,6980313,7016763,7051840,7085620,7117968,7148979,7178744,7207356,7234900,7261457,7287102,7311761,7335515,7358762,7381580,7404068
12,"Rhode Island",357802,357947,358085,358221,358356,358492,358625,358758,358889,359020,359149,359278,359407,359535,359664,359794,359924,360055,360187,360321,360457,360594,360734,360876,361021,361169,361321,361477,361636,361800,361969,362144,362324,362510,362704,362904,363113,363331,363557,363793,364041,364300,364573,364859,365159,365476,365809,366162,366535,366930,367349,367793,368265,368765,369299,369867,370474,371121,371812,372548,373334,374176,375078,376043,377076,378180,379359,380618,381966,383409,384951,386596,388348,390212,392189,394295,396532,398902,401407,404049,406828,409742,412805,416015,419369,422862,426489,430244,434120,438123,442244,446473,450799,455211,459696,464243,468849,473500,478165,482847,487556
13,"Georgia",2476516,2477359,2478161,2478954,2479741,2480522,2481291,2482049,2482795,2483529,2484253,2484966,2485671,2486368,2487057,2487739,2488414,2489083,2489748,2490407,2491063,2491714,2492362,2493008,2493651,2494293,2494933,2495573,2496212,2496851,2497491,2498132,2498774,2499419,2500066,2500716,2501369,2502025,2502686,2503352,2504023,2504699,2505382,2506071,2506768,2507473,2508186,2508908,2509639,2510381,2511134,2511897,2512673,2513461,2514263,2515079,2515909,2516755,2517617,2518496,2519392,2520307,2521241,2522196,2523172,2524170,2525191,2526236,2527307,2528404,2529529,2530682,2531866,2533081,2534327,2535609,2536926,2538279,2539671,2541103,2542576,2544090,2545651,2547258,2548913,2550619,2552377,2554187,2556053,2557978,2559963,2562012,2564125,2566305,2568553,2570872,2573267,2575739,2578247,2580793,2583382
14,"New Hampshire",299999,300060,300111,300161,300208,300254,300297,300336,300373,300406,300436,300464,300489,300511,300532,300551,300567,300582,300595,300606,300617,300626,300633,300640,300646,300652,300656,300660,300663,300666,300668,300670,300672,300673,300674,300675,300676,300676,300677,300677,300678,300678,300678,300678,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679,300679
15,"North Carolina",2608603,2610048,2611398,2612734,2614054,2615364,2616648,2617908,2619144,2620358,2621550,2622721,2623873,2625009,2626128,2627232,2628322,2629398,2630463,2631516,2632558,2633590,2634614,2635628,2636636,2637636,2638630,2639619,2640602,2641581,2642555,2643527,2644496,2645462,2646427,2647390,2648353,2649316,2650279,2651243,2652208,2653175,2654144,2655117,2656093,2657073,2658058,2659048,2660044,2661045,2662054,2663070,2664094,2665126,2666167,2667218,2668279,2669351,2670434,2671529,2672637,2673757,2674892,2676041,2677205,2678384,2679580,2680793,2682023,2683273,2684541,2685831,2687141,2688473,2689827,2691206,2692609,2694038,2695493,2696975,2698486,2700025,2701595,2703196,2704830,2706497,2708199,2709937,2711711,2713523,2715376,2717269,2719204,2721182,2723205,2725274,2727390,2729556,2731744,2733957,2736196
16,"New Jersey",2180216,2181325,2182418,2183509,2184598,2185696,2186801,2187915,2189038,2190173,2191319,2192480,2193657,2194851,2196064,2197299,2198557,2199839,2201148,2202486,2203855,2205258,2206696,2208172,2209688,2211247,2212852,2214507,2216215,2217979,2219801,2221687,2223638,2225661,2227762,2229943,2232210,2234569,2237023,2239579,2242246,2245032,2247943,2250986,2254169,2257501,2260990,2264651,2268494,2272529,2276768,2281223,2285904,2290825,2296010,2301472,2307227,2313290,2319678,2326407,2333494,2340973,2348864,2357186,2365959,2375202,2384935,2395176,2405973,2417345,2429312,2441893,2455105,2468961,2483476,2498702,2514650,2531329,2548742,2566891,2585774,2605385,2625767,2646907,2668789,2691390,2714683,2738638,2763221,2788447,2814273,2840650,2867529,2894856,2922576,2950633,2979004,3007622,3036331,3065142,3094096
17,"Colorado",1325063,1326325,1327759,1329228,1330733,1332284,1333922,1335651,1337476,1339405,1341450,1343623,1345952,1348454,1351142,1354032,1357137,1360471,1364046,1367893,1372029,1376476,1381253,1386381,1391881,1397772,1404108,1410904,1418174,1425930,1434176,1442917,1452149,1461937,1472275,1483149,1494541,1506423,1518762,1531521,1544743,1558381,1572380,1586684,1601240,1615993,1630893,1645951,1661115,1676336,1691576,1706801,1721989,1737121,1752181,1767154,1782033,1796817,1811509,1826115,1840641,1855053,1869357,1883556,1897654,1911654,1925554,1939352,1953001,1966496,1979828,1992988,2005966,2018749,2031326,2043646,2055698,2067472,2078957,2090148,2101036,2111619,2121853,2131737,2141275,2150469,2159326,2167852,2176056,2183913,2191436,2198640,2205538,2212147,2218483,2224560,2230368,2235924,2241343,2246642,2251840
18,"Maryland",1006062,1006371,1006661,1006948,1007233,1007517,1007798,1008077,1008354,1008628,1008901,1009172,1009442,1009712,1009982,1010252,1010523,1010795,1011069,1011345,1011623,1011904,1012188,1012475,1012766,1013062,1013363,1013668,1013980,1014297,1014621,1014952,1015291,1015638,1015994,1016360,1016736,1017123,1017521,1017933,1018358,1018797,1019252,1019723,1020211,1020717,1021243,1021789,1022358,1022951,1023568,1024212,1024884,1025586,1026320,1027089,1027894,1028737,1029622,1030549,1031523,1032547,1033623,1034757,1035949,1037205,1038527,1039920,1041390,1042942,1044579,1046308,1048133,1050058,1052090,1054238,1056509,1058908,1061441,1064115,1066936,1069910,1073050,1076364,1079858,1083538,1087410,1091479,1095750,1100238,1104950,1109887,1115054,1120451,1126079,1131937,1138040,1144386,1150846,1157423,1164129
