forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,point,NA,144291
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.01,0
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.025,0
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.05,15437
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.1,33674
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.15,46617
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.2,53760
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.25,76333
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.3,100685
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.35,122529
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.4,130657
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.45,138250
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.5,144291
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.55,145697
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.6,150150
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.65,156702
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.7,168304
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.75,178999
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.8,186742
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.85,188529
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.9,202774
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.95,216319
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.975,226087
2022-04-07,1 wk ahead inc case,2022-04-09,GM01,GM01,quantile,0.99,229061
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,point,NA,3229936
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.01,3085645
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.025,3085645
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.05,3101082
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.1,3119319
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.15,3132262
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.2,3139405
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.25,3161978
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.3,3186330
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.35,3208174
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.4,3216302
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.45,3223895
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.5,3229936
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.55,3231342
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.6,3235795
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.65,3242347
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.7,3253949
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.75,3264644
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.8,3272387
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.85,3274174
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.9,3288419
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.95,3301964
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.975,3311732
2022-04-07,1 wk ahead cum case,2022-04-09,GM01,GM01,quantile,0.99,3314706
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,point,NA,106632
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.01,0
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.025,0
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.05,0
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.1,0
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.15,13254
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.2,40217
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.25,66454
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.3,80644
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.35,94507
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.4,100882
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.45,104526
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.5,106632
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.55,110618
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.6,116380
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.65,118423
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.7,119769
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.75,120840
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.8,127501
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.85,138552
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.9,142194
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.95,154140
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.975,160968
2022-04-07,2 wk ahead inc case,2022-04-16,GM01,GM01,quantile,0.99,160968
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,point,NA,3336568
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.01,3229936
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.025,3229936
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.05,3229936
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.1,3229936
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.15,3243190
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.2,3270153
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.25,3296390
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.3,3310580
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.35,3324443
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.4,3330818
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.45,3334462
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.5,3336568
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.55,3340554
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.6,3346316
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.65,3348359
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.7,3349705
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.75,3350776
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.8,3357437
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.85,3368488
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.9,3372130
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.95,3384076
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.975,3390904
2022-04-07,2 wk ahead cum case,2022-04-16,GM01,GM01,quantile,0.99,3390904
2022-04-07,3 wk ahead inc case,2022-04-23,GM01,GM01,point,NA,84077
2022-04-07,3 wk ahead inc case,2022-04-23,GM01,GM01,quantile,0.01,0
