id,Country,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19
0,"Washington",1467059,1468675,1470233,1471723,1473160,1474596,1475993,1477340,1479009,1480667,1482321,1483958,1485579,1487187,1488785,1490818,1492869,1494941,1497037,1499162,1501318,1503509,1506268,1509110,1512041,1515071,1518208,1521458,1524873,1529873,1535141,1541434,1548143,1555154,1562420,1569877,1580575,1591742,1603265,1614992,1626749,1638354,1649626,1665438,1680884,1695745,1709793,1722846,1734784,1745544,1760455,1773829,1785651,1800864,1824097,1847935,1872238,1901030,1930323,1959893,1989507,2018931,2047934,2076297,2109202,2141175,2171978,2201414,2229329,2255615,2280207,2308329,2334438,2358530,2380643,2400849,2419248,2435953,2454993,2472152,2487583,2501442,2513884,2525054,2535091,2546542,2556753,2565869,2574024,2581335,2587918,2593866,2600637,2606706,2612175,2617123,2621627,2625758,2629567,2633810,2637689
1,"Illinois",3080436,3082214,3083973,3085707,3087405,3089058,3090732,3092443,3094461,3096522,3098593,3100667,3102744,3104864,3107014,3109563,3112200,3114920,3117692,3120516,3123395,3126332,3129973,3133727,3137811,3142019,3146310,3150673,3155091,3160984,3167010,3173139,3179342,3185581,3191812,3197993,3206121,3214242,3222290,3230200,3237909,3245360,3252504,3261661,3271434,3281405,3291344,3301202,3310928,3320475,3331372,3342013,3352347,3362329,3373891,3385643,3397264,3409924,3422378,3434585,3446506,3458104,3469349,3480217,3491799,3502924,3513574,3523742,3533422,3542616,3551331,3560473,3569089,3577200,3584830,3592233,3599520,3606396,3613598,3620361,3626712,3632676,3638279,3643549,3648509,3653677,3658524,3663076,3667357,3671390,3675194,3678788,3682508,3686012,3689318,3692444,3695403,3698208,3700873,3703600,3706182
2,"California",9132927,9136274,9139520,9142649,9145712,9148679,9151531,9154255,9157550,9160763,9163893,9166940,9169905,9172790,9175600,9179017,9182357,9185620,9188805,9191914,9194948,9197906,9201570,9205149,9208646,9212056,9215376,9218606,9221742,9225758,9229688,9233530,9237277,9240925,9244468,9247901,9252391,9256792,9261098,9265300,9269400,9273392,9277270,9282396,9287470,9292817,9298301,9303713,9309047,9314298,9321465,9328653,9335859,9343075,9350293,9357500,9364682,9374105,9383631,9393248,9402937,9412677,9422446,9432217,9444619,9457148,9469771,9482486,9495264,9508071,9520871,9536615,9552406,9568190,9583935,9599608,9615157,9630528,9648934,9667129,9685045,9702616,9719779,9737210,9754163,9774269,9793645,9812227,9829965,9846881,9862958,9878188,9895971,9912761,9928596,9943498,9957526,9970716,9983105,9997128,10010208
3,"Arizona",2014020,2015135,2016251,2017367,2018481,2019592,2020698,2021795,2023033,2024274,2025518,2026766,2028017,2029271,2030530,2031958,2033391,2034828,2036270,2037715,2039164,2040616,2042302,2044000,2045710,2047430,2049160,2050897,2052642,2054677,2056725,2058787,2060861,2062948,2065047,2067153,2069615,2072095,2074593,2077104,2079626,2082155,2084687,2087652,2090644,2093667,2096720,2099801,2102910,2106047,2109647,2113299,2117004,2120764,2124580,2128452,2132380,2136804,2141311,2145904,2150582,2155348,2160202,2165144,2170617,2176203,2181903,2187721,2193661,2199727,2205920,2212679,2219583,2226630,2233820,2241153,2248626,2256236,2264473,2272866,2281411,2290109,2298954,2307944,2317073,2326861,2336793,2346863,2357066,2367396,2377843,2388396,2399607,2410918,2422317,2433791,2445327,2456910,2468524,2480732,2492947
4,"Massachusetts",1709900,1711610,1713321,1715020,1716704,1718471,1720256,1722055,1724264,1726519,1728817,1731156,1733532,1735943,1738388,1741405,1744486,1747629,1750832,1754091,1757401,1760755,1764834,1768977,1773172,1777404,1781656,1785911,1790151,1795237,1800303,1805322,1810267,1815114,1819839,1824419,1829888,1835170,1840242,1845090,1849708,1854086,1858218,1863114,1867719,1872030,1876061,1879819,1883315,1886558,1890313,1893767,1896939,1899853,1902526,1904977,1907221,1909781,1912108,1914221,1916142,1917892,1919497,1920972,1922616,1924117,1925493,1926757,1927923,1929003,1930006,1931069,1932046,1932947,1933779,1934549,1935263,1935926,1936623,1937266,1937862,1938415,1938928,1939406,1939851,1940318,1940752,1941156,1941533,1941885,1942215,1942524,1942847,1943151,1943436,1943704,1943957,1944196,1944422,1944658,1944881
5,"Wisconsin",1590205,1590917,1591639,1592371,1593114,1593868,1594635,1595417,1596331,1597272,1598241,1599242,1600276,1601347,1602457,1603764,1605129,1606559,1608058,1609630,1611280,1613014,1615061,1617228,1619525,1621959,1624538,1627271,1630167,1633594,1637251,1641151,1645305,1649726,1654425,1659411,1665298,1671574,1678251,1685335,1692831,1700738,1709049,1718771,1729001,1739716,1750885,1762466,1774411,1786661,1800735,1815112,1829699,1844394,1859094,1873693,1888089,1904202,1919967,1935274,1950029,1964151,1977580,1990274,2004005,2016853,2028805,2039867,2050062,2059421,2067986,2077040,2085259,2092704,2099437,2105535,2111057,2116061,2123036,2134410,2145093,2155102,2164460,2173192,2181329,2189512,2202293,2214696,2226493,2237697,2248318,2258372,2268358,2277761,2286608,2294923,2302733,2310062,2316936,2323672,2329964
6,"Texas",6772009,6775759,6779365,6782805,6786208,6789511,6792687,6795723,6799463,6803099,6806624,6810035,6813329,6816506,6819566,6823469,6827263,6830947,6834518,6837976,6841317,6844542,6848776,6852897,6856905,6860798,6864576,6868238,6871779,6876585,6881304,6885934,6890469,6894904,6899233,6903449,6909172,6914854,6920493,6926094,6931653,6937166,6942629,6949728,6956855,6964004,6971172,6978349,6985528,6992695,7001718,7010840,7020054,7030739,7042114,7053693,7065452,7080434,7095776,7111436,7127361,7146153,7165581,7185223,7212280,7239822,7267618,7295426,7322993,7350069,7376414,7410847,7444444,7476867,7507821,7537062,7564404,7589720,7622812,7653436,7681494,7706966,7729900,7750395,7768590,7792623,7813891,7832602,7848985,7863276,7875704,7886489,7900704,7912961,7923519,7932613,7940476,7947288,7953202,7960932,7967564
7,"Nebraska",478045,478100,478155,478208,478262,478314,478365,478414,478474,478534,478591,478646,478699,478750,478797,478862,478925,478987,479046,479104,479160,479214,479286,479358,479431,479504,479578,479653,479731,479824,479920,480020,480124,480232,480346,480467,480602,480745,480896,481056,481225,481404,481595,481808,482035,482277,482536,482811,483106,483466,483890,484352,484854,485401,485997,486646,487351,488166,489057,490029,491090,492246,493504,494871,496452,498175,500048,502078,504272,506635,509172,512098,515237,518586,522142,525895,529830,533930,538586,543406,548353,553388,558467,563546,568579,574096,579495,584729,589756,594542,599068,603316,607759,611872,615652,619110,622619,625922,628905,632929,636969
8,"Utah",928621,928738,928860,928986,929117,929253,929395,929543,929709,929884,930066,930258,930460,930672,930896,931151,931420,931706,932010,932333,932677,933043,933460,933907,934385,934897,935445,936031,936659,937379,938153,938984,939876,940834,941860,942959,944225,945585,947043,948604,950273,952053,953948,956117,958426,960875,963466,966197,969065,972064,975419,978909,982522,986240,990047,993922,997843,1002125,1006421,1010703,1014943,1019122,1023227,1027238,1031487,1035598,1039554,1043339,1046945,1050364,1053590,1056850,1059888,1062705,1065307,1067700,1069892,1071892,1073866,1075649,1077256,1078698,1079990,1082128,1084168,1086176,1088012,1089687,1091212,1092601,1093865,1095014,1096123,1097124,1098765,1100321,1101760,1103088,1104315,1105490,1106569
9,"Oregon",706687,707030,707378,707732,708094,708462,708838,709222,709647,710085,710535,710999,711476,711970,712479,713046,713633,714244,714878,715539,716227,716945,717741,718574,719446,720358,721314,722315,723365,724530,725755,727041,728394,729816,731310,732883,734626,736463,738399,740439,742588,744851,747232,749852,752612,755514,758565,761767,765125,768641,772490,776521,780735,785134,789716,794481,799426,804790,810348,816096,822025,828127,834390,840801,847655,854650,861768,868990,876295,883667,891082,898864,906658,914439,922182,929865,937466,944962,952658,963531,974752,986172,997773,1009532,1021425,1033765,1046202,1058707,1071252,1083808,1096347,1108840,1121617,1134297,1146851,1159252,1171475,1183496,1195295,1207203,1218844
