id,Country,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31
0,Afghanistan,178638,178678,178718,178756,178794,178830,178866,178900,178935,178968,179000,179032,179063,179093,179122,179151,179179,179207,179234,179260,179285,179310,179335,179359,179382,179405,179427,179449,179471,179492,179512,179532,179551,179571,179589,179608,179625,179643,179660,179677,179693,179709,179725,179740,179755,179770,179784,179798,179812,179826,179839,179852,179865,179877,179889,179901,179913,179924,179935,179946,179957,179967,179978,179988,179998,180007,180017,180026,180035,180044,180053,180061,180070,180078,180086,180094,180102,180109,180117,180124,180131,180138,180145,180152,180158,180165,180171,180177,180184,180190,180195,180201,180207,180212,180218,180223,180228,180234,180239,180244,180248
1,Albania,274737,274778,274818,274858,274897,274936,274975,275012,275049,275086,275122,275157,275192,275226,275260,275293,275327,275359,275391,275423,275455,275486,275517,275548,275578,275608,275638,275667,275697,275726,275755,275784,275813,275841,275869,275898,275926,275954,275982,276010,276038,276065,276093,276120,276148,276176,276203,276231,276258,276286,276313,276341,276369,276396,276424,276452,276479,276507,276535,276564,276592,276620,276648,276677,276706,276734,276763,276792,276822,276851,276880,276910,276940,276971,277001,277031,277062,277093,277124,277156,277187,277219,277251,277283,277316,277349,277382,277416,277449,277483,277517,277552,277587,277622,277658,277693,277729,277766,277802,277840,277877
2,Algeria,265761,265764,265766,265769,265771,265774,265776,265778,265780,265782,265784,265785,265787,265788,265790,265791,265793,265794,265795,265796,265797,265798,265799,265800,265801,265802,265803,265803,265804,265805,265805,265806,265807,265807,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808,265808
3,Andorra,41013,41065,41116,41168,41220,41272,41324,41377,41434,41492,41550,41609,41669,41729,41790,41865,41942,42021,42103,42188,42276,42368,42482,42602,42729,42863,43005,43156,43315,43513,43725,43952,44193,44450,44723,45012,45372,45754,46158,46582,47025,47484,47956,48536,49130,49731,50334,50930,51513,52077,52765,53424,54048,54632,55173,55671,56125,56682,57187,57641,58047,58410,58734,59024,59382,59699,60243,61148,62028,62878,63692,64565,65393,66172,66901,67581,68211,68793,69417,69991,70516,70996,71435,71836,72203,72581,72923,73232,73512,73767,73998,74208,74422,74615,74790,74949,75094,75226,75346,75469,75581
4,Angola,99287,99295,99303,99311,99318,99326,99334,99342,99348,99355,99362,99368,99375,99381,99386,99392,99398,99403,99408,99413,99418,99423,99428,99432,99437,99441,99445,99449,99453,99457,99461,99464,99468,99471,99475,99478,99481,99484,99487,99490,99493,99495,99498,99501,99503,99506,99508,99510,99513,99515,99517,99519,99521,99523,99525,99526,99528,99530,99531,99533,99534,99536,99537,99539,99540,99541,99542,99544,99545,99546,99547,99548,99549,99550,99551,99552,99552,99553,99554,99555,99556,99556,99557,99558,99558,99559,99560,99560,99561,99561,99562,99562,99563,99563,99564,99564,99565,99565,99566,99566,99566
5,Antigua and Barbuda,7571,7576,7580,7585,7590,7595,7600,7605,7611,7617,7622,7629,7635,7641,7648,7655,7662,7669,7677,7685,7693,7702,7711,7720,7729,7739,7749,7759,7770,7781,7793,7805,7818,7830,7844,7857,7872,7887,7902,7917,7933,7949,7966,7983,8001,8019,8038,8056,8074,8092,8111,8129,8146,8162,8177,8192,8204,8217,8229,8240,8250,8259,8267,8274,8281,8287,8293,8298,8303,8307,8310,8314,8317,8319,8322,8324,8326,8328,8329,8331,8332,8333,8334,8335,8336,8337,8338,8338,8339,8340,8340,8341,8341,8341,8342,8342,8342,8342,8342,8342,8342
6,Argentina,9060923,9061409,9061864,9062292,9062696,9063079,9063449,9063816,9064211,9064592,9064961,9065321,9065674,9066022,9066367,9066738,9067104,9067468,9067830,9068193,9068555,9068920,9069314,9069715,9070119,9070527,9070942,9071363,9071793,9072268,9072754,9073252,9073764,9074291,9074834,9075395,9076023,9076674,9077350,9078053,9078786,9079550,9080347,9081249,9082193,9083184,9084222,9085312,9086456,9087657,9089031,9090476,9091995,9093592,9095268,9097057,9098977,9101126,9103403,9105815,9108368,9111068,9113922,9116935,9120289,9123834,9127574,9131516,9135665,9140028,9144610,9149667,9154990,9160588,9166470,9172644,9179117,9185900,9193341,9201168,9209397,9218045,9227129,9236668,9246683,9257653,9269215,9281397,9294234,9307760,9322011,9337027,9353488,9370885,9389272,9408704,9429238,9450936,9473860,9499017,9525655
7,Armenia,422814,422825,422836,422846,422856,422866,422876,422886,422895,422904,422912,422921,422929,422937,422945,422952,422960,422967,422974,422981,422987,422994,423000,423007,423013,423019,423024,423030,423036,423041,423047,423052,423057,423062,423067,423072,423076,423081,423086,423090,423094,423099,423103,423107,423111,423115,423119,423122,423126,423130,423133,423137,423140,423144,423147,423150,423153,423156,423159,423162,423165,423168,423170,423173,423176,423178,423180,423183,423185,423187,423189,423191,423193,423195,423196,423198,423199,423201,423202,423203,423205,423206,423207,423208,423209,423210,423211,423211,423212,423213,423213,423214,423214,423215,423215,423216,423216,423217,423217,423217,423218
8,Australia,5650550,5692502,5733191,5772499,5810307,5846494,5880939,5913522,5950213,5985578,6019648,6052469,6084109,6114658,6144226,6178221,6211408,6243879,6275730,6307060,6337968,6368552,6403889,6439030,6474066,6509086,6544169,6579392,6614821,6656172,6698063,6740587,6783833,6827883,6872813,6918692,6972509,7027774,7084562,7142940,7202958,7264651,7328036,7402795,7479945,7559468,7641318,7725412,7811635,7899836,8004036,8110803,8219828,8330751,8443165,8556621,8670642,8804854,8939422,9073614,9206692,9337937,9466669,9592263,9738914,9881102,10018123,10149400,10274497,10393115,10505087,10634633,10755827,10868683,10973355,11070111,11159304,11241349,11334197,11418580,11495108,11564407,11627098,11683783,11735029,11789747,11838391,11881618,11920023,11954145,11984465,12011411,12039481,12064141,12085828,12104923,12121756,12136618,12149760,12163381,12175347
9,Austria,4092513,4102266,4111949,4121584,4131195,4140812,4150466,4160190,4171591,4183167,4194910,4206814,4218875,4231090,4243457,4259253,4275487,4292191,4309380,4327058,4345215,4363832,4388285,4413770,4443036,4474914,4508809,4544682,4582421,4633539,4688045,4745515,4805323,4866649,4928521,4989875,5075046,5159445,5241048,5318030,5388959,5452913,5509502,5593428,5667386,5761133,5872315,5981693,6088011,6190136,6316447,6436725,6549685,6654391,6750263,6837063,6914852,7014405,7102753,7180335,7247841,7306125,7356115,7398752,7457296,7506750,7548310,7583099,7617632,7647500,7672183,7708884,7739664,7765483,7787173,7805439,7820872,7833956,7852194,7867500,7880422,7891402,7900800,7908899,7915923,7925178,7933157,7940104,7946213,7951637,7956493,7960876,7966223,7971010,7975338,7979291,7982930,7986307,7989462,7993085,7996446
