id,Country,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02
0,GM01,3658040,3661780,3665362,3668804,3672128,3675358,3678481,3681486,3684356,3687120,3689782,3692347,3694819,3697198,3699485,3701683,3703799,3705835,3707794,3709679,3711492,3713235,3714911,3716524,3718074,3719565,3720999,3722378,3723704,3724978,3726203,3727382,3728514,3729603,3730649,3731656,3732623,3733552,3734446,3735304,3736130,3736923,3737686,3738418,3739122,3739799,3740450,3741075,3741675,3742252,3742807,3743340,3743852,3744344,3744817,3745271,3745707,3746127,3746530,3746917,3747289,3747646,3747990,3748320,3748637,3748941,3749234,3749515,3749785,3750044,3750294,3750533,3750763,3750984,3751196,3751400,3751596,3751784,3751965,3752139,3752306,3752466,3752620,3752768,3752910,3753047,3753178,3753304,3753425,3753541,3753653,3753760,3753863,3753962,3754057,3754148,3754236,3754320,3754401,3754479,3754554
1,GM02,4876611,4881692,4886512,4891069,4895359,4899378,4903164,4906757,4910195,4913479,4916626,4919653,4922576,4925373,4928025,4930516,4932870,4935097,4937206,4939211,4941125,4942957,4944711,4946387,4947985,4949508,4950954,4952325,4953622,4954852,4956021,4957134,4958195,4959208,4960174,4961096,4961974,4962808,4963601,4964353,4965068,4965747,4966392,4967007,4967592,4968150,4968682,4969188,4969670,4970128,4970563,4970977,4971370,4971744,4972100,4972439,4972761,4973068,4973360,4973638,4973903,4974154,4974394,4974621,4974837,4975043,4975239,4975425,4975603,4975771,4975932,4976085,4976230,4976368,4976500,4976625,4976744,4976857,4976964,4977067,4977164,4977257,4977345,4977429,4977509,4977585,4977657,4977726,4977791,4977854,4977913,4977969,4978023,4978074,4978122,4978168,4978212,4978254,4978294,4978331,4978367
2,GM03,199618,199943,200254,200551,200835,201106,201365,201615,201857,202091,202318,202538,202751,202957,203154,203342,203522,203695,203860,204020,204175,204324,204468,204608,204742,204871,204995,205113,205227,205337,205442,205544,205642,205736,205827,205915,206000,206081,206159,206234,206306,206375,206442,206506,206568,206627,206685,206740,206793,206844,206893,206941,206986,207030,207072,207112,207151,207189,207225,207260,207293,207325,207356,207386,207414,207442,207468,207494,207518,207542,207565,207586,207608,207628,207647,207666,207684,207701,207718,207734,207749,207764,207778,207792,207805,207818,207830,207842,207853,207864,207875,207885,207895,207904,207913,207921,207930,207938,207945,207953,207960
3,GM04,579767,580670,581546,582397,583227,584039,584832,585603,586349,587074,587779,588466,589134,589783,590413,591026,591621,592199,592761,593307,593837,594351,594851,595336,595807,596264,596708,597139,597557,597963,598357,598739,599110,599469,599818,600157,600485,600804,601112,601412,601703,601984,602257,602522,602779,603028,603270,603504,603730,603950,604164,604370,604570,604765,604953,605135,605312,605483,605649,605810,605965,606116,606263,606404,606542,606675,606804,606929,607050,607167,607280,607390,607497,607600,607700,607797,607891,607982,608070,608155,608238,608318,608395,608470,608543,608613,608682,608748,608812,608873,608933,608992,609048,609102,609155,609206,609256,609303,609350,609395,609438
4,GM05,1847349,1850167,1852876,1855487,1858016,1860479,1862866,1865169,1867378,1869510,1871570,1873561,1875484,1877339,1879128,1880853,1882517,1884123,1885673,1887167,1888608,1889997,1891337,1892628,1893874,1895074,1896232,1897348,1898423,1899460,1900459,1901421,1902349,1903243,1904105,1904935,1905735,1906506,1907248,1907964,1908653,1909317,1909956,1910572,1911166,1911737,1912288,1912818,1913329,1913821,1914294,1914751,1915190,1915613,1916021,1916413,1916791,1917155,1917505,1917842,1918167,1918480,1918781,1919071,1919350,1919619,1919878,1920127,1920367,1920598,1920820,1921035,1921241,1921439,1921630,1921814,1921991,1922162,1922326,1922484,1922636,1922782,1922923,1923059,1923189,1923315,1923436,1923552,1923664,1923772,1923876,1923976,1924073,1924165,1924254,1924340,1924423,1924503,1924579,1924653,1924724
5,GM06,2347602,2351752,2355731,2359559,2363259,2366856,2370337,2373688,2376893,2379980,2382956,2385827,2388593,2391257,2393819,2396284,2398657,2400942,2403141,2405257,2407293,2409251,2411136,2412948,2414692,2416369,2417982,2419533,2421025,2422459,2423838,2425165,2426440,2427665,2428844,2429976,2431065,2432112,2433118,2434085,2435014,2435907,2436765,2437590,2438383,2439144,2439876,2440579,2441255,2441904,2442528,2443127,2443703,2444256,2444787,2445298,2445788,2446259,2446712,2447147,2447564,2447965,2448351,2448721,2449076,2449418,2449746,2450061,2450364,2450654,2450933,2451201,2451459,2451706,2451944,2452172,2452391,2452601,2452803,2452997,2453184,2453363,2453535,2453700,2453858,2454011,2454157,2454297,2454432,2454561,2454686,2454805,2454920,2455030,2455136,2455237,2455335,2455428,2455518,2455605,2455688
6,GM07,5251885,5259691,5267243,5274552,5281632,5288498,5295123,5301480,5307534,5313372,5318998,5324416,5329629,5334639,5339451,5344072,5348518,5352792,5356901,5360849,5364643,5368287,5371789,5375154,5378386,5381492,5384475,5387340,5390092,5392735,5395274,5397712,5400053,5402302,5404460,5406533,5408524,5410435,5412270,5414031,5415723,5417346,5418905,5420401,5421838,5423216,5424540,5425810,5427029,5428200,5429323,5430401,5431436,5432429,5433382,5434297,5435175,5436017,5436826,5437602,5438347,5439061,5439747,5440405,5441036,5441642,5442224,5442782,5443317,5443831,5444324,5444797,5445250,5445686,5446104,5446505,5446889,5447258,5447613,5447952,5448278,5448591,5448891,5449179,5449456,5449721,5449975,5450219,5450453,5450678,5450893,5451100,5451298,5451489,5451671,5451847,5452015,5452176,5452331,5452479,5452622
7,GM08,1145383,1146972,1148505,1149987,1151421,1152811,1154152,1155439,1156664,1157844,1158981,1160076,1161129,1162140,1163112,1164044,1164941,1165803,1166631,1167426,1168191,1168925,1169630,1170307,1170958,1171583,1172183,1172759,1173312,1173843,1174354,1174844,1175314,1175766,1176199,1176615,1177015,1177399,1177767,1178120,1178460,1178785,1179098,1179398,1179686,1179962,1180228,1180482,1180727,1180961,1181186,1181402,1181609,1181808,1181999,1182182,1182358,1182527,1182689,1182844,1182993,1183136,1183273,1183405,1183531,1183652,1183769,1183880,1183987,1184090,1184189,1184283,1184374,1184461,1184545,1184625,1184702,1184775,1184846,1184914,1184979,1185042,1185102,1185159,1185214,1185267,1185318,1185367,1185414,1185458,1185501,1185543,1185582,1185620,1185657,1185692,1185725,1185757,1185788,1185818,1185846
8,GM09,314108,314379,314638,314885,315123,315354,315577,315790,315993,316187,316374,316553,316726,316891,317049,317201,317346,317485,317619,317747,317870,317988,318101,318209,318312,318412,318507,318598,318686,318770,318850,318927,319001,319071,319139,319204,319266,319326,319383,319437,319490,319540,319588,319634,319678,319720,319761,319800,319837,319872,319907,319939,319971,320001,320029,320057,320083,320108,320132,320156,320178,320199,320219,320239,320258,320275,320293,320309,320325,320340,320354,320368,320381,320394,320406,320417,320429,320439,320449,320459,320469,320478,320486,320494,320502,320510,320517,320524,320531,320537,320543,320549,320554,320560,320565,320570,320574,320579,320583,320587,320591
9,GM10,729388,731264,733082,734848,736570,738254,739897,741494,743038,744538,745997,747415,748795,750134,751435,752696,753922,755111,756266,757387,758475,759530,760554,761547,762511,763445,764351,765230,766082,766908,767709,768485,769237,769966,770673,771358,772021,772664,773287,773890,774475,775041,775589,776120,776634,777133,777615,778082,778534,778972,779396,779806,780204,780588,780961,781321,781670,782008,782334,782651,782957,783253,783540,783817,784085,784345,784597,784840,785075,785303,785523,785736,785942,786142,786335,786522,786702,786877,787046,787209,787368,787521,787669,787812,787950,788084,788214,788339,788460,788577,788691,788800,788906,789009,789108,789204,789297,789387,789473,789557,789638
