id,Country,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30
0,GM01,16852,16863,16873,16883,16893,16902,16910,16919,16926,16933,16940,16947,16953,16958,16964,16969,16974,16978,16983,16987,16991,16995,16999,17002,17006,17009,17012,17016,17019,17021,17024,17026,17029,17031,17033,17035,17037,17039,17041,17043,17045,17046,17048,17049,17051,17052,17053,17055,17056,17057,17058,17059,17060,17061,17062,17063,17063,17064,17065,17066,17066,17067,17067,17068,17069,17069,17070,17070,17071,17071,17071,17072,17072,17073,17073,17073,17074,17074,17074,17074,17075,17075,17075,17075,17076,17076,17076,17076,17076,17077,17077,17077,17077,17077,17077,17077,17078,17078,17078,17078,17078,17078
1,GM02,25306,25324,25341,25357,25373,25387,25401,25414,25426,25437,25447,25457,25466,25475,25484,25492,25499,25506,25513,25520,25526,25532,25538,25544,25549,25555,25560,25565,25570,25575,25580,25584,25589,25593,25597,25602,25606,25609,25613,25617,25621,25624,25628,25631,25634,25637,25640,25643,25646,25649,25652,25654,25657,25659,25662,25664,25666,25669,25671,25673,25675,25677,25679,25681,25682,25684,25686,25688,25689,25691,25692,25694,25695,25697,25698,25699,25700,25702,25703,25704,25705,25706,25707,25708,25709,25710,25711,25712,25713,25714,25715,25715,25716,25717,25718,25718,25719,25720,25720,25721,25722,25722
2,GM03,822,822,823,823,824,824,825,825,825,826,826,826,826,827,827,827,828,828,828,828,829,829,829,829,830,830,830,830,830,831,831,831,831,831,831,832,832,832,832,832,832,832,832,832,832,832,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,834,834,834,834,834,834,834,834,834,834,834,834,834
3,GM04,2921,2925,2928,2931,2935,2937,2940,2943,2945,2948,2950,2953,2955,2957,2960,2962,2964,2967,2969,2971,2974,2976,2978,2980,2982,2984,2986,2988,2990,2992,2994,2996,2997,2999,3001,3003,3004,3006,3008,3009,3011,3012,3014,3016,3017,3019,3020,3021,3023,3024,3026,3027,3028,3030,3031,3032,3033,3035,3036,3037,3038,3039,3040,3041,3042,3044,3045,3046,3047,3048,3049,3050,3050,3051,3052,3053,3054,3055,3056,3057,3057,3058,3059,3060,3061,3061,3062,3063,3063,3064,3065,3066,3066,3067,3067,3068,3069,3069,3070,3071,3071,3072
4,GM05,10833,10841,10849,10856,10863,10870,10876,10882,10888,10893,10898,10903,10908,10912,10916,10921,10925,10929,10932,10936,10940,10944,10947,10951,10954,10958,10961,10964,10967,10969,10972,10974,10976,10978,10980,10982,10984,10986,10987,10988,10990,10991,10992,10993,10994,10995,10996,10997,10998,10999,10999,11000,11001,11001,11002,11002,11003,11003,11004,11004,11004,11005,11005,11005,11006,11006,11006,11007,11007,11007,11007,11007,11008,11008,11008,11008,11008,11008,11008,11009,11009,11009,11009,11009,11009,11009,11009,11009,11009,11009,11009,11009,11009,11010,11010,11010,11010,11010,11010,11010,11010,11010
5,GM06,10348,10363,10376,10390,10402,10414,10426,10436,10447,10456,10466,10475,10484,10493,10502,10510,10519,10527,10536,10544,10552,10560,10568,10576,10584,10591,10599,10607,10614,10622,10629,10636,10644,10651,10658,10665,10672,10679,10686,10693,10699,10706,10712,10719,10725,10731,10738,10744,10750,10756,10762,10768,10773,10779,10785,10790,10796,10801,10806,10812,10817,10822,10827,10832,10836,10841,10846,10851,10855,10860,10864,10868,10873,10877,10881,10885,10889,10893,10897,10901,10904,10908,10912,10915,10919,10922,10925,10929,10932,10935,10938,10941,10944,10947,10950,10953,10956,10958,10961,10964,10966,10969
6,GM07,26836,26856,26875,26894,26912,26930,26948,26966,26983,27000,27016,27033,27049,27065,27080,27096,27112,27127,27143,27158,27174,27189,27205,27220,27235,27250,27264,27277,27290,27302,27314,27325,27337,27348,27358,27369,27379,27389,27398,27407,27416,27425,27433,27441,27449,27456,27464,27471,27478,27484,27491,27497,27503,27509,27515,27520,27526,27531,27536,27541,27545,27550,27554,27559,27563,27567,27571,27574,27578,27581,27585,27588,27591,27594,27597,27600,27603,27606,27608,27611,27613,27616,27618,27620,27622,27624,27626,27628,27630,27632,27634,27636,27637,27639,27640,27642,27643,27645,27646,27647,27649,27650
7,GM08,6030,6035,6039,6043,6047,6051,6055,6058,6061,6064,6067,6070,6073,6076,6078,6081,6083,6086,6088,6091,6093,6095,6097,6100,6102,6104,6106,6108,6110,6112,6114,6116,6118,6120,6122,6124,6126,6127,6129,6131,6133,6134,6136,6138,6139,6141,6143,6144,6146,6147,6149,6150,6151,6153,6154,6156,6157,6158,6159,6161,6162,6163,6164,6166,6167,6168,6169,6170,6171,6172,6173,6174,6175,6176,6177,6178,6179,6180,6181,6182,6183,6183,6184,6185,6186,6187,6187,6188,6189,6190,6190,6191,6192,6192,6193,6194,6194,6195,6195,6196,6197,6197
8,GM09,1808,1810,1811,1813,1814,1815,1816,1818,1819,1820,1821,1821,1822,1823,1824,1825,1825,1826,1827,1827,1828,1829,1829,1830,1831,1831,1832,1832,1833,1833,1834,1834,1834,1835,1835,1835,1836,1836,1836,1836,1837,1837,1837,1837,1837,1837,1838,1838,1838,1838,1838,1838,1838,1838,1838,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840
9,GM10,2799,2802,2805,2808,2810,2813,2816,2818,2821,2823,2826,2828,2830,2833,2835,2838,2840,2842,2845,2847,2850,2852,2854,2857,2859,2861,2863,2866,2868,2870,2873,2875,2877,2879,2881,2884,2886,2888,2890,2892,2894,2896,2899,2901,2903,2905,2907,2909,2911,2913,2915,2917,2918,2920,2922,2924,2926,2928,2930,2931,2933,2935,2937,2938,2940,2942,2943,2945,2947,2948,2950,2951,2953,2954,2956,2957,2959,2960,2962,2963,2965,2966,2967,2969,2970,2971,2972,2974,2975,2976,2977,2979,2980,2981,2982,2983,2984,2985,2986,2987,2988,2990
