<<<<<<< HEAD
forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,point,NA,6
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.01,0
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.025,0
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.05,0
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.1,0
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.15,3
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.2,3
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.25,4
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.3,5
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.35,5
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.4,6
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.45,6
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.5,6
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.55,7
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.6,7
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.65,8
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.7,9
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.75,10
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.8,11
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.85,13
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.9,13
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.95,15
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.975,17
2022-08-25,1 wk ahead inc death,2022-08-27,PL72,PL72,quantile,0.99,18
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,point,NA,7198
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.01,7192
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.025,7192
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.05,7192
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.1,7192
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.15,7195
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.2,7195
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.25,7196
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.3,7197
2022-08-25,1 wk ahead cum death,2022-08-27,PL72,PL72,quantile,0.35,7197
