forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,point,NA,8
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.01,6
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.025,6
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.05,6
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.1,6
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.15,6
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.2,7
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.25,7
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.3,7
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.35,7
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.4,8
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.45,8
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.5,8
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.55,8
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.6,9
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.65,9
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.7,10
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.75,10
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.8,11
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.85,11
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.9,12
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.95,14
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.975,15
2022-09-13,1 wk ahead inc death,2022-09-17,PL72,PL72,quantile,0.99,16
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,point,NA,7219
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.01,7217
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.025,7217
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.05,7217
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.1,7217
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.15,7217
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.2,7218
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.25,7218
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.3,7218
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.35,7218
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.4,7219
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.45,7219
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.5,7219
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.55,7219
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.6,7220
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.65,7220
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.7,7221
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.75,7221
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.8,7222
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.85,7222
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.9,7223
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.95,7225
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.975,7226
2022-09-13,1 wk ahead cum death,2022-09-17,PL72,PL72,quantile,0.99,7227
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,point,NA,5
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.01,0
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.025,0
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.05,0
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.1,1
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.15,1
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.2,1
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.25,1
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.3,1
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.35,2
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.4,3
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.45,4
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.5,5
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.55,5
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.6,6
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.65,7
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.7,7
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.75,8
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.8,8
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.85,8
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.9,9
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.95,10
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.975,11
2022-09-13,2 wk ahead inc death,2022-09-24,PL72,PL72,quantile,0.99,11
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,point,NA,7224
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.01,7219
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.025,7219
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.05,7219
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.1,7220
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.15,7220
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.2,7220
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.25,7220
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.3,7220
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.35,7221
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.4,7222
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.45,7223
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.5,7224
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.55,7224
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.6,7225
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.65,7226
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.7,7226
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.75,7227
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.8,7227
2022-09-13,2 wk ahead cum death,2022-09-24,PL72,PL72,quantile,0.85,7227
