id,Country,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03
0,"Washington",14274,14285,14296,14307,14318,14329,14341,14352,14364,14376,14388,14399,14408,14416,14422,14427,14431,14433,14435,14436,14438,14439,14440,14441,14442,14443,14443,14444,14445,14445,14446,14446,14447,14447,14448,14448,14448,14449,14449,14449,14450,14450,14450,14451,14451,14451,14452,14452,14452,14452,14453,14453,14453,14454,14454,14454,14455,14455,14456,14456,14456,14457,14457,14458,14458,14459,14459,14460,14461,14461,14462,14463,14463,14464,14465,14466,14467,14468,14469,14470,14472,14473,14474,14476,14477,14479,14480,14482,14484,14485,14487,14489,14491,14493,14495,14497,14499,14501,14503,14505,14507
1,"Illinois",39624,39637,39649,39662,39675,39687,39700,39712,39725,39737,39750,39762,39774,39786,39798,39810,39822,39834,39845,39857,39869,39880,39892,39903,39915,39926,39936,39946,39954,39962,39969,39975,39981,39987,39992,39998,40003,40008,40012,40016,40020,40023,40026,40029,40032,40035,40037,40040,40042,40044,40046,40048,40050,40051,40053,40054,40056,40057,40059,40060,40061,40062,40063,40064,40065,40066,40067,40068,40068,40069,40070,40071,40071,40072,40073,40073,40074,40074,40075,40075,40076,40076,40077,40077,40078,40078,40079,40079,40079,40080,40080,40080,40081,40081,40081,40081,40082,40082,40082,40082,40083
2,"California",95796,95831,95865,95900,95934,95969,96003,96038,96073,96107,96142,96177,96211,96246,96281,96315,96349,96383,96416,96450,96483,96515,96547,96579,96610,96641,96672,96702,96731,96761,96789,96818,96846,96875,96903,96931,96959,96987,97015,97042,97069,97095,97120,97144,97167,97189,97211,97232,97253,97274,97294,97314,97333,97351,97369,97386,97402,97418,97434,97449,97464,97479,97493,97507,97520,97533,97546,97558,97569,97581,97592,97603,97614,97624,97634,97644,97653,97662,97671,97680,97688,97696,97704,97712,97720,97727,97734,97742,97748,97755,97762,97768,97774,97780,97786,97792,97797,97803,97808,97813,97818
3,"Arizona",31326,31337,31349,31360,31371,31383,31394,31405,31416,31427,31437,31448,31458,31468,31479,31489,31498,31508,31517,31527,31536,31545,31554,31563,31571,31580,31589,31597,31606,31614,31623,31631,31639,31648,31656,31665,31673,31681,31690,31698,31706,31714,31723,31731,31739,31747,31755,31763,31771,31778,31786,31794,31802,31809,31817,31824,31832,31839,31846,31854,31861,31868,31875,31882,31889,31896,31903,31910,31916,31923,31930,31936,31943,31949,31956,31962,31968,31974,31981,31987,31993,31999,32004,32010,32016,32021,32027,32032,32038,32043,32048,32053,32058,32063,32068,32073,32078,32082,32087,32091,32095
4,"Massachusetts",21646,21655,21663,21672,21680,21689,21698,21706,21715,21724,21733,21742,21752,21761,21771,21780,21790,21800,21811,21821,21832,21843,21854,21865,21876,21887,21898,21909,21920,21931,21941,21951,21961,21971,21980,21989,21998,22006,22015,22023,22031,22038,22045,22052,22059,22065,22071,22077,22083,22088,22093,22098,22103,22108,22112,22116,22120,22124,22128,22131,22135,22138,22141,22144,22146,22149,22152,22154,22156,22158,22160,22162,22164,22166,22168,22169,22171,22172,22174,22175,22176,22178,22179,22180,22181,22182,22183,22184,22184,22185,22186,22186,22187,22188,22188,22189,22189,22190,22190,22191,22191
5,"Wisconsin",15220,15224,15229,15233,15237,15242,15246,15250,15254,15259,15263,15267,15271,15275,15280,15284,15288,15292,15296,15300,15304,15308,15312,15317,15321,15325,15329,15334,15338,15342,15347,15351,15355,15360,15364,15369,15373,15378,15382,15386,15391,15395,15400,15404,15409,15413,15418,15423,15427,15432,15436,15441,15445,15450,15454,15459,15464,15468,15473,15478,15482,15487,15491,15496,15501,15505,15510,15515,15519,15524,15529,15533,15538,15543,15548,15552,15557,15562,15566,15571,15576,15580,15585,15590,15594,15599,15604,15608,15613,15618,15622,15627,15632,15636,15641,15646,15650,15655,15659,15664,15669
6,"Texas",90790,90811,90832,90853,90875,90895,90916,90937,90957,90978,90998,91018,91037,91057,91076,91095,91115,91134,91153,91171,91190,91209,91227,91246,91264,91283,91301,91319,91337,91355,91372,91389,91407,91423,91440,91456,91472,91488,91503,91518,91533,91547,91562,91576,91590,91604,91618,91631,91644,91657,91669,91681,91692,91704,91714,91725,91735,91745,91754,91763,91772,91780,91788,91796,91803,91811,91818,91824,91831,91837,91843,91849,91855,91860,91865,91871,91875,91880,91885,91889,91894,91898,91902,91906,91909,91913,91917,91920,91923,91926,91930,91933,91935,91938,91941,91944,91946,91949,91951,91953,91955
7,"Nebraska",4507,4510,4513,4516,4519,4522,4526,4529,4533,4537,4541,4546,4550,4555,4559,4564,4569,4575,4580,4585,4591,4597,4602,4608,4614,4620,4625,4631,4636,4641,4647,4652,4657,4662,4667,4672,4676,4681,4686,4691,4695,4700,4704,4709,4713,4717,4722,4726,4730,4734,4738,4741,4745,4749,4752,4756,4759,4763,4766,4769,4772,4775,4779,4781,4784,4787,4790,4793,4795,4798,4800,4803,4805,4807,4809,4812,4814,4816,4818,4820,4822,4824,4825,4827,4829,4831,4832,4834,4835,4837,4838,4840,4841,4843,4844,4845,4847,4848,4849,4850,4851
8,"Utah",5011,5012,5014,5015,5016,5018,5019,5020,5021,5022,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5040,5041,5042,5043,5044,5044,5045,5046,5047,5047,5048,5049,5050,5050,5051,5052,5052,5053,5054,5054,5055,5056,5056,5057,5058,5058,5059,5060,5060,5061,5061,5062,5063,5063,5064,5065,5065,5066,5066,5067,5068,5069,5069,5070,5071,5071,5072,5073,5074,5074,5075,5076,5077,5078,5079,5080,5081,5082,5083,5084,5085,5086,5088,5089,5090,5092,5093,5095,5096,5098,5099,5101,5103,5105
9,"Oregon",8520,8524,8528,8531,8535,8539,8542,8546,8550,8553,8557,8560,8564,8567,8570,8574,8577,8580,8583,8587,8590,8593,8596,8600,8603,8606,8609,8613,8616,8619,8623,8626,8630,8633,8637,8640,8643,8647,8650,8654,8657,8660,8663,8667,8670,8673,8676,8679,8683,8686,8689,8692,8695,8698,8701,8704,8707,8709,8712,8715,8718,8721,8723,8726,8729,8731,8734,8736,8739,8741,8744,8746,8749,8751,8753,8755,8758,8760,8762,8764,8766,8768,8770,8772,8774,8776,8778,8780,8782,8784,8785,8787,8789,8791,8792,8794,8795,8797,8798,8800,8801
