id,Country,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02
0,"Washington",14528,14543,14559,14574,14588,14603,14617,14631,14645,14659,14673,14687,14701,14715,14728,14742,14756,14769,14782,14794,14806,14818,14829,14840,14850,14861,14871,14881,14892,14902,14912,14921,14929,14936,14941,14946,14949,14952,14954,14956,14959,14961,14963,14966,14968,14970,14972,14973,14974,14974,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975,14975
1,"Illinois",39930,39940,39949,39959,39968,39977,39986,39995,40003,40011,40018,40026,40033,40040,40047,40054,40062,40069,40077,40085,40093,40100,40108,40115,40123,40130,40138,40146,40154,40162,40170,40178,40186,40194,40203,40211,40220,40229,40236,40243,40248,40251,40253,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255
2,"California",96727,96762,96797,96832,96865,96897,96928,96959,96989,97018,97047,97074,97100,97126,97151,97176,97201,97226,97250,97275,97299,97323,97347,97371,97394,97417,97440,97463,97485,97507,97530,97552,97574,97597,97619,97641,97662,97683,97703,97724,97745,97766,97786,97807,97827,97844,97858,97869,97876,97881,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884,97884
3,"Arizona",31514,31522,31530,31537,31544,31551,31558,31566,31574,31582,31591,31600,31610,31620,31630,31640,31650,31659,31666,31672,31676,31679,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680,31680
4,"Massachusetts",21923,21942,21962,21981,22001,22020,22040,22060,22081,22101,22122,22143,22163,22185,22206,22227,22248,22269,22290,22311,22332,22353,22375,22397,22419,22442,22464,22485,22507,22528,22547,22565,22580,22593,22603,22612,22618,22623,22627,22630,22633,22634,22635,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636,22636
5,"Wisconsin",15414,15420,15427,15433,15440,15447,15453,15460,15467,15474,15481,15488,15495,15502,15509,15515,15521,15527,15533,15539,15545,15551,15557,15563,15570,15576,15583,15590,15597,15604,15611,15618,15625,15633,15640,15647,15654,15661,15668,15675,15682,15689,15696,15703,15711,15717,15722,15726,15728,15730,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731,15731
6,"Texas",91113,91126,91139,91151,91164,91176,91187,91198,91209,91220,91230,91240,91249,91258,91267,91275,91283,91291,91299,91307,91315,91323,91331,91338,91345,91352,91359,91366,91373,91379,91385,91392,91398,91405,91411,91418,91425,91431,91437,91442,91446,91449,91450,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451,91451
7,"Nebraska",4559,4560,4562,4563,4564,4565,4566,4567,4568,4569,4570,4571,4573,4574,4575,4576,4577,4578,4579,4581,4582,4583,4584,4585,4586,4587,4588,4589,4590,4591,4591,4592,4593,4594,4595,4596,4596,4597,4598,4598,4598,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599
8,"Utah",5047,5048,5050,5051,5052,5053,5054,5056,5057,5058,5059,5061,5062,5063,5064,5065,5066,5067,5069,5070,5071,5073,5074,5075,5076,5077,5078,5079,5081,5082,5083,5084,5085,5085,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086
9,"Oregon",8645,8649,8653,8657,8661,8666,8671,8675,8680,8684,8688,8692,8695,8699,8702,8705,8709,8711,8714,8716,8717,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718,8718
