forecast_date,target,target_end_date,location,type,quantile,value
2022-12-04,1 wk ahead inc case,2022-12-10,AT,quantile,0.010,27871
2022-12-04,1 wk ahead inc case,2022-12-10,BE,quantile,0.010,5458
2022-12-04,1 wk ahead inc case,2022-12-10,BG,quantile,0.010,747
2022-12-04,1 wk ahead inc case,2022-12-10,HR,quantile,0.010,601
2022-12-04,1 wk ahead inc case,2022-12-10,CY,quantile,0.010,4004
2022-12-04,1 wk ahead inc case,2022-12-10,CZ,quantile,0.010,0
2022-12-04,1 wk ahead inc case,2022-12-10,DK,quantile,0.010,5232
2022-12-04,1 wk ahead inc case,2022-12-10,EE,quantile,0.010,431
2022-12-04,1 wk ahead inc case,2022-12-10,FI,quantile,0.010,9993
2022-12-04,1 wk ahead inc case,2022-12-10,FR,quantile,0.010,339527
2022-12-04,1 wk ahead inc case,2022-12-10,DE,quantile,0.010,187515
2022-12-04,1 wk ahead inc case,2022-12-10,GR,quantile,0.010,35770
2022-12-04,1 wk ahead inc case,2022-12-10,HU,quantile,0.010,4004
2022-12-04,1 wk ahead inc case,2022-12-10,IS,quantile,0.010,146
2022-12-04,1 wk ahead inc case,2022-12-10,IE,quantile,0.010,1474
2022-12-04,1 wk ahead inc case,2022-12-10,IT,quantile,0.010,231512
2022-12-04,1 wk ahead inc case,2022-12-10,LV,quantile,0.010,1800
2022-12-04,1 wk ahead inc case,2022-12-10,LI,quantile,0.010,73
2022-12-04,1 wk ahead inc case,2022-12-10,LT,quantile,0.010,1820
2022-12-04,1 wk ahead inc case,2022-12-10,LU,quantile,0.010,1163
2022-12-04,1 wk ahead inc case,2022-12-10,MT,quantile,0.010,72
2022-12-04,1 wk ahead inc case,2022-12-10,NL,quantile,0.010,5598
2022-12-04,1 wk ahead inc case,2022-12-10,NO,quantile,0.010,1246
2022-12-04,1 wk ahead inc case,2022-12-10,PL,quantile,0.010,2026
2022-12-04,1 wk ahead inc case,2022-12-10,PT,quantile,0.010,3057
2022-12-04,1 wk ahead inc case,2022-12-10,RO,quantile,0.010,0
2022-12-04,1 wk ahead inc case,2022-12-10,SK,quantile,0.010,993
2022-12-04,1 wk ahead inc case,2022-12-10,SI,quantile,0.010,7008
2022-12-04,1 wk ahead inc case,2022-12-10,ES,quantile,0.010,19034
2022-12-04,1 wk ahead inc case,2022-12-10,SE,quantile,0.010,3729
2022-12-04,1 wk ahead inc case,2022-12-10,CH,quantile,0.010,17167
2022-12-04,1 wk ahead inc case,2022-12-10,GB,quantile,0.010,21074
2022-12-04,2 wk ahead inc case,2022-12-17,AT,quantile,0.010,30249
2022-12-04,2 wk ahead inc case,2022-12-17,BE,quantile,0.010,7744
