place,week_ahead,quantile,value
Washington,1,point,82.2467982116861
Washington,1,0.01,26.4420478961922
Washington,1,0.025,52.7645348901842
Washington,1,0.05,52.764534890197
Washington,1,0.1,52.764534890357
Washington,1,0.15,52.7645348904475
Washington,1,0.2,60.4151408816588
Washington,1,0.25,68.0657468728805
Washington,1,0.3,68.0657468728914
Washington,1,0.35,68.065746872966
Washington,1,0.4,77.7661556364383
Washington,1,0.45,77.7661556364583
Washington,1,0.5,77.7661556364983
Washington,1,0.55,77.7661556365401
Washington,1,0.6,91.0898296247183
Washington,1,0.65,98.6681708379438
Washington,1,0.7,98.6681708379856
Washington,1,0.75,98.6681708381921
Washington,1,0.8,106.318776829363
Washington,1,0.85,113.969382820473
Washington,1,0.9,113.969382820524
Washington,1,0.95,113.969382820898
Washington,1,0.975,113.969382820969
Washington,1,0.99,124.586392579627
Washington,2,point,81.2886575055851
Washington,2,0.01,25.6041167912385
Washington,2,0.025,52.1498501873648
Washington,2,0.05,52.1498501873775
Washington,2,0.1,52.1498501875358
Washington,2,0.15,52.1498501876226
Washington,2,0.2,59.7113298275863
Washington,2,0.25,67.2728094675567
Washington,2,0.3,67.2728094675676
Washington,2,0.35,67.272809467644
Washington,2,0.4,76.8602125372254
Washington,2,0.45,76.8602125372436
Washington,2,0.5,76.8602125372836
Washington,2,0.55,76.8602125373291
Washington,2,0.6,90.1316889186174
Washington,2,0.65,97.5187280276241
Washington,2,0.7,97.5187280276641
Washington,2,0.75,97.5187280278674
Washington,2,0.8,105.08020766779
Washington,2,0.85,112.641687307654
Washington,2,0.9,112.6416873077
Washington,2,0.95,112.641687308073
Washington,2,0.975,112.641687308142
Washington,2,0.99,123.498907691173
Washington,3,point,101.103007307748
Washington,3,0.01,42.9325320416632
Washington,3,0.025,64.861529841708
Washington,3,0.05,64.8615298417244
Washington,3,0.1,64.8615298419209
Washington,3,0.15,64.8615298420318
Washington,3,0.2,74.2661424258249
Washington,3,0.25,83.6707550096253
Washington,3,0.3,83.6707550096398
Washington,3,0.35,83.6707550097308
Washington,3,0.4,95.5951158289481
Washington,3,0.45,95.5951158289736
Washington,3,0.5,95.5951158290227
Washington,3,0.55,95.5951158290754
Washington,3,0.6,109.94603872078
Washington,3,0.65,121.28920534506
Washington,3,0.7,121.289205345111
Washington,3,0.75,121.289205345365
Washington,3,0.8,130.693817929103
Washington,3,0.85,140.098430512773
Washington,3,0.9,140.098430512833
Washington,3,0.95,140.098430513293
Washington,3,0.975,140.098430513381
Washington,3,0.99,145.988095184412
Washington,4,point,117.123119913752
Washington,4,0.01,56.9427401164742
Washington,4,0.025,75.1390580728839
Washington,4,0.05,75.1390580729021
Washington,4,0.1,75.1390580731277
Washington,4,0.15,75.1390580732573
Washington,4,0.2,86.0338632499306
Washington,4,0.25,96.9286684266153
Washington,4,0.3,96.9286684266317
Washington,4,0.35,96.9286684267408
Washington,4,0.4,110.742484447788
Washington,4,0.45,110.742484447816
Washington,4,0.5,110.742484447874
Washington,4,0.55,110.742484447936
Washington,4,0.6,125.966151326784
Washington,4,0.65,140.507889133625
Washington,4,0.7,140.507889133683
Washington,4,0.75,140.507889133977
Washington,4,0.8,151.402694310593
Washington,4,0.85,162.297499487124
Washington,4,0.9,162.297499487191
Washington,4,0.95,162.297499487728
Washington,4,0.975,162.297499487829
Washington,4,0.99,164.170842519373
Washington,5,point,122.756987265624
Washington,5,0.01,61.8697750135975
Washington,5,0.025,78.7534041254712
Washington,5,0.05,78.7534041254912
Washington,5,0.1,78.7534041257295
Washington,5,0.15,78.7534041258632
Washington,5,0.2,90.1722722478826
Washington,5,0.25,101.591140369914
Washington,5,0.3,101.59114036993
Washington,5,0.35,101.591140370043
Washington,5,0.4,116.069429871162
Washington,5,0.45,116.069429871191
Washington,5,0.5,116.06942987125
Washington,5,0.55,116.069429871315
Washington,5,0.6,131.600018678657
Washington,5,0.65,147.266612858311
Washington,5,0.7,147.266612858371
Washington,5,0.75,147.266612858682
Washington,5,0.8,158.685480980636
Washington,5,0.85,170.104349102507
Washington,5,0.9,170.104349102578
Washington,5,0.95,170.10434910314
Washington,5,0.975,170.104349103244
Washington,5,0.99,170.565253663486
Washington,6,point,65.2685448995811
Washington,6,0.01,11.5939087164275
Washington,6,0.025,41.8723219561907
Washington,6,0.05,41.8723219562016
Washington,6,0.1,41.8723219563271
Washington,6,0.15,41.872321956399
Washington,6,0.2,47.9436090034787
Washington,6,0.25,54.0148960505649
Washington,6,0.3,54.014896050574
Washington,6,0.35,54.014896050634
Washington,6,0.4,61.7128439183853
Washington,6,0.45,61.7128439183998
Washington,6,0.5,61.7128439184326
Washington,6,0.55,61.7128439184671
Washington,6,0.6,74.1115763126134
Washington,6,0.65,78.3000442390585
Washington,6,0.7,78.3000442390912
Washington,6,0.75,78.3000442392554
Washington,6,0.8,84.371331286301
Washington,6,0.85,90.4426183333035
Washington,6,0.9,90.4426183333417
Washington,6,0.95,90.4426183336382
Washington,6,0.975,90.4426183336957
Washington,6,0.99,105.316160356213
Washington,7,point,0
Washington,7,0.01,0
Washington,7,0.025,0
Washington,7,0.05,0
Washington,7,0.1,0
Washington,7,0.15,0
Washington,7,0.2,0
Washington,7,0.25,0
Washington,7,0.3,0
Washington,7,0.35,0
Washington,7,0.4,0
Washington,7,0.45,0
Washington,7,0.5,0
Washington,7,0.55,0
Washington,7,0.6,0
Washington,7,0.65,0
Washington,7,0.7,0
Washington,7,0.75,0
Washington,7,0.8,0
Washington,7,0.85,0
Washington,7,0.9,0
Washington,7,0.95,0
Washington,7,0.975,8.30731712731758
Washington,7,0.99,34.51925074925
Illinois,1,point,86.0556436851353
Illinois,1,0.01,68.2659613548346
Illinois,1,0.025,70.8200382227778
Illinois,1,0.05,70.8200382227878
Illinois,1,0.1,70.8200382228242
Illinois,1,0.15,74.1160308407925
Illinois,1,0.2,74.1160308408143
Illinois,1,0.25,77.133330766068
Illinois,1,0.3,77.1333307858004
Illinois,1,0.35,77.1333307858004
Illinois,1,0.4,80.7080160767873
Illinois,1,0.45,80.7080160768091
Illinois,1,0.5,84.0040086947702
Illinois,1,0.55,84.0040086948084
Illinois,1,0.6,85.2920287445413
Illinois,1,0.65,88.1037405484967
Illinois,1,0.7,91.2238513363991
Illinois,1,0.75,93.721488689167
Illinois,1,0.8,96.6684516830283
Illinois,1,0.85,100.125484204123
Illinois,1,0.9,105.176403480893
Illinois,1,0.95,115.265040336526
Illinois,1,0.975,121.969801313797
Illinois,1,0.99,122.178532749553
Illinois,2,point,99.5131463159507
Illinois,2,0.01,80.8895660916943
Illinois,2,0.025,81.8949754422865
Illinois,2,0.05,81.8949754422938
Illinois,2,0.1,81.8949754423593
Illinois,2,0.15,85.7064000232931
Illinois,2,0.2,85.7064000233368
Illinois,2,0.25,89.1955494836293
Illinois,2,0.3,89.195549556156
Illinois,2,0.35,89.1955495561797
Illinois,2,0.4,93.3292491852771
Illinois,2,0.45,93.3292491853063
Illinois,2,0.5,97.1406737662473
Illinois,2,0.55,97.1406737662892
Illinois,2,0.6,98.6301162036216
Illinois,2,0.65,101.881527455502
Illinois,2,0.7,105.489565558339
Illinois,2,0.75,108.37778695445
Illinois,2,0.8,111.785600167605
Illinois,2,0.85,115.783248298307
Illinois,2,0.9,118.633906111708
Illinois,2,0.95,133.290349519746
Illinois,2,0.975,141.043610452078
Illinois,2,0.99,141.284983603429
Illinois,3,point,113.94866513102
Illinois,3,0.01,93.7747772853036
Illinois,3,0.025,93.7747772853108
Illinois,3,0.05,93.7747772853309
Illinois,3,0.1,94.7837106410602
Illinois,3,0.15,98.1390925475662
Illinois,3,0.2,100.140853498212
Illinois,3,0.25,102.134382975732
Illinois,3,0.3,102.134383083896
Illinois,3,0.35,102.134383083932
Illinois,3,0.4,106.867723072002
Illinois,3,0.45,106.867723072039
Illinois,3,0.5,111.232038334208
Illinois,3,0.55,111.232038334241
Illinois,3,0.6,112.937541414074
Illinois,3,0.65,116.660607015627
Illinois,3,0.7,120.792032267331
Illinois,3,0.75,124.099223175057
Illinois,3,0.8,128.00137862924
Illinois,3,0.85,132.578931294702
Illinois,3,0.9,134.869717543887
Illinois,3,0.95,152.62563756801
Illinois,3,0.975,161.503597580071
Illinois,3,0.99,161.779984664703
Illinois,4,point,69.1457439428784
Illinois,4,0.01,51.8557894529218
Illinois,4,0.025,56.9039288822678
Illinois,4,0.05,56.9039288822678
Illinois,4,0.1,56.9039288823042
Illinois,4,0.15,59.5522602619094
Illinois,4,0.2,59.5522602619094
Illinois,4,0.25,61.9766619520597
Illinois,4,0.3,61.976662120418
Illinois,4,0.35,61.976662120418
Illinois,4,0.4,64.8489230211198
Illinois,4,0.45,64.8489230211562
Illinois,4,0.5,67.4972544007323
Illinois,4,0.55,67.497254400776
Illinois,4,0.6,68.5321790230773
Illinois,4,0.65,70.791390575956
Illinois,4,0.7,73.2984008351486
Illinois,4,0.75,75.3052534415983
Illinois,4,0.8,77.6731393793889
Illinois,4,0.85,80.4508663851811
Illinois,4,0.9,86.5685066155784
Illinois,4,0.95,92.6155057596625
Illinois,4,0.975,98.002783871867
Illinois,4,0.99,98.1704996635453
Illinois,5,point,4.16518930621721e-08
Illinois,5,0.01,0
Illinois,5,0.025,0
Illinois,5,0.05,0
Illinois,5,0.1,0
Illinois,5,0.15,0
Illinois,5,0.2,0
Illinois,5,0.25,0
Illinois,5,0.3,7.27595761418343e-12
Illinois,5,0.35,2.18278728425503e-11
Illinois,5,0.4,2.91038304567337e-11
Illinois,5,0.45,5.0931703299284e-11
Illinois,5,0.5,5.0931703299284e-11
Illinois,5,0.55,5.82076609134674e-11
Illinois,5,0.6,5.82076609134674e-11
Illinois,5,0.65,8.00355337560177e-11
Illinois,5,0.7,8.73114913702011e-11
Illinois,5,0.75,8.73114913702011e-11
Illinois,5,0.8,9.45874489843845e-11
Illinois,5,0.85,9.45874489843845e-11
Illinois,5,0.9,1.16415321826935e-10
Illinois,5,0.95,5.61740307603031e-07
Illinois,5,0.975,5.61740307603031e-07
Illinois,5,0.99,20.2814741231256
Illinois,6,point,2.51825204705475e-08
Illinois,6,0.01,0
Illinois,6,0.025,0
Illinois,6,0.05,0
Illinois,6,0.1,0
Illinois,6,0.15,0
Illinois,6,0.2,0
Illinois,6,0.25,0
Illinois,6,0.3,0
Illinois,6,0.35,2.18278728425503e-11
Illinois,6,0.4,2.91038304567337e-11
Illinois,6,0.45,5.0931703299284e-11
Illinois,6,0.5,5.0931703299284e-11
Illinois,6,0.55,5.82076609134674e-11
Illinois,6,0.6,6.18456397205589e-11
Illinois,6,0.65,8.00355337560177e-11
Illinois,6,0.7,8.73114913702011e-11
Illinois,6,0.75,8.73114913702011e-11
Illinois,6,0.8,9.45874489843845e-11
Illinois,6,0.85,9.45874489843845e-11
Illinois,6,0.9,1.16415321826935e-10
Illinois,6,0.95,3.39408870786428e-07
Illinois,6,0.975,3.39408870786428e-07
Illinois,6,0.99,20.2814741066563
Illinois,7,point,4.40869135437188e-11
Illinois,7,0.01,0
Illinois,7,0.025,0
Illinois,7,0.05,0
Illinois,7,0.1,0
Illinois,7,0.15,0
Illinois,7,0.2,0
Illinois,7,0.25,0
Illinois,7,0.3,0
Illinois,7,0.35,1.45519152283669e-11
Illinois,7,0.4,2.18278728425503e-11
Illinois,7,0.45,4.36557456851006e-11
Illinois,7,0.5,4.36557456851006e-11
Illinois,7,0.55,5.0931703299284e-11
Illinois,7,0.6,5.0931703299284e-11
Illinois,7,0.65,5.82076609134674e-11
Illinois,7,0.7,8.00355337560177e-11
Illinois,7,0.75,8.00355337560177e-11
Illinois,7,0.8,8.73114913702011e-11
Illinois,7,0.85,8.73114913702011e-11
Illinois,7,0.9,9.45874489843845e-11
Illinois,7,0.95,1.03682396002114e-10
Illinois,7,0.975,1.16415321826935e-10
Illinois,7,0.99,20.2814740815178
California,1,point,261.252086491127
California,1,0.01,239.647933421986
California,1,0.025,252.561402655192
California,1,0.05,252.561402655501
California,1,0.1,252.561402656123
California,1,0.15,252.561402656182
California,1,0.2,252.561402656735
California,1,0.25,256.921118525366
California,1,0.3,256.921118525715
California,1,0.35,256.921118525999
California,1,0.4,259.029106699934
California,1,0.45,261.137094873993
California,1,0.5,261.137094874168
California,1,0.55,261.13709487459
California,1,0.6,263.562098986024
California,1,0.65,265.640550264827
California,1,0.7,265.640550265045
California,1,0.75,265.640550265467
California,1,0.8,270.000266133778
California,1,0.85,270.000266134521
California,1,0.9,270.000266134768
California,1,0.95,270.000266135215
California,1,0.975,270.000266135481
California,1,0.99,284.971272721555
California,2,point,351.919636499996
California,2,0.01,330.315483430856
California,2,0.025,340.212850392738
California,2,0.05,340.212850393375
California,2,0.1,340.212850394295
California,2,0.15,340.212850394892
California,2,0.2,340.212850395794
California,2,0.25,346.085605879533
California,2,0.3,346.085605880085
California,2,0.35,346.085605880959
California,2,0.4,348.925171458228
California,2,0.45,351.764737036046
California,2,0.5,351.764737036443
California,2,0.55,351.764737037447
California,2,0.6,354.991157283362
California,2,0.65,357.831116851215
California,2,0.7,357.831116851637
California,2,0.75,357.831116852598
California,2,0.8,363.491489127551
California,2,0.85,363.703872336788
California,2,0.9,363.70387233737
California,2,0.95,363.703872338374
California,2,0.975,363.703872338585
California,2,0.99,375.787490977186
California,3,point,428.963312672433
California,3,0.01,407.359159603292
California,3,0.025,414.693629402173
California,3,0.05,414.693629403166
California,3,0.1,414.693629404414
California,3,0.15,414.693629405374
California,3,0.2,414.693629406509
California,3,0.25,421.852072372887
California,3,0.3,421.852072373775
California,3,0.35,421.852072375157
California,3,0.4,425.313287181409
California,3,0.45,428.774501988588
California,3,0.5,428.774501989174
California,3,0.55,428.774501990672
California,3,0.6,432.681916099719
California,3,0.65,436.168958312031
California,3,0.7,436.168958312643
California,3,0.75,436.16895831404
California,3,0.8,441.82509168573
California,3,0.85,443.327401281189
California,3,0.9,443.327401281902
California,3,0.95,443.327401283444
California,3,0.975,443.32740128369
California,3,0.99,453.734115620075
California,4,point,242.819070415735
California,4,0.01,221.214917346594
California,4,0.025,234.741570256272
California,4,0.05,234.741570256516
California,4,0.1,234.741570257029
California,4,0.15,234.741570257087
California,4,0.2,234.741570257524
California,4,0.25,238.793680113347
California,4,0.3,238.793680113653
California,4,0.35,238.79368011382
California,4,0.4,240.752936155543
California,4,0.45,242.712192197301
California,4,0.5,242.712192197432
California,4,0.55,242.712192197723
California,4,0.6,244.97426572938
California,4,0.65,246.897899826829
California,4,0.7,246.897899827018
California,4,0.75,246.897899827309
California,4,0.8,250.950009682914
California,4,0.85,250.950009683555
California,4,0.9,250.950009683685
California,4,0.95,250.950009684078
California,4,0.975,250.950009684311
California,4,0.99,266.538256646163
California,5,point,1.21707907291474e-09
California,5,0.01,0
California,5,0.025,1.45519152283669e-11
California,5,0.05,1.45519152283669e-11
California,5,0.1,1.45519152283669e-11
California,5,0.15,2.91038304567337e-11
California,5,0.2,2.91038304567337e-11
California,5,0.25,4.36557456851006e-11
California,5,0.3,4.36557456851006e-11
California,5,0.35,1.04773789644241e-09
California,5,0.4,1.08411768451333e-09
California,5,0.45,1.25146470963955e-09
California,5,0.5,1.29512045532465e-09
California,5,0.55,1.41153577715158e-09
California,5,0.6,1.45519152283669e-09
California,5,0.65,1.52795109897852e-09
California,5,0.7,1.74622982740402e-09
California,5,0.75,1.81898940354586e-09
California,5,0.8,2.3719621822238e-09
California,5,0.85,2.47382558882236e-09
California,5,0.9,2.82307155430317e-09
California,5,0.95,2.96859070658684e-09
California,5,0.975,0.231561217777737
California,5,0.99,23.7191862316454
California,6,point,1.21729465684405e-09
California,6,0.01,0
California,6,0.025,1.45519152283669e-11
California,6,0.05,1.45519152283669e-11
California,6,0.1,2.91038304567337e-11
California,6,0.15,2.91038304567337e-11
California,6,0.2,2.91038304567337e-11
California,6,0.25,2.91038304567337e-11
California,6,0.3,4.36557456851006e-11
California,6,0.35,1.03318598121405e-09
California,6,0.4,1.08411768451333e-09
California,6,0.45,1.25146470963955e-09
California,6,0.5,1.29512045532465e-09
California,6,0.55,1.41153577715158e-09
California,6,0.6,1.46974343806505e-09
California,6,0.65,1.51339918375015e-09
California,6,0.7,1.76078174263239e-09
California,6,0.75,1.81898940354586e-09
California,6,0.8,2.37923813983798e-09
California,6,0.85,2.47382558882236e-09
California,6,0.9,2.83762346953154e-09
California,6,0.95,2.96859070658684e-09
California,6,0.975,0.231561217777953
California,6,0.99,23.7191862316456
California,7,point,1.21707907291474e-09
California,7,0.01,0
California,7,0.025,1.45519152283669e-11
California,7,0.05,1.45519152283669e-11
California,7,0.1,1.45519152283669e-11
California,7,0.15,2.91038304567337e-11
California,7,0.2,2.91038304567337e-11
California,7,0.25,4.36557456851006e-11
California,7,0.3,4.36557456851006e-11
California,7,0.35,1.03682396002114e-09
California,7,0.4,1.08411768451333e-09
California,7,0.45,1.25146470963955e-09
California,7,0.5,1.29512045532465e-09
California,7,0.55,1.41153577715158e-09
California,7,0.6,1.46974343806505e-09
California,7,0.65,1.51339918375015e-09
California,7,0.7,1.76078174263239e-09
California,7,0.75,1.81898940354586e-09
California,7,0.8,2.37923813983798e-09
California,7,0.85,2.48473952524364e-09
California,7,0.9,2.83762346953154e-09
California,7,0.95,2.96859070658684e-09
California,7,0.975,0.231561217777737
California,7,0.99,23.7191862316454
Arizona,1,point,84.8587244643022
Arizona,1,0.01,72.782785958364
Arizona,1,0.025,84.8587244643022
Arizona,1,0.05,84.8587244643022
Arizona,1,0.1,84.8587244643022
Arizona,1,0.15,84.8587244643022
Arizona,1,0.2,84.8587244643022
Arizona,1,0.25,84.8587244643022
Arizona,1,0.3,84.8587244643022
Arizona,1,0.35,84.8587244643022
Arizona,1,0.4,84.8587244643022
Arizona,1,0.45,84.8587244643022
Arizona,1,0.5,84.8587244643022
Arizona,1,0.55,84.8587244643022
Arizona,1,0.6,84.8587244643022
Arizona,1,0.65,84.8587244643022
Arizona,1,0.7,84.8587244643022
Arizona,1,0.75,84.8587244643022
Arizona,1,0.8,84.8587244643022
Arizona,1,0.85,84.8587244643022
Arizona,1,0.9,84.8587244643022
Arizona,1,0.95,84.8587244643022
Arizona,1,0.975,88.8077859583602
Arizona,1,0.99,94.686214058044
Arizona,2,point,115.069005614823
Arizona,2,0.01,102.993067108885
Arizona,2,0.025,115.069005614823
Arizona,2,0.05,115.069005614823
Arizona,2,0.1,115.069005614823
Arizona,2,0.15,115.069005614823
Arizona,2,0.2,115.069005614823
Arizona,2,0.25,115.069005614823
Arizona,2,0.3,115.069005614823
Arizona,2,0.35,115.069005614823
Arizona,2,0.4,115.069005614823
Arizona,2,0.45,115.069005614823
Arizona,2,0.5,115.069005614823
Arizona,2,0.55,115.069005614823
Arizona,2,0.6,115.069005614823
Arizona,2,0.65,115.069005614823
Arizona,2,0.7,115.069005614823
Arizona,2,0.75,115.069005614823
Arizona,2,0.8,115.069005614823
Arizona,2,0.85,115.069005614823
Arizona,2,0.9,115.069005614823
Arizona,2,0.95,115.069005614823
Arizona,2,0.975,119.018067108881
Arizona,2,0.99,124.896495208565
Arizona,3,point,139.956266375648
Arizona,3,0.01,127.88032786971
Arizona,3,0.025,139.956266375648
Arizona,3,0.05,139.956266375648
Arizona,3,0.1,139.956266375648
Arizona,3,0.15,139.956266375648
Arizona,3,0.2,139.956266375648
Arizona,3,0.25,139.956266375648
Arizona,3,0.3,139.956266375648
Arizona,3,0.35,139.956266375648
Arizona,3,0.4,139.956266375648
Arizona,3,0.45,139.956266375648
Arizona,3,0.5,139.956266375648
Arizona,3,0.55,139.956266375648
Arizona,3,0.6,139.956266375648
Arizona,3,0.65,139.956266375648
Arizona,3,0.7,139.956266375648
Arizona,3,0.75,139.956266375648
Arizona,3,0.8,139.956266375648
Arizona,3,0.85,139.956266375648
Arizona,3,0.9,139.956266375648
Arizona,3,0.95,139.956266375648
Arizona,3,0.975,143.905327869706
Arizona,3,0.99,149.78375596939
Arizona,4,point,165.336126849154
Arizona,4,0.01,153.260188343216
Arizona,4,0.025,165.336126849154
Arizona,4,0.05,165.336126849154
Arizona,4,0.1,165.336126849154
Arizona,4,0.15,165.336126849154
Arizona,4,0.2,165.336126849154
Arizona,4,0.25,165.336126849154
Arizona,4,0.3,165.336126849154
Arizona,4,0.35,165.336126849154
Arizona,4,0.4,165.336126849154
Arizona,4,0.45,165.336126849154
Arizona,4,0.5,165.336126849154
Arizona,4,0.55,165.336126849154
Arizona,4,0.6,165.336126849154
Arizona,4,0.65,165.336126849154
Arizona,4,0.7,165.336126849154
Arizona,4,0.75,165.336126849154
Arizona,4,0.8,165.336126849154
Arizona,4,0.85,165.336126849154
Arizona,4,0.9,165.336126849154
Arizona,4,0.95,165.336126849154
Arizona,4,0.975,169.285188343212
Arizona,4,0.99,175.163616442896
Arizona,5,point,140.88832535626
Arizona,5,0.01,128.812386850322
Arizona,5,0.025,140.88832535626
Arizona,5,0.05,140.88832535626
Arizona,5,0.1,140.88832535626
Arizona,5,0.15,140.88832535626
Arizona,5,0.2,140.88832535626
Arizona,5,0.25,140.88832535626
Arizona,5,0.3,140.88832535626
Arizona,5,0.35,140.88832535626
Arizona,5,0.4,140.88832535626
Arizona,5,0.45,140.88832535626
Arizona,5,0.5,140.88832535626
Arizona,5,0.55,140.88832535626
Arizona,5,0.6,140.88832535626
Arizona,5,0.65,140.88832535626
Arizona,5,0.7,140.88832535626
Arizona,5,0.75,140.88832535626
Arizona,5,0.8,140.88832535626
Arizona,5,0.85,140.88832535626
Arizona,5,0.9,140.888325356264
Arizona,5,0.95,140.888325356264
Arizona,5,0.975,144.837386850318
Arizona,5,0.99,150.715814950002
Arizona,6,point,103.075190305929
Arizona,6,0.01,90.9992517999903
Arizona,6,0.025,103.075190305928
Arizona,6,0.05,103.075190305928
Arizona,6,0.1,103.075190305928
Arizona,6,0.15,103.075190305928
Arizona,6,0.2,103.075190305928
Arizona,6,0.25,103.075190305928
Arizona,6,0.3,103.075190305928
Arizona,6,0.35,103.075190305928
Arizona,6,0.4,103.075190305928
Arizona,6,0.45,103.075190305928
Arizona,6,0.5,103.075190305928
Arizona,6,0.55,103.075190305928
Arizona,6,0.6,103.075190305928
Arizona,6,0.65,103.075190305928
Arizona,6,0.7,103.075190305928
Arizona,6,0.75,103.075190305928
Arizona,6,0.8,103.075190305928
Arizona,6,0.85,103.075190305928
Arizona,6,0.9,103.075190305932
Arizona,6,0.95,103.075190305932
Arizona,6,0.975,107.024251799986
Arizona,6,0.99,112.90267989967
Arizona,7,point,58.7344690680362
Arizona,7,0.01,46.6585305620979
Arizona,7,0.025,58.7344690680329
Arizona,7,0.05,58.7344690680329
Arizona,7,0.1,58.7344690680329
Arizona,7,0.15,58.7344690680366
Arizona,7,0.2,58.7344690680366
Arizona,7,0.25,58.7344690680366
Arizona,7,0.3,58.7344690680366
Arizona,7,0.35,58.7344690680366
Arizona,7,0.4,58.7344690680366
Arizona,7,0.45,58.7344690680366
Arizona,7,0.5,58.7344690680366
Arizona,7,0.55,58.7344690680366
Arizona,7,0.6,58.7344690680366
Arizona,7,0.65,58.7344690680366
Arizona,7,0.7,58.7344690680366
Arizona,7,0.75,58.7344690680366
Arizona,7,0.8,58.7344690680366
Arizona,7,0.85,58.7344690680366
Arizona,7,0.9,58.7344690680366
Arizona,7,0.95,58.7344690680366
Arizona,7,0.975,62.6835305620941
Arizona,7,0.99,68.5619586617779
Massachusetts,1,point,86.3771677631779
Massachusetts,1,0.01,36.1568938043274
Massachusetts,1,0.025,36.1568938044402
Massachusetts,1,0.05,36.1568938046839
Massachusetts,1,0.1,36.1568938070086
Massachusetts,1,0.15,36.1568938078453
Massachusetts,1,0.2,62.746119620555
Massachusetts,1,0.25,62.7461196209988
Massachusetts,1,0.3,62.7461196212098
Massachusetts,1,0.35,62.7461196218037
Massachusetts,1,0.4,74.5444570679265
Massachusetts,1,0.45,74.5444570679792
Massachusetts,1,0.5,74.5444570680775
Massachusetts,1,0.55,74.5444570681757
Massachusetts,1,0.6,85.961319722329
Massachusetts,1,0.65,115.924571248109
Massachusetts,1,0.7,115.924571249587
Massachusetts,1,0.75,115.924571252457
