id,Country,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22
0,"Washington",1894796,1895477,1896153,1896824,1897488,1898146,1898797,1899440,1900091,1900736,1901374,1902005,1902630,1903248,1903860,1904478,1905089,1905694,1906292,1906884,1907470,1908047,1908630,1909206,1909775,1910337,1910892,1911441,1911983,1912531,1913073,1913607,1914136,1914658,1915173,1915683,1916198,1916706,1917208,1917704,1918195,1918679,1919157,1919643,1920122,1920597,1921066,1921530,1921989,1922443,1922902,1923355,1923804,1924247,1924686,1925120,1925550,1925982,1926410,1926833,1927252,1927665,1928075,1928479,1928886,1929287,1929684,1930076,1930463,1930846,1931225,1931603,1931976,1932344,1932708,1933067,1933421,1933770,1934118,1934462,1934801,1935135,1935464,1935788,1936107,1936429,1936747,1937060,1937369,1937674,1937974,1938271,1938571,1938867,1939159,1939448,1939733,1940015,1940294,1940576,1940854
1,"Illinois",3981275,3982348,3983398,3984429,3985443,3986442,3987431,3988413,3989445,3990461,3991462,3992448,3993421,3994380,3995326,3996306,3997269,3998216,3999147,4000060,4000957,4001838,4002746,4003637,4004509,4005363,4006200,4007019,4007820,4008646,4009453,4010243,4011015,4011769,4012507,4013229,4013971,4014697,4015407,4016100,4016778,4017441,4018089,4018756,4019409,4020047,4020671,4021282,4021880,4022466,4023069,4023660,4024238,4024805,4025361,4025906,4026441,4026992,4027532,4028062,4028583,4029095,4029598,4030092,4030600,4031099,4031590,4032074,4032549,4033018,4033480,4033951,4034414,4034871,4035321,4035764,4036201,4036631,4037065,4037493,4037913,4038327,4038734,4039134,4039528,4039920,4040305,4040682,4041053,4041415,4041771,4042120,4042464,4042800,4043129,4043450,4043763,4044069,4044368,4044673,4044972
2,"California",11910247,11916154,11922005,11927769,11933450,11939047,11944557,11949976,11955447,11960834,11966138,11971360,11976498,11981556,11986534,11991567,11996524,12001405,12006213,12010949,12015616,12020215,12024852,12029422,12033924,12038361,12042734,12047046,12051298,12055582,12059805,12063970,12068076,12072127,12076123,12080065,12084036,12087954,12091820,12095635,12099400,12103118,12106788,12110484,12114134,12117737,12121296,12124812,12128286,12131718,12135188,12138618,12142010,12145365,12148684,12151970,12155222,12158499,12161742,12164953,12168131,12171278,12174395,12177482,12180588,12183664,12186710,12189727,12192716,12195678,12198612,12201556,12204472,12207360,12210221,12213055,12215862,12218642,12221421,12224171,12226894,12229589,12232256,12234896,12237508,12240115,12242693,12245244,12247760,12250244,12252699,12255126,12257566,12259980,12262369,12264733,12267073,12269389,12271683,12274007,12276312
3,"Arizona",2391895,2392707,2393517,2394324,2395125,2395921,2396709,2397489,2398261,2399028,2399788,2400541,2401288,2402028,2402761,2403490,2404212,2404928,2405638,2406342,2407039,2407731,2408418,2409100,2409776,2410446,2411110,2411769,2412423,2413073,2413717,2414357,2414991,2415620,2416244,2416863,2417479,2418089,2418695,2419297,2419893,2420485,2421072,2421657,2422236,2422811,2423382,2423948,2424511,2425068,2425623,2426174,2426720,2427263,2427801,2428335,2428866,2429393,2429916,2430435,2430951,2431462,2431970,2432474,2432974,2433471,2433964,2434453,2434938,2435420,2435897,2436371,2436841,2437307,2437769,2438227,2438682,2439133,2439578,2440019,2440456,2440889,2441318,2441742,2442163,2442578,2442989,2443396,2443798,2444196,2444590,2444980,2445366,2445749,2446127,2446501,2446871,2447237,2447599,2447959,2448314
4,"Massachusetts",2178027,2179909,2181816,2183750,2185713,2187709,2189741,2191814,2194012,2196234,2198480,2200745,2203021,2205303,2207591,2210025,2212462,2214899,2217331,2219753,2222162,2224555,2227084,2229589,2232068,2234515,2236929,2239305,2241641,2244102,2246517,2248883,2251199,2253464,2255675,2257833,2260098,2262303,2264449,2266537,2268565,2270536,2272450,2274448,2276386,2278263,2280082,2281843,2283550,2285204,2286877,2288490,2290043,2291539,2292979,2294365,2295697,2297034,2298317,2299546,2300725,2301855,2302938,2303976,2305008,2305995,2306938,2307841,2308703,2309529,2310318,2311089,2311824,2312525,2313194,2313831,2314439,2315018,2315569,2316091,2316587,2317057,2317502,2317924,2318324,2318699,2319052,2319386,2319701,2319997,2320277,2320539,2320801,2321049,2321284,2321507,2321719,2321920,2322112,2322316,2322512
5,"Wisconsin",1971838,1972573,1973313,1974057,1974805,1975558,1976317,1977081,1977856,1978637,1979423,1980216,1981016,1981822,1982634,1983457,1984287,1985124,1985968,1986820,1987680,1988547,1989425,1990311,1991205,1992108,1993019,1993938,1994866,1995806,1996755,1997713,1998680,1999656,2000642,2001638,2002647,2003666,2004694,2005733,2006782,2007842,2008911,2009996,2011091,2012197,2013313,2014441,2015579,2016729,2017896,2019008,2020052,2021102,2022158,2023220,2024289,2025369,2026456,2027550,2028652,2029760,2030876,2031999,2033134,2034276,2035426,2036584,2037750,2038924,2040106,2041300,2042502,2043712,2044931,2046158,2047393,2048637,2049893,2051158,2052431,2053711,2054991,2056278,2057574,2058884,2060203,2061531,2062867,2064211,2065563,2066924,2068302,2069688,2071083,2072487,2073900,2075321,2076751,2078199,2079656
6,"Texas",8300824,8305834,8310824,8315794,8320742,8325668,8330568,8335442,8340436,8345406,8350351,8355270,8360164,8365033,8369875,8374817,8379730,8384614,8389468,8394281,8399030,8403749,8408543,8413306,8418040,8422745,8427420,8432067,8436684,8441372,8446030,8450658,8455258,8459829,8464371,8468885,8473465,8478016,8482539,8487034,8491500,8495938,8500349,8504774,8509105,8513391,8517633,8521829,8525981,8530089,8534279,8538427,8542531,8546594,8550616,8554597,8558539,8562532,8566482,8570389,8574253,8578074,8581852,8585588,8589353,8593072,8596745,8600372,8603953,8607488,8610976,8614466,8617905,8621293,8624630,8627917,8631152,8634336,8637510,8640632,8643700,8646714,8649676,8652584,8655440,8658328,8661167,8663960,8666707,8669410,8672069,8674688,8677342,8679957,8682533,8685073,8687577,8690048,8692486,8694950,8697381
7,"Nebraska",558003,558152,558300,558447,558592,558736,558880,559022,559164,559305,559446,559585,559723,559860,559996,560132,560267,560401,560534,560667,560798,560928,561059,561188,561317,561444,561571,561697,561822,561947,562072,562195,562318,562440,562561,562682,562802,562922,563041,563159,563277,563394,563510,563626,563741,563856,563970,564084,564196,564308,564421,564532,564643,564754,564863,564972,565080,565188,565295,565402,565508,565613,565718,565822,565926,566029,566132,566234,566336,566436,566537,566637,566737,566836,566934,567032,567129,567226,567322,567418,567513,567607,567701,567794,567887,567978,568069,568160,568250,568339,568427,568515,568601,568688,568773,568858,568942,569025,569107,569189,569270
8,"Utah",1079001,1079271,1079538,1079804,1080068,1080328,1080586,1080841,1081095,1081347,1081596,1081843,1082087,1082329,1082568,1082806,1083042,1083276,1083508,1083737,1083964,1084188,1084413,1084634,1084854,1085071,1085287,1085500,1085711,1085922,1086131,1086338,1086543,1086747,1086948,1087148,1087347,1087544,1087740,1087933,1088125,1088316,1088504,1088692,1088879,1089064,1089247,1089429,1089609,1089787,1089965,1090142,1090317,1090491,1090663,1090833,1091002,1091171,1091338,1091504,1091669,1091832,1091994,1092154,1092314,1092473,1092630,1092787,1092942,1093095,1093248,1093400,1093551,1093700,1093848,1093995,1094141,1094285,1094429,1094571,1094712,1094851,1094990,1095127,1095262,1095396,1095528,1095659,1095789,1095917,1096044,1096169,1096292,1096414,1096534,1096653,1096771,1096887,1097001,1097115,1097228
9,"Oregon",944622,944890,945156,945421,945683,945944,946203,946459,946717,946973,947226,947479,947729,947977,948224,948471,948717,948961,949204,949445,949684,949922,950161,950398,950633,950867,951100,951331,951561,951792,952021,952248,952475,952700,952924,953146,953369,953591,953812,954031,954250,954467,954683,954899,955115,955329,955542,955754,955965,956175,956385,956595,956804,957012,957219,957425,957630,957836,958041,958244,958447,958649,958850,959050,959251,959450,959649,959846,960043,960238,960433,960627,960820,961012,961203,961393,961582,961770,961932,962076,962217,962358,962496,962633,962768,962902,963034,963165,963294,963422,963548,963672,963797,963920,964042,964162,964281,964399,964516,964633,964749
