,State,165,171,178,185,192,199,206,213,220
0,Washington,1359,28,48,52,57,60,65,66,70
1,Illinois,7020,106,91,70,56,47,41,37,34
2,California,6373,485,564,636,715,795,885,992,1078
3,Arizona,1825,430,488,535,551,563,576,609,624
4,Massachusetts,8183,0,57,40,29,22,17,14,10
5,Wisconsin,796,47,33,35,36,41,43,47,53
6,Texas,2641,380,566,687,795,885,965,1047,1128
7,Nebraska,284,7,14,12,12,11,11,11,11
8,Utah,184,68,47,51,56,59,60,62,63
9,Oregon,215,5,22,24,28,32,34,37,38
10,Florida,3731,982,1088,1350,1567,1801,1887,2052,2347
11,New York,32206,-58,93,77,68,62,62,61,61
12,Rhode Island,960,26,20,16,14,11,10,9,8
13,Georgia,2860,268,249,268,281,287,306,322,353
14,New Hampshire,381,18,14,11,10,8,6,3,2
15,North Carolina,1423,181,141,146,146,143,143,140,136
16,New Jersey,15211,-1911,67,52,40,33,27,26,22
17,Colorado,1701,64,30,26,26,24,24,24,23
18,Maryland,3243,60,49,38,31,27,24,21,21
19,Nevada,534,37,60,82,102,117,145,176,220
20,Tennessee,645,46,95,109,119,130,138,144,153
21,Hawaii,19,0,1,2,2,2,3,2,3
22,Indiana,2693,57,50,44,41,41,40,41,44
23,Kentucky,585,15,22,21,20,20,19,19,18
24,Minnesota,1508,112,43,37,32,31,29,29,29
25,Oklahoma,398,31,40,48,56,63,71,77,85
26,Pennsylvania,6753,192,128,112,101,94,88,82,79
27,South Carolina,820,135,159,178,195,206,218,230,241
28,District of Columbia,559,8,6,4,4,2,2,2,2
29,Kansas,284,17,22,26,30,34,37,40,45
30,Missouri,1051,66,62,64,65,65,65,67,69
31,Vermont,56,1,1,0,1,0,0,0,0
32,Virginia,1853,24,52,44,39,34,32,29,26
33,Connecticut,4335,54,23,15,11,7,5,3,2
34,Iowa,721,76,38,38,40,41,43,45,46
35,Louisiana,3288,63,94,98,109,115,127,136,144
36,Ohio,2911,163,130,128,125,123,123,127,133
37,Michigan,6218,32,35,32,31,31,32,36,40
38,South Dakota,97,-2,6,5,6,5,7,6,8
39,Arkansas,287,20,54,60,63,65,66,66,65
40,Delaware,512,14,16,15,14,14,14,16,16
41,Mississippi,1111,116,104,107,110,109,107,107,105
42,New Mexico,513,49,32,31,29,28,26,25,25
43,North Dakota,80,3,3,3,3,3,3,3,4
44,Wyoming,20,3,3,4,4,6,6,7,8
45,Alaska,16,0,2,2,3,3,3,4,3
46,Maine,109,2,3,2,3,2,3,2,2
47,Alabama,1007,79,94,101,108,114,121,129,134
48,Idaho,93,19,21,28,35,41,48,58,68
49,Montana,23,0,3,5,5,7,8,10,12
50,Puerto Rico,155,18,9,9,10,9,10,12,12
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,94,3,4,4,6,6,7,8,8
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
