,State,221,227,234,241,248,255,262,269,276,283,290,297,304,311,318,325,332,339,346,353,360
0,Washington,1905,47,40,34,29,24,20,17,15,12,10,8,7,6,5,4,3,2,2,2,2
1,Illinois,8228,262,247,236,226,216,207,199,190,181,174,167,160,153,146,139,133,127,121,85,81
2,California,12937,824,771,721,674,629,589,550,512,477,445,414,385,358,333,310,289,269,250,237,221
3,Arizona,5030,102,97,88,80,71,64,57,51,46,41,37,33,30,26,24,21,19,17,25,22
4,Massachusetts,9049,45,39,34,30,27,23,21,18,16,14,13,11,10,9,8,7,6,5,13,11
5,Wisconsin,1122,59,60,61,63,64,66,68,69,71,73,74,76,78,79,81,82,84,85,75,76
6,Texas,12683,622,592,547,505,467,431,399,367,338,311,285,262,241,221,202,186,170,156,218,200
7,Nebraska,392,31,30,30,31,31,31,32,32,32,33,33,33,33,34,34,34,34,34,23,24
8,Utah,407,26,26,26,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,31,31
9,Oregon,458,21,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,18,17
10,Florida,11119,479,461,422,385,348,315,285,260,237,216,197,180,164,149,136,123,112,102,80,73
11,New York,32909,60,41,29,19,13,8,5,3,2,1,0,0,0,0,0,0,0,0,0,0
12,Rhode Island,1046,12,10,9,8,7,6,5,5,4,4,3,3,2,2,2,1,1,1,1,1
13,Georgia,5604,294,290,274,259,242,228,216,203,190,178,167,156,146,136,127,118,111,103,105,97
14,New Hampshire,432,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,North Carolina,2692,150,152,151,151,150,149,148,147,145,144,143,141,139,138,136,134,132,130,138,137
16,New Jersey,15937,61,46,36,29,23,18,15,11,9,7,6,4,3,3,2,1,1,1,0,0
17,Colorado,1942,32,31,29,27,26,24,23,22,20,19,18,17,16,15,15,14,13,12,8,7
18,Maryland,3752,52,50,46,43,39,37,34,32,29,27,25,23,21,19,18,16,15,14,11,10
19,Nevada,1302,91,93,90,86,82,78,74,70,66,63,60,56,54,51,48,45,43,40,26,25
20,Tennessee,1747,133,136,133,129,124,120,116,112,108,104,100,97,93,90,87,83,80,77,71,69
21,Hawaii,63,53,56,62,67,73,80,86,94,101,109,117,125,133,141,150,158,165,173,69,73
22,Indiana,3291,150,146,143,140,137,134,131,128,126,123,120,117,115,112,109,107,104,101,58,57
23,Kentucky,929,103,98,95,93,91,89,87,85,83,81,79,77,75,73,71,69,67,65,48,46
24,Minnesota,1865,51,52,53,53,54,55,56,56,57,58,58,59,59,60,60,60,61,61,79,79
25,Oklahoma,799,83,84,83,82,81,80,79,77,76,75,74,72,71,69,68,66,65,64,49,48
26,Pennsylvania,7658,76,74,72,69,67,64,62,60,58,55,53,52,50,48,46,44,42,41,54,52
27,South Carolina,2709,121,129,129,127,124,122,118,115,112,109,106,103,100,97,94,91,88,85,89,87
28,District of Columbia,606,11,10,9,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,1,1
29,Kansas,449,61,57,56,56,56,56,56,56,56,56,55,55,55,55,54,54,54,53,38,38
30,Missouri,1533,180,172,170,168,167,166,165,163,162,161,159,158,156,155,153,151,149,147,79,78
31,Vermont,58,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0
32,Virginia,2569,164,165,161,158,154,151,147,143,140,136,133,129,126,123,119,116,113,110,56,54
33,Connecticut,4465,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,2,2,2,2,2
34,Iowa,1113,67,69,73,78,83,89,94,99,104,109,113,117,120,123,125,126,127,127,289,292
35,Louisiana,4931,88,82,71,62,54,48,42,37,32,28,25,22,19,16,14,12,10,9,8,7
36,Ohio,4129,115,110,105,100,95,90,85,80,76,72,69,65,62,58,55,52,49,47,66,63
37,Michigan,6748,108,102,98,94,90,86,82,79,75,72,69,66,63,60,58,55,53,51,42,40
38,South Dakota,167,18,19,21,23,26,28,31,35,38,42,46,50,54,59,64,68,73,78,76,81
39,Arkansas,784,55,56,55,53,51,49,48,46,44,43,41,39,38,36,35,33,32,31,38,36
40,Delaware,604,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1
41,Mississippi,2441,119,109,100,91,83,75,68,62,56,51,46,41,37,34,30,27,25,22,28,25
42,New Mexico,770,8,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,11,10
43,North Dakota,142,15,15,16,17,19,20,21,23,25,26,28,30,32,34,35,37,39,41,52,54
44,Wyoming,37,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,Alaska,37,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,5
