,State,102,108,115,122,129,136,143,150,157
0,Washington,833,127,99,77,76,53,50,NaN,NaN
1,Illinois,2616,953,900,890,799,714,640,NaN,NaN
2,California,2208,664,573,439,362,271,214,NaN,NaN
3,Arizona,360,122,134,152,165,161,138,NaN,NaN
4,Massachusetts,4004,1042,888,697,553,459,334,NaN,NaN
5,Wisconsin,339,123,139,151,148,150,134,NaN,NaN
6,Texas,865,271,358,652,1337,2789,5377,NaN,NaN
7,Nebraska,79,21,20,36,63,108,194,NaN,NaN
8,Utah,50,37,34,33,34,39,56,NaN,NaN
9,Oregon,109,23,16,15,10,8,5,NaN,NaN
10,Florida,1379,320,262,259,355,577,931,NaN,NaN
11,New York,24528,1574,2006,1474,1125,920,753,NaN,NaN
12,Rhode Island,320,219,96,77,59,59,59,NaN,NaN
13,Georgia,1171,224,244,323,519,696,1069,NaN,NaN
14,New Hampshire,86,49,45,44,37,33,25,NaN,NaN
15,North Carolina,421,130,157,197,230,215,216,NaN,NaN
16,New Jersey,7870,1266,981,735,594,441,361,NaN,NaN
17,Colorado,842,99,102,121,168,233,377,NaN,NaN
18,Maryland,1136,482,382,345,292,272,216,NaN,NaN
19,Nevada,273,33,68,112,161,200,206,NaN,NaN
20,Tennessee,210,82,98,150,265,484,808,NaN,NaN
21,Hawaii,17,2,1,0,0,1,0,NaN,NaN
22,Indiana,1132,223,282,442,721,1107,1697,NaN,NaN
23,Kentucky,253,15,15,12,15,14,20,NaN,NaN
24,Minnesota,417,60,87,148,291,564,938,NaN,NaN
25,Oklahoma,238,14,22,32,58,97,166,NaN,NaN
26,Pennsylvania,2441,592,516,501,467,434,382,NaN,NaN
27,South Carolina,275,47,49,73,126,230,441,NaN,NaN
28,District of Columbia,251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,145,9,23,29,39,61,91,NaN,NaN
30,Missouri,354,72,99,189,328,506,708,NaN,NaN
31,Vermont,52,3,1,1,0,1,0,NaN,NaN
32,Virginia,661,265,242,214,201,166,166,NaN,NaN
33,Connecticut,2495,514,363,257,188,127,85,NaN,NaN
34,Iowa,183,132,178,324,508,746,905,NaN,NaN
35,Louisiana,1964,145,121,121,109,115,117,NaN,NaN
36,Ohio,1038,262,288,359,692,1244,2100,NaN,NaN
37,Michigan,4049,491,458,415,375,361,350,NaN,NaN
38,South Dakota,21,14,12,15,22,39,60,NaN,NaN
39,Arkansas,75,12,9,13,16,24,24,NaN,NaN
40,Delaware,177,78,55,41,35,29,38,NaN,NaN
41,Mississippi,303,26,35,61,117,212,346,NaN,NaN
42,New Mexico,150,16,16,15,16,17,18,NaN,NaN
43,North Dakota,25,-15,0,0,0,0,0,NaN,NaN
44,Wyoming,7,0,0,0,1,2,4,NaN,NaN
45,Alaska,9,6,0,0,0,0,0,NaN,NaN
46,Maine,57,9,11,15,21,33,51,NaN,NaN
47,Alabama,289,47,64,106,204,356,617,NaN,NaN
48,Idaho,63,4,3,7,10,23,38,NaN,NaN
49,Montana,17,0,0,0,0,0,0,NaN,NaN
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,49,3,1,4,13,34,64,NaN,NaN
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
