,State,124,129,136,143,150,157,164,171,178
0,Washington,1070,70,61,51,42,34,31,24,NaN
1,Illinois,4885,670,645,579,509,454,367,317,NaN
2,California,3768,386,397,350,303,259,219,175,NaN
3,Arizona,807,104,104,87,70,59,46,33,NaN
4,Massachusetts,6416,534,455,364,278,207,157,138,NaN
5,Wisconsin,514,60,65,59,54,46,41,33,NaN
6,Texas,1623,121,144,124,93,79,59,46,NaN
7,Nebraska,147,16,16,13,11,9,7,5,NaN
8,Utah,98,12,15,12,11,10,8,6,NaN
9,Oregon,148,7,6,6,3,3,3,2,NaN
10,Florida,2252,219,222,188,163,139,123,103,NaN
11,New York,30249,-74,778,617,490,382,300,257,NaN
12,Rhode Island,608,81,73,63,54,48,38,33,NaN
13,Georgia,1848,183,185,161,143,124,103,83,NaN
14,New Hampshire,210,36,38,33,30,23,21,18,NaN
15,North Carolina,790,107,113,104,97,81,70,61,NaN
16,New Jersey,12941,-1200,538,439,358,290,218,192,NaN
17,Colorado,1333,134,135,116,99,82,63,61,NaN
18,Maryland,2302,236,215,185,161,139,128,92,NaN
19,Nevada,394,46,58,52,44,38,33,27,NaN
20,Tennessee,338,37,32,27,23,20,16,14,NaN
21,Hawaii,17,0,0,0,0,1,0,0,NaN
22,Indiana,1984,203,203,177,144,122,112,90,NaN
23,Kentucky,391,20,19,16,10,10,7,6,NaN
24,Minnesota,890,156,161,156,141,133,115,96,NaN
25,Oklahoma,313,21,24,20,18,17,13,11,NaN
26,Pennsylvania,5146,491,480,396,341,276,217,200,NaN
27,South Carolina,440,67,60,55,46,41,30,30,NaN
28,District of Columbia,440,48,45,39,33,30,27,21,NaN
29,Kansas,207,8,9,7,5,4,3,3,NaN
30,Missouri,773,-9,73,63,51,43,38,29,NaN
31,Vermont,54,0,1,1,1,0,1,0,NaN
32,Virginia,1208,108,102,84,71,58,48,36,NaN
33,Connecticut,3742,260,233,200,157,134,98,85,NaN
34,Iowa,456,93,93,85,68,62,46,45,NaN
35,Louisiana,2691,230,194,153,125,89,70,56,NaN
36,Ohio,1987,264,264,230,208,170,138,104,NaN
37,Michigan,5479,53,272,224,181,146,105,93,NaN
38,South Dakota,50,8,10,10,7,7,5,5,NaN
39,Arkansas,117,21,23,22,21,18,14,15,NaN
40,Delaware,332,42,41,34,30,26,21,21,NaN
41,Mississippi,635,107,108,94,86,70,63,57,NaN
42,New Mexico,320,63,60,52,45,39,32,29,NaN
43,North Dakota,54,12,14,12,13,10,9,8,NaN
44,Wyoming,12,1,1,1,1,1,0,1,NaN
45,Alaska,10,0,0,0,0,0,0,0,NaN
46,Maine,78,12,14,13,12,11,9,8,NaN
47,Alabama,566,81,90,80,71,62,57,44,NaN
48,Idaho,79,6,7,6,4,5,3,3,NaN
49,Montana,16,0,0,1,0,0,0,1,NaN
50,Puerto Rico,129,11,14,13,11,9,8,7,NaN
51,Virgin Islands,6,2,2,3,3,2,1,1,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,72,18,22,21,17,17,15,13,NaN
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
