,State,215,220,227,234,241,248,255,262,216,217,218,219,221,222,223,224,225,226,228,229,230,231,232,233,235,236,237,238,239,240,242,243,244,245,246,247,249,250,251,252,253,254,256,257,258,259,260,261
0,Washington,1867,68,60,49,39,31,25,20,48,46,45,46,42,42,39,38,37,37,33,34,33,32,33,30,27,27,28,26,24,23,24,23,22,19,19,18,20,21,16,18,16,15,14,16,16,14,14,16
1,Illinois,8097,109,102,83,68,55,45,36,185,181,176,174,166,161,162,153,152,143,138,134,125,132,120,118,108,109,102,95,106,98,97,99,92,79,90,84,75,81,73,68,78,67,64,57,59,68,63,57
2,California,12235,530,463,349,266,201,150,111,464,448,439,420,392,382,366,348,341,320,313,285,293,260,256,242,230,216,210,209,182,169,181,170,170,136,154,155,140,147,130,114,117,105,107,91,98,77,88,72
3,Arizona,4771,178,147,111,82,60,44,32,59,56,55,52,49,47,47,43,41,41,37,36,35,34,32,31,30,28,26,23,21,22,21,19,22,18,18,15,16,17,15,16,16,12,11,9,10,10,9,10
4,Massachusetts,8949,46,41,30,21,16,11,8,22,21,21,20,19,17,17,16,17,15,14,14,12,12,11,11,10,10,10,9,9,9,9,7,8,7,7,6,5,6,6,5,6,5,5,4,4,4,4,3
5,Wisconsin,1081,33,33,27,22,18,14,11,54,54,52,52,49,49,45,45,43,43,41,41,38,37,36,35,31,32,34,29,31,30,29,27,29,26,29,25,21,24,23,19,19,20,17,19,19,19,17,17
6,Texas,11742,930,792,649,533,430,346,279,430,418,407,388,371,355,357,349,340,339,316,314,305,290,282,275,233,251,250,243,212,244,211,204,208,197,187,180,162,165,156,154,147,134,129,144,124,133,137,119
7,Nebraska,383,8,5,3,2,1,1,0,11,11,10,10,9,9,8,8,8,8,7,7,7,6,6,5,5,5,5,5,4,4,4,3,3,4,3,4,2,2,2,2,2,3,2,2,2,2,2,2
8,Utah,390,17,16,13,10,8,6,5,21,20,20,19,19,18,17,17,17,16,15,15,15,15,15,14,14,12,12,11,11,11,11,10,9,9,9,9,8,8,8,7,7,8,7,5,6,6,6,6
9,Oregon,420,20,20,16,13,10,8,6,19,19,19,18,17,17,16,16,16,16,15,14,13,13,13,12,13,11,11,11,11,11,10,11,9,8,8,9,8,9,8,7,7,7,6,8,7,6,7,6
10,Florida,10397,625,526,394,291,216,160,116,198,191,184,178,166,158,154,144,137,139,124,117,115,111,105,106,97,88,94,73,84,76,74,71,61,60,60,65,52,54,54,45,46,43,46,34,38,38,33,40
11,New York,32852,64,48,38,29,23,18,13,122,118,114,111,101,100,99,96,87,88,86,79,74,77,70,69,63,62,60,65,63,57,53,56,48,46,46,42,41,42,38,37,36,37,35,32,31,32,31,26
12,Rhode Island,1035,3,2,2,1,1,0,0,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
13,Georgia,5156,322,279,229,184,147,118,93,187,182,178,172,169,158,158,155,152,143,133,137,131,128,122,128,105,108,107,100,105,96,94,86,89,81,77,73,70,74,68,65,63,57,63,57,58,54,48,54
14,New Hampshire,429,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,North Carolina,2535,169,160,131,109,88,73,59,143,141,139,136,132,126,130,123,115,116,114,104,110,97,101,97,94,89,82,89,83,78,73,75,77,65,65,64,67,68,67,56,64,57,51,52,43,52,49,48
16,New Jersey,15946,38,30,22,16,11,8,5,29,28,28,26,25,22,22,21,20,19,18,17,18,16,15,14,13,13,12,12,10,11,10,10,9,9,9,9,7,7,5,8,7,6,6,5,5,5,5,5
17,Colorado,1919,15,15,11,9,7,5,4,37,35,35,33,32,32,30,30,30,29,26,26,26,26,23,23,23,22,21,19,20,20,17,16,16,16,17,14,14,14,13,12,13,12,12,12,9,10,10,10
18,Maryland,3694,41,34,28,22,17,14,11,73,71,70,68,66,62,59,62,56,52,55,49,48,47,48,47,43,45,42,41,39,37,32,37,36,33,29,30,31,30,28,25,29,25,28,23,23,23,20,20
19,Nevada,1200,83,81,67,56,44,36,29,52,51,49,48,46,44,41,41,40,42,38,36,36,38,34,33,32,31,31,30,31,28,26,26,25,25,24,23,21,21,20,20,22,19,18,18,18,16,18,17
20,Tennessee,1588,164,162,136,114,92,74,60,70,69,68,66,65,63,63,59,57,58,56,55,54,51,47,48,49,43,45,43,40,41,44,40,37,36,33,35,33,31,29,27,28,27,24,24,26,22,23,23
21,Hawaii,49,5,5,5,4,3,2,1,24,24,24,25,24,23,23,24,22,22,22,20,21,19,20,18,18,17,17,18,16,17,14,14,14,13,13,14,11,11,11,12,11,10,8,10,9,9,7,9
22,Indiana,3225,55,53,45,37,29,23,18,71,69,68,65,64,61,62,59,59,58,53,55,53,50,48,47,46,45,43,40,44,45,36,35,31,39,35,35,29,26,27,32,28,26,24,23,24,21,23,21
23,Kentucky,884,22,20,15,11,8,5,4,44,42,41,39,37,35,37,33,33,30,27,29,27,26,23,24,23,19,23,21,19,17,17,17,15,14,15,14,15,12,12,11,10,9,11,9,9,8,10,7
24,Minnesota,1817,46,40,33,27,22,18,14,62,61,60,58,56,55,52,53,48,49,44,42,47,43,40,39,37,35,38,36,35,34,31,28,35,30,28,30,26,27,25,23,22,21,22,19,22,23,20,18
25,Oklahoma,730,49,49,41,35,29,23,19,59,57,57,55,53,52,54,52,51,48,46,42,46,44,42,40,38,40,36,35,37,36,36,33,32,30,32,31,28,30,29,27,23,23,20,24,22,21,21,19
26,Pennsylvania,7557,73,67,53,43,33,26,20,59,57,56,53,50,50,46,47,44,42,42,39,38,38,37,35,33,32,29,29,30,28,26,24,28,23,25,22,23,19,20,18,18,18,16,15,14,18,14,16
27,South Carolina,2511,193,179,145,116,93,76,62,51,50,49,49,46,45,44,43,40,42,38,38,37,32,32,33,31,33,29,26,28,25,25,24,23,25,25,21,20,22,19,16,16,16,16,16,18,16,14,13
28,District of Columbia,604,1,0,0,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Kansas,429,17,17,14,12,9,7,6,27,27,26,26,26,25,24,23,23,22,22,21,20,19,20,19,18,19,18,16,16,15,16,14,15,14,14,13,12,11,12,11,12,12,10,10,10,9,10,9
30,Missouri,1453,42,38,31,24,18,13,10,95,93,90,87,82,81,79,76,71,71,68,62,66,60,56,61,55,45,53,45,44,42,42,40,37,40,31,36,36,33,30,26,27,24,27,26,21,20,20,21
31,Vermont,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,2471,78,54,44,36,29,23,18,127,125,123,119,113,110,111,106,106,101,100,99,88,87,93,83,84,73,77,72,66,74,67,67,68,60,61,56,52,52,48,48,48,52,40,37,43,38,41,40
33,Connecticut,4460,5,5,3,2,2,1,1,10,10,9,9,9,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,3,4,4,3,3,3,3,3,3,3,2,2,2,2,2
34,Iowa,1047,51,47,39,31,26,20,16,57,56,54,52,50,50,49,48,45,45,46,42,42,39,38,36,35,35,32,32,31,33,28,30,29,28,26,25,25,22,23,18,21,24,19,22,18,17,17,14
35,Louisiana,4764,223,161,131,104,83,67,53,70,69,66,65,61,61,59,58,57,55,52,52,49,50,45,47,42,38,35,36,36,34,35,32,30,31,30,28,25,28,27,27,25,24,21,23,20,18,19,18
36,Ohio,3986,106,98,77,61,48,37,29,94,93,90,87,84,80,77,77,70,71,66,64,60,58,65,55,55,51,53,48,46,42,46,38,35,38,36,37,31,32,34,31,28,30,26,27,23,28,24,20
37,Michigan,6663,50,45,37,29,24,19,15,66,64,63,60,57,57,56,53,53,53,48,46,47,44,44,42,41,37,39,38,35,35,33,32,30,31,27,31,27,26,25,28,27,23,24,19,20,21,21,20
38,South Dakota,161,11,10,8,7,5,4,3,14,14,14,14,13,13,13,13,12,12,12,11,12,10,10,11,10,10,9,8,9,8,8,9,7,8,8,7,7,6,7,6,6,6,5,5,5,5,5,5
39,Arkansas,696,69,56,47,39,32,26,21,36,36,35,34,33,32,31,31,29,29,27,26,28,26,26,25,24,23,22,23,22,22,20,19,20,17,17,18,16,15,15,14,15,14,14,12,15,11,13,11
40,Delaware,604,1,1,0,0,0,0,0,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
41,Mississippi,2248,143,140,117,96,78,62,50,53,52,52,50,49,46,45,44,42,41,42,38,38,37,36,34,35,35,32,32,32,28,28,28,28,25,23,22,22,24,22,21,20,18,18,16,18,17,17,13
42,New Mexico,749,22,20,16,12,10,7,6,19,19,18,17,17,16,16,15,15,15,13,14,13,13,13,12,12,11,11,10,10,10,9,9,10,8,8,8,9,7,8,6,6,6,6,6,6,5,6,5
43,North Dakota,137,9,9,7,6,5,4,3,10,10,10,10,10,10,10,10,9,10,9,9,8,8,8,8,7,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4
44,Wyoming,37,1,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
45,Alaska,32,2,1,0,0,0,0,0,6,6,6,6,6,5,5,6,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
46,Maine,131,2,1,1,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Alabama,2024,69,65,54,44,35,27,22,90,89,86,82,80,79,77,73,70,69,68,63,61,63,59,58,56,56,56,54,48,51,45,43,42,43,42,37,39,32,32,33,33,32,33,29,29,24,30,28
48,Idaho,314,18,15,11,8,6,4,2,10,10,10,9,9,8,8,8,8,8,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,3,2,2,2,2,2,2,2,2,1
49,Montana,91,5,5,4,3,2,1,1,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1
50,Puerto Rico,390,39,31,26,21,17,14,11,38,38,36,36,35,34,34,32,33,31,28,28,27,30,27,29,26,24,25,23,23,19,21,20,19,18,17,17,16,17,15,15,16,14,14,15,11,12,13,12
51,Virgin Islands,11,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
52,Guam,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,179,13,9,7,5,3,2,1,9,9,9,8,8,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,1,1
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
