,State,195,199,206,213,220,227,234,241,248
0,Washington,1619,NaN,52,98,102,103,101,99,95
1,Illinois,7742,NaN,121,166,179,183,178,170,161
2,California,9684,NaN,643,860,828,791,752,710,670
3,Arizona,3845,NaN,437,407,361,317,274,235,199
4,Massachusetts,8657,NaN,101,121,130,132,126,118,108
5,Wisconsin,961,NaN,51,66,67,67,67,66,64
6,Texas,7952,NaN,127,1214,1143,1057,966,871,781
7,Nebraska,332,NaN,15,19,19,19,18,17,16
8,Utah,321,NaN,49,42,42,41,41,39,39
9,Oregon,333,NaN,48,48,48,49,50,49,49
10,Florida,7402,NaN,1131,1125,1015,895,774,661,560
11,New York,32703,NaN,108,77,70,63,55,48,41
12,Rhode Island,1011,NaN,12,10,10,10,10,10,9
13,Georgia,3921,NaN,185,295,278,258,238,217,199
14,New Hampshire,418,NaN,21,14,14,13,13,13,13
15,North Carolina,2061,NaN,137,162,160,156,153,148,145
16,New Jersey,15857,NaN,126,97,101,100,93,83,74
17,Colorado,1849,NaN,91,64,65,65,62,61,60
18,Maryland,3530,NaN,100,115,125,128,124,116,107
19,Nevada,862,NaN,67,96,90,85,79,72,66
20,Tennessee,1117,NaN,84,118,113,110,105,100,95
21,Hawaii,27,NaN,-2,2,2,3,3,3,3
22,Indiana,2996,NaN,104,112,117,116,113,108,103
23,Kentucky,751,NaN,63,58,59,59,58,56,55
24,Minnesota,1660,NaN,52,55,56,55,53,51,48
25,Oklahoma,566,NaN,38,54,53,54,53,52,52
26,Pennsylvania,7248,NaN,77,102,104,102,100,95,91
27,South Carolina,1847,NaN,274,270,253,234,214,194,174
28,District of Columbia,587,NaN,5,6,7,6,5,5,5
29,Kansas,368,NaN,40,32,33,33,32,32,31
30,Missouri,1290,NaN,111,103,104,105,103,103,101
31,Vermont,57,NaN,0,1,1,1,2,1,2
32,Virginia,2244,NaN,80,143,160,168,165,158,149
33,Connecticut,4437,NaN,28,21,21,20,19,18,17
34,Iowa,888,NaN,43,52,51,49,47,44,42
35,Louisiana,4051,NaN,186,196,175,155,135,116,101
36,Ohio,3570,NaN,163,169,167,163,160,156,152
37,Michigan,6471,NaN,53,73,76,76,75,73,71
38,South Dakota,136,NaN,3,9,8,7,7,7,7
39,Arkansas,490,NaN,35,54,53,51,48,47,44
40,Delaware,587,NaN,8,7,8,8,7,7,6
41,Mississippi,1753,NaN,239,231,210,183,154,129,106
42,New Mexico,658,NaN,47,44,44,42,41,40,38
43,North Dakota,107,NaN,5,8,8,8,8,8,8
44,Wyoming,27,NaN,1,1,1,1,2,1,1
45,Alaska,25,NaN,7,6,7,7,6,7,7
46,Maine,123,NaN,4,5,5,6,6,6,7
47,Alabama,1666,NaN,168,159,148,136,124,112,101
48,Idaho,210,NaN,67,65,64,61,57,51,48
49,Montana,64,NaN,14,16,17,16,17,17,17
50,Puerto Rico,237,NaN,15,40,41,41,41,41,41
51,Virgin Islands,8,NaN,0,1,1,0,1,1,1
52,Guam,5,NaN,0,0,0,0,1,0,0
53,West Virginia,124,NaN,2,11,11,11,12,12,12
54,Northern Mariana Islands,2,NaN,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
