id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03,2020-06-10,2020-06-17
0,"Afghanistan",0.146932074771808,NaN,0.0672440571601554,0.1047540972802,0.0641288116430578,0.0484537661752988,0.00745907997732997,0.00338756710269905,0.0313817521028907,0.0228922548053885,0.00242514444208575,0.0295172617808188,0.0362588379390016,0.0357475440121702,NaN
1,"Albania",NaN,0.138965177254645,0.0478902454813075,0.104106735957485,0.0898397767501495,0.00751302560573763,0.0109862970238741,0.0740855291334542,0.0702276260328972,0.00921017885729203,0.059397275470471,0.00683786529098818,0.515542321602884,0.00707825680172158,0.0290609822863257
2,"Algeria",NaN,0.0403257510798056,0.0819265017382165,0.138039713723348,0.107637415472093,0.00406263578928479,0.0657219176241162,0.00464602244803625,0.0141335014454174,0.0395684896842357,0.0367494670172668,0.0408251535684019,0.0396785914086736,0.0375198767187332,0.00695451958067417
3,"Andorra",0.548681084744359,NaN,0.180267108861162,0.135607638712277,0.118491844927765,0.112274632083667,0.107753187677923,0.103630343057621,0.0998938606767172,0.0577036425545929,0.0935602340180043,0.0410801081209666,0.0959683647676953,0.02938085236679,0.0126379689081099
4,"Angola",0.498071762863209,0.224682563724431,1.5360804763034,0.0597451105086702,0.289954538358121,0.157151053019126,0.146482743970675,0.0278941709046696,NaN,0.122510934266501,0.0286399544412655,0.0770198157683659,0.144905218451933,0.140065759469239,0.0691957174715405
5,"Antigua and Barbuda",0.314796032038364,0.374972909377116,0.124911386562357,0.867119340725855,0.122250713754284,0.133669003998868,0.1453899306144,0.0201095333341424,0.119259936737838,0.130643384593781,0.84934107575533,0.123672655208234,0.0010872723440325,0.00108673059674339,0.0843208282154291
6,"Argentina",0.251827112748566,0.0469810937294994,NaN,0.119536077888002,0.0897700981829028,0.072347388341147,0.00452783663849909,0.314097812905353,0.00848894760279517,0.0185926195940431,0.0067360657624651,NaN,0.0293665103695024,0.00215400205460514,0.00576237787497202
7,"Armenia",0.0851482662062248,0.200283623438785,0.101945966099412,0.128368766802482,0.106478821034018,0.0016573358412344,0.00369233793705792,NaN,0.0137463137399294,0.0448111495972272,0.0125195973789185,0.0323061184374269,0.00267908306290765,0.0296856447169678,0.0277560457668298
8,"Australia",0.0586549564930996,0.0338292900849519,0.125734709237693,0.120391489403518,0.146516536227394,0.138946692836007,0.133052166072161,0.0143277763957567,0.0155933435191854,0.0162858198653049,0.115617858617088,0.00579155696740064,0.0724976634159522,0.0123403487465055,0.0303559168835865
9,"Austria",0.0465321813250152,0.143541931044959,0.165983769059033,0.147693788441139,0.134377480040096,0.12712334535368,0.121325825278335,0.116489108278789,0.112255562325951,0.0085417128264148,0.026001359786482,0.101897790682695,0.0661687931034587,0.0184557964799623,0.0153495187564623
10,"Azerbaijan",0.0256425800079272,0.0444874763578369,0.0390870653974438,0.0929769357551959,0.124014934512114,0.110880127838487,0.0985559580843908,0.00923810774254008,0.00259542962816783,0.0251880963115443,0.0258858704251479,0.00333702645550082,0.0129449827677619,0.0344963836360508,0.0270188763561154
11,"Bahamas",0.099807348082376,NaN,0.118639250175575,0.105705849034888,0.122911969391233,0.104501145696161,0.0168951474910045,0.0964920618916834,0.0327089098688239,0.0899240049688698,0.0344896127467481,0.0636340414261197,0.0539487375766698,0.0799310266127267,0.0791496043932741
12,"Bahrain",0.101445017563957,0.126492950992287,0.0371281312385738,0.0829094064421292,NaN,0.262837685228385,0.0840286363412326,0.0692714682935662,0.0119604251644967,0.0290082650932766,0.0487947148309225,0.0453684946981472,0.00916441501749898,0.0326806441400216,0.0292323709626312
13,"Bangladesh",1.72322301324965,0.0841030912306896,0.188525924014526,0.0337537242870098,0.0545352581988556,0.115190469596412,0.0833028527610349,0.0556804505443045,0.0377701643141706,0.00348911895766602,0.00710677280066219,0.0176816670366426,0.00643274939831828,0.0173489637539908,0.0201188135405912
14,"Barbados",0.178237437433878,0.149673996610164,0.170294750107949,0.137530657272619,0.134904916508191,0.129945876974718,0.123694075483246,0.09068562838775,0.114230705971588,0.0443213968790432,0.0764864789110155,0.104293011151887,0.102244303340782,NaN,0.0123081171361438
15,"Belarus",0.0353578965710633,NaN,0.448925840743361,0.0490346801364452,0.135654989744859,0.0890221670944851,0.00694418305050304,0.0552630456610943,0.0477524767723583,0.0417900673428246,0.0375131405770979,0.0344926004819581,0.0322502845928465,0.0314144737304114,0.031983216661108
16,"Belgium",NaN,0.0359377311664431,0.0159450759814612,0.107061290612838,0.0863341327176925,0.0748274475353399,0.0744910907580293,0.0734889363708962,0.069921103744604,0.0672040075070149,0.0648325905182467,0.062851768759696,0.0610183129585864,0.0593535626137781,0.057826759198578
